date,total_confirmed,total_deceased,new_confirmed,new_deceased,total_tested,total_tested_antibody,total_tested_all,current_hospitalized,key,new_tested,new_tested_antibody,new_tested_all
2020-03-26,1394,18,419,6,,,,,US_TX,,,
2020-03-27,1731,23,337,5,,,,,US_TX,,,
2020-03-28,2048,27,317,4,,,,,US_TX,,,
2020-03-29,2552,34,504,7,,,,,US_TX,,,
2020-03-30,2874,38,322,4,,,,,US_TX,,,
2020-03-31,3266,41,392,3,,,,,US_TX,,,
2020-04-01,3996,58,730,17,,,,,US_TX,,,
2020-04-02,4665,69,669,11,,,,,US_TX,,,
2020-04-03,5324,87,659,18,,,,,US_TX,,,
2020-04-04,6112,104,788,17,,,63751,827,US_TX,,,
2020-04-05,6793,126,681,22,,,70938,1132,US_TX,,,7187
2020-04-06,7273,140,480,14,,,85357,1153,US_TX,,,14419
2020-04-07,8261,154,988,14,,,88649,1252,US_TX,,,3292
2020-04-08,9353,177,1092,23,,,96258,1491,US_TX,,,7609
2020-04-09,10230,199,877,22,,,106134,1439,US_TX,,,9876
2020-04-10,11671,226,1441,27,,,115918,1532,US_TX,,,9784
2020-04-11,12561,254,890,28,,,120533,1514,US_TX,,,4615
2020-04-12,13484,271,923,17,,,124553,1338,US_TX,,,4020
2020-04-13,13906,287,422,16,,,133226,1176,US_TX,,,8673
2020-04-14,14624,318,718,31,,,146467,1409,US_TX,,,13241
2020-04-15,15492,364,868,46,,,151810,1538,US_TX,,,5343
2020-04-16,16455,393,963,29,,,158547,1459,US_TX,,,6737
2020-04-17,17371,428,916,35,,,169536,1522,US_TX,,,10989
2020-04-18,18260,453,889,25,,,176239,1321,US_TX,,,6703
2020-04-19,18923,477,663,24,,,182710,1471,US_TX,,,6471
2020-04-20,19458,495,535,18,,,190394,1411,US_TX,,,7684
2020-04-21,20196,517,738,22,,,205399,1419,US_TX,,,15005
2020-04-22,21069,543,873,26,,,216783,1678,US_TX,,,11384
2020-04-23,21944,561,875,18,,,225078,1649,US_TX,,,8295
2020-04-24,22806,593,862,32,,,242547,1674,US_TX,,,17469
2020-04-25,23773,623,967,30,,,262816,1597,US_TX,,,20269
2020-04-26,24631,648,858,25,,,276021,1542,US_TX,,,13205
2020-04-27,25297,663,666,15,,,290517,1563,US_TX,,,14496
2020-04-28,26171,690,874,27,,,300384,1682,US_TX,,,9867
2020-04-29,27054,732,883,42,,,314790,1702,US_TX,,,14406
2020-04-30,28087,782,1033,50,,,330300,1686,US_TX,,,15510
2020-05-01,29229,816,1142,34,,,351775,1778,US_TX,,,21475
2020-05-02,30522,847,1293,31,,,380648,1725,US_TX,,,28873
2020-05-03,31548,867,1026,20,,,390560,1540,US_TX,,,9912
