gdp,gdp_per_capita,key
3012914131.16971,39146,AD
382575085091.899,40698,AE
20815300220.0428,550,AF
nan,,AF_BAL
nan,,AF_BAM
nan,,AF_BDG
nan,,AF_BDS
nan,,AF_BGL
nan,,AF_DAY
nan,,AF_FRA
nan,,AF_FYB
nan,,AF_GHA
nan,,AF_GHO
nan,,AF_HEL
nan,,AF_HER
nan,,AF_JOW
nan,,AF_KAB
nan,,AF_KAN
nan,,AF_KAP
nan,,AF_KDZ
nan,,AF_KHO
nan,,AF_KNR
nan,,AF_LAG
nan,,AF_LOG
nan,,AF_NAN
nan,,AF_NIM
nan,,AF_NUR
nan,,AF_PAN
nan,,AF_PAR
nan,,AF_PIA
nan,,AF_PKA
nan,,AF_SAM
nan,,AF_SAR
nan,,AF_TAK
nan,,AF_URU
nan,,AF_WAR
nan,,AF_ZAB
1532397555.55556,14803,AG
nan,,AI
13039352743.9616,4537,AL
11536590635.8268,3936,AM
nan,,AN
124209385825.22,4100,AO
nan,,AQ
637590419269.324,14398,AR
nan,,AR_A
nan,,AR_B
nan,,AR_C
nan,,AR_D
nan,,AR_E
nan,,AR_F
nan,,AR_G
nan,,AR_H
nan,,AR_J
nan,,AR_K
nan,,AR_L
nan,,AR_M
nan,,AR_N
nan,,AR_P
nan,,AR_Q
nan,,AR_R
nan,,AR_S
nan,,AR_T
nan,,AR_U
nan,,AR_V
nan,,AR_W
nan,,AR_X
nan,,AR_Y
nan,,AR_Z
nan,11394,AS
416595666396.636,47380,AT
nan,,AT_11
nan,,AT_12
nan,,AT_13
nan,,AT_21
nan,,AT_22
nan,,AT_31
nan,,AT_32
nan,,AT_33
nan,,AT_34
1323421072479.07,53793,AU
nan,,AU_ACT
nan,,AU_NSW
nan,,AU_NT
nan,,AU_QLD
nan,,AU_SA
nan,,AU_TAS
nan,,AU_VIC
nan,,AU_WA
nan,25655,AW
40747792237.9735,4135,AZ
18168579578.1952,5148,BA
4796845980.8226,16356,BB
249723887765.42,1516,BD
492681283049.248,43467,BE
12873114800.0165,642,BF
56831518294.4397,8228,BG
35307127659.5745,23739,BH
3477502178.27657,292,BI
9273558271.64744,827,BJ
nan,85748,BM
12128089001.5858,28290,BN
37508642112.8799,3393,BO
nan,,BO_B
nan,,BO_C
nan,,BO_H
nan,,BO_L
nan,,BO_N
nan,,BO_O
nan,,BO_P
nan,,BO_S
nan,,BO_T
nan,,BQ
2055505502224.73,9812,BR
nan,,BR_AC
nan,,BR_AL
nan,,BR_AM
nan,,BR_AP
nan,,BR_BA
nan,,BR_CE
nan,,BR_DF
nan,,BR_ES
nan,,BR_GO
nan,,BR_MA
nan,,BR_MG
nan,,BR_MS
nan,,BR_MT
nan,,BR_PA
nan,,BR_PB
nan,,BR_PE
nan,,BR_PI
nan,,BR_PR
nan,,BR_RJ
nan,,BR_RN
nan,,BR_RO
nan,,BR_RR
115000000000.0,10244,BR_RS
nan,,BR_SC
nan,,BR_SE
nan,,BR_SP
nan,,BR_TO
12162100000.0,30762,BS
2511852941.17647,3130,BT
nan,,BV
17406530780.7155,7595,BW
54442374372.5094,5733,BY
1838000000.0,4971,BZ
1653042795255.04,44870,CA
nan,,CA_AB
nan,,CA_BC
nan,,CA_MB
nan,,CA_NB
nan,,CA_NL
nan,,CA_NS
nan,,CA_NT
nan,,CA_NU
nan,,CA_ON
nan,,CA_PE
nan,,CA_QC
nan,,CA_SK
nan,,CA_YT
nan,,CC
37241300948.659,462,CD
1949411659.20453,323.2,CF
8722553000.83526,1654,CG
678887336848.252,80342,CH
nan,,CH_AG
nan,,CH_AI
nan,,CH_AR
nan,,CH_BE
nan,,CH_BL
nan,,CH_BS
nan,,CH_FR
nan,,CH_GE
nan,,CH_GL
nan,,CH_GR
nan,,CH_JU
nan,,CH_LU
nan,,CH_NE
nan,,CH_NW
nan,,CH_OW
nan,,CH_SG
nan,,CH_SH
nan,,CH_SO
nan,,CH_SZ
nan,,CH_TG
nan,,CH_TI
nan,,CH_UR
nan,,CH_VD
nan,,CH_VS
nan,,CH_ZG
nan,,CH_ZH
40388624117.1109,1398.99,CI
nan,,CK
277075944401.941,15346,CL
nan,,CL_AI
nan,,CL_AN
nan,,CL_AP
nan,,CL_AR
nan,,CL_AT
nan,,CL_BI
nan,,CL_CO
nan,,CL_LI
nan,,CL_LL
nan,,CL_LR
nan,,CL_MA
