gdp,gdp_per_capita,human_capital_index,key
19362969582,520.8966,0.389,AF
15102500898,5268.8485,0.621,AL
173757952824,4114.7151,0.523,DZ
636000000,11466.691,,AS
3236543909,42029.763,,AD
105750987619,3432.3857,0.361,AO
1610574074,16726.981,,AG
519871519808,11683.95,0.611,AR
12433089919,4212.0709,0.572,AM
2700558659,25630.266,,AW
1433904348500,57395.919,0.803,AU
455285818035,51499.885,0.793,AT
46939529412,4722.3817,0.597,AZ
12424500000,32217.872,,BS
37746196809,24050.758,0.668,BH
274024958966,1698.2628,0.479,BD
5145000000,17949.282,,BB
60031262269,6330.0752,,BY
542761092103,47472.137,0.757,BE
1871203164,4884.7424,,BZ
14250985959,1240.8295,0.406,BJ
,,,BM
2446674101,3243.2311,,BT
40287647757,3548.5901,,BO
20161865419,6065.6727,0.618,BA
18616018903,8258.6417,0.424,BW
1885482534238,9001.2342,0.56,BR
,,,VG
13567351175,31628.329,,BN
65132951116,9271.5456,0.676,BG
14124775069,715.1229,0.369,BF
3036931818,271.75204,0.38,BI
1976814277,3635.4068,,CV
24542474061,1510.3249,0.493,KH
38675205293,1533.7421,0.394,CM
1713341704877,46234.351,0.799,CA
5141833913,81124.513,,KY
2219894702,475.72125,,CF
11273115239,728.34324,0.293,TD
298231133533,15923.359,0.674,CL
13608151864638,9770.8471,0.673,CN
331047040088,6667.7907,0.593,CO
1177955049,1415.2636,0.409,KM
47227535291,561.77718,0.369,CD
11263682694,2147.7695,0.42,CG
60130106116,12027.366,0.619,CR
43007047822,1715.5313,0.353,CI
60971699315,14915.372,0.723,HR
100023000000,8821.8189,,CU
3127908038,19573.893,,CW
24961988663,28689.699,0.751,CY
245225882903,23069.383,0.782,CZ
355675329086,61390.693,0.774,DK
2955912228,3082.5431,,DJ
550892593,7691.3451,,DM
85555390387,8050.6316,0.492,DO
108398058000,6344.872,0.602,EC
250894760351,2549.1323,0.486,EG
26057000000,4058.2524,0.501,SV
13278488567,10144.196,,GQ
,,,ER
30732144529,23247.11,0.747,EE
4710618472,4145.9741,0.409,SZ
84355604753,772.31353,0.385,ET
2689157271,55822.915,,FO
5536759659,6266.968,,FJ
276743120516,50175.3,0.814,FI
2777535239278,41469.92,0.765,FR
,,,PF
16853589311,7952.5259,0.453,GA
1632823199,716.11849,0.397,GM
17599660629,4722.7772,0.614,GE
3947620162503,47615.74,0.795,DE
65556464048,2202.3122,0.439,GH
,,,GI
218031844584,20316.568,0.681,GR
2707146783,48181.874,,GL
1185925926,10640.497,,GD
5920000000,35712.562,,GU
78460447920,4549.0101,0.46,GT
10907214994,878.59961,0.374,GN
1458156026,777.96992,,GW
3878662621,4979.0022,0.495,GY
9658721169,868.34202,0.446,HT
24024189736,2505.7768,0.49,HN
362682018243,48675.616,0.822,HK
157882912778,16150.773,0.703,HU
25878475760,73368.117,0.74,IS
2718732231258,2009.9789,0.44,IN
1042173300626,3893.5961,0.535,ID
454012768724,5627.7493,0.591,IR
224228010478,5834.1662,0.398,IQ
