date,current_hospitalized,current_intensive_care,key
2020-03-10,1,0,CZ
2020-03-11,2,0,CZ
2020-03-12,4,0,CZ
2020-03-13,4,0,CZ
2020-03-14,5,0,CZ
2020-03-15,6,0,CZ
2020-03-16,19,2,CZ
2020-03-17,50,4,CZ
2020-03-18,49,5,CZ
2020-03-19,56,6,CZ
2020-03-20,67,16,CZ
2020-03-21,80,15,CZ
2020-03-22,98,19,CZ
2020-03-23,104,19,CZ
2020-03-24,122,21,CZ
2020-03-25,170,35,CZ
2020-03-26,197,36,CZ
2020-03-27,227,45,CZ
2020-03-28,263,56,CZ
2020-03-29,277,52,CZ
2020-03-30,291,64,CZ
2020-03-31,312,70,CZ
2020-04-01,342,72,CZ
2020-04-02,359,77,CZ
2020-04-03,380,87,CZ
2020-04-04,383,86,CZ
2020-04-05,391,84,CZ
2020-04-06,408,86,CZ
2020-04-07,432,103,CZ
2020-04-08,440,96,CZ
2020-04-09,446,98,CZ
2020-04-10,436,92,CZ
2020-04-11,442,87,CZ
2020-04-12,436,100,CZ
2020-04-13,428,92,CZ
2020-04-14,427,84,CZ
2020-04-15,418,75,CZ
2020-04-16,407,82,CZ
2020-04-17,398,86,CZ
2020-04-18,390,84,CZ
2020-04-19,374,84,CZ
2020-04-20,390,75,CZ
2020-04-21,412,80,CZ
2020-04-22,401,76,CZ
2020-04-23,395,77,CZ
2020-04-24,385,71,CZ
2020-04-25,352,79,CZ
2020-04-26,360,73,CZ
2020-04-27,359,71,CZ
2020-04-28,361,71,CZ
2020-04-29,348,68,CZ
2020-04-30,344,67,CZ
2020-05-01,319,68,CZ
2020-05-02,308,62,CZ
2020-05-03,299,58,CZ
2020-05-04,304,59,CZ
2020-05-05,295,51,CZ
2020-05-06,275,52,CZ
2020-05-07,258,46,CZ
2020-05-08,251,47,CZ
2020-05-09,239,40,CZ
2020-05-10,233,42,CZ
2020-05-11,236,44,CZ
2020-05-12,230,43,CZ
2020-05-13,217,42,CZ
2020-05-14,197,37,CZ
2020-05-15,183,39,CZ
2020-05-16,175,39,CZ
2020-05-17,166,36,CZ
2020-05-18,169,33,CZ
2020-05-19,166,36,CZ
2020-05-20,157,33,CZ
2020-05-21,150,29,CZ
2020-05-22,156,29,CZ
2020-05-23,145,24,CZ
2020-05-24,148,24,CZ
2020-05-25,154,24,CZ
2020-05-26,154,18,CZ
2020-05-27,149,21,CZ
2020-05-28,140,19,CZ
2020-05-29,134,18,CZ
2020-05-30,123,15,CZ
2020-05-31,123,15,CZ
2020-06-01,126,17,CZ
2020-06-02,131,12,CZ
2020-06-03,124,13,CZ
2020-06-04,122,12,CZ
2020-06-05,124,12,CZ
2020-06-06,118,9,CZ
2020-06-07,117,9,CZ
2020-06-08,117,11,CZ
2020-06-09,113,10,CZ
2020-06-10,111,12,CZ
2020-06-11,113,14,CZ
2020-06-12,115,12,CZ
2020-06-13,117,11,CZ
2020-06-14,119,12,CZ
2020-06-15,128,11,CZ
2020-06-16,131,10,CZ
2020-06-17,133,9,CZ
2020-06-18,136,11,CZ
2020-06-19,140,9,CZ
2020-06-20,136,9,CZ
2020-06-21,130,9,CZ
2020-06-22,132,9,CZ
2020-06-23,134,10,CZ
2020-06-24,131,13,CZ
2020-06-25,125,12,CZ
2020-06-26,122,11,CZ
2020-06-27,117,10,CZ
2020-06-28,123,29,CZ
