date,subregion1_code,total_confirmed,total_deceased,total_recovered,total_tested,key,new_confirmed,new_deceased,new_recovered,new_tested
2020-03-05,EC,0,,,,ZA_EC,,,,
2020-03-07,EC,0,,,,ZA_EC,0,,,
2020-03-08,EC,0,,,,ZA_EC,0,,,
2020-03-09,EC,0,,,,ZA_EC,0,,,
2020-03-11,EC,0,,,,ZA_EC,0,,,
2020-03-12,EC,0,,,,ZA_EC,0,,,
2020-03-13,EC,0,,,,ZA_EC,0,,,
2020-03-14,EC,0,,,,ZA_EC,0,,,
2020-03-15,EC,0,,,,ZA_EC,0,,,
2020-03-16,EC,0,,,,ZA_EC,0,,,
2020-03-17,EC,0,,,,ZA_EC,0,,,
2020-03-18,EC,0,,,,ZA_EC,0,,,
2020-03-19,EC,0,,,,ZA_EC,0,,,
2020-03-20,EC,0,,,,ZA_EC,0,,,
2020-03-21,EC,1,,,,ZA_EC,1,,,
2020-03-22,EC,2,,,,ZA_EC,1,,,
2020-03-23,EC,2,,,,ZA_EC,0,,,
2020-03-24,EC,2,,,,ZA_EC,0,,,
2020-03-25,EC,2,,,,ZA_EC,0,,,
2020-03-26,EC,5,,,,ZA_EC,3,,,
2020-03-27,EC,,0,,,ZA_EC,0,,,
2020-03-28,EC,10,0,,,ZA_EC,5,0,,
2020-03-29,EC,12,,,,ZA_EC,2,0,,
2020-03-30,EC,12,0,,,ZA_EC,0,0,,
2020-03-31,EC,12,0,,,ZA_EC,0,0,,
2020-04-01,EC,15,,,,ZA_EC,3,0,,
2020-04-02,EC,17,,,,ZA_EC,2,0,,
2020-04-03,EC,21,0,,,ZA_EC,4,0,,
2020-04-04,EC,25,,,,ZA_EC,4,0,,
2020-04-05,EC,31,0,,,ZA_EC,6,0,,
2020-04-06,EC,32,0,,,ZA_EC,1,0,,
2020-04-07,EC,,0,,,ZA_EC,0,0,,
2020-04-08,EC,45,0,,,ZA_EC,13,0,,
2020-04-09,EC,61,0,,,ZA_EC,16,0,,
2020-04-10,EC,68,0,,,ZA_EC,7,0,,
2020-04-11,EC,69,0,,,ZA_EC,1,0,,
2020-04-12,EC,88,0,,,ZA_EC,19,0,,
2020-04-13,EC,104,0,,,ZA_EC,16,0,,
2020-04-14,EC,174,0,,,ZA_EC,70,0,,
2020-04-15,EC,199,0,,,ZA_EC,25,0,,
2020-04-16,EC,220,4,,,ZA_EC,21,4,,
2020-04-17,EC,246,4,9,,ZA_EC,26,0,,
2020-04-18,EC,270,4,9,,ZA_EC,24,0,0,
2020-04-19,EC,293,4,9,,ZA_EC,23,0,0,
2020-04-20,EC,310,5,15,,ZA_EC,17,1,6,
2020-04-21,EC,345,5,15,,ZA_EC,35,0,0,
2020-04-22,EC,377,5,15,,ZA_EC,32,0,0,
2020-04-23,EC,417,6,19,,ZA_EC,40,1,4,
2020-04-24,EC,480,6,19,,ZA_EC,63,0,0,
2020-04-25,EC,488,10,19,,ZA_EC,8,4,0,
2020-04-26,EC,535,10,19,,ZA_EC,47,0,0,
2020-04-27,EC,588,10,19,14054,ZA_EC,53,0,0,
2020-04-28,EC,616,10,19,,ZA_EC,28,0,0,0
2020-04-29,EC,630,11,,,ZA_EC,14,1,0,0
2020-04-30,EC,647,11,,,ZA_EC,17,0,0,0
2020-05-01,EC,691,11,,,ZA_EC,44,0,0,0
2020-05-02,EC,732,13,275,,ZA_EC,41,2,256,0
2020-05-03,EC,774,17,275,24835,ZA_EC,42,4,0,10781
2020-05-04,EC,814,17,341,,ZA_EC,40,0,66,0
2020-05-05,EC,838,18,341,,ZA_EC,24,1,0,0
2020-05-06,EC,849,18,388,,ZA_EC,11,0,47,0
2020-05-07,EC,929,18,388,,ZA_EC,80,0,0,0
2020-05-08,EC,989,21,388,,ZA_EC,60,3,0,0
2020-05-09,EC,1078,21,,34032,ZA_EC,89,0,0,9197
2020-05-10,EC,1218,22,519,,ZA_EC,140,1,131,0
2020-05-11,EC,1356,24,,,ZA_EC,138,2,0,0
2020-05-12,EC,1504,24,,,ZA_EC,148,0,0,0
2020-05-13,EC,1534,24,632,38122,ZA_EC,30,0,113,4090
2020-05-14,EC,1569,31,643,,ZA_EC,35,7,11,0
2020-05-15,EC,1662,31,643,,ZA_EC,93,0,0,0
2020-05-16,EC,1812,32,746,,ZA_EC,150,1,103,0
2020-05-17,EC,1936,35,839,,ZA_EC,124,3,93,0
2020-05-18,EC,2052,39,839,,ZA_EC,116,4,0,0
2020-05-19,EC,2135,41,839,,ZA_EC,83,2,0,0
2020-05-20,EC,2215,45,1036,51888,ZA_EC,80,4,197,13766
2020-05-21,EC,2324,50,1036,,ZA_EC,109,5,0,0
2020-05-22,EC,2459,53,1036,,ZA_EC,135,3,0,0
2020-05-23,EC,2569,58,1036,,ZA_EC,110,5,0,0
2020-05-24,EC,2690,59,1335,,ZA_EC,121,1,299,0
2020-05-25,EC,2748,61,1335,,ZA_EC,58,2,0,0
2020-05-26,EC,2864,70,1491,,ZA_EC,116,9,156,0
2020-05-27,EC,3047,70,1491,,ZA_EC,183,0,0,0
2020-05-28,EC,3306,77,1700,66013,ZA_EC,259,7,209,14125
2020-05-29,EC,3583,80,1700,,ZA_EC,277,3,0,0
2020-05-30,EC,3759,82,1987,,ZA_EC,176,2,287,0
2020-05-31,EC,3927,82,1987,,ZA_EC,168,0,0,0
2020-06-01,EC,4111,82,2123,,ZA_EC,184,0,136,0
2020-06-02,EC,4324,88,2123,,ZA_EC,213,6,0,0
2020-06-03,EC,4526,95,2123,,ZA_EC,202,7,0,0
2020-06-04,EC,4936,95,2460,,ZA_EC,410,0,337,0
2020-06-05,EC,5240,95,2460,,ZA_EC,304,0,0,0
2020-06-06,EC,5629,101,2666,,ZA_EC,389,6,206,0
2020-06-07,EC,5974,101,2666,,ZA_EC,345,0,0,0
2020-06-08,EC,6341,127,2666,,ZA_EC,367,26,0,0
2020-06-09,EC,6760,138,3514,,ZA_EC,419,11,848,0
2020-06-10,EC,7154,147,3647,,ZA_EC,394,9,133,0
2020-06-11,EC,7868,178,3647,,ZA_EC,714,31,0,0
2020-06-12,EC,8615,208,4393,,ZA_EC,747,30,746,0
2020-06-13,EC,9250,217,4559,,ZA_EC,635,9,166,0
2020-06-14,EC,10027,227,5244,,ZA_EC,777,10,685,0
2020-06-15,EC,10597,236,5331,,ZA_EC,570,9,87,0
2020-06-16,EC,11039,245,5475,,ZA_EC,442,9,144,0
2020-06-17,EC,11919,251,5845,,ZA_EC,880,6,370,0
2020-06-18,EC,12639,257,6331,,ZA_EC,720,6,486,0
2020-06-19,EC,13506,257,6331,,ZA_EC,867,0,0,0
2020-06-20,EC,14721,268,7470,,ZA_EC,1215,11,1139,0
2020-06-21,EC,15751,285,7738,,ZA_EC,1030,17,268,0
2020-06-22,EC,16895,303,8035,,ZA_EC,1144,18,297,0
2020-06-23,EC,18108,331,8259,,ZA_EC,1213,28,224,0
2020-06-24,EC,19214,346,9668,,ZA_EC,1106,15,1409,0
2020-06-25,EC,20487,363,10439,,ZA_EC,1273,17,771,0
2020-03-05,FS,0,,,,ZA_FS,,,,
2020-03-07,FS,0,,,,ZA_FS,0,,,
2020-03-08,FS,0,,,,ZA_FS,0,,,
2020-03-09,FS,0,,,,ZA_FS,0,,,
2020-03-11,FS,0,,,,ZA_FS,0,,,
2020-03-12,FS,0,,,,ZA_FS,0,,,
2020-03-13,FS,0,,,,ZA_FS,0,,,
2020-03-14,FS,0,,,,ZA_FS,0,,,
2020-03-15,FS,0,,,,ZA_FS,0,,,
