match_string,date,confirmed,new_confirmed,total_confirmed,new_deceased,total_deceased,country_code,subregion2_code,_match_string,key
JH,2020-01-25,1,,1,,0,MY,,jh,MY_01
JH,2020-01-28,2,1,2,1,1,MY,,jh,MY_01
JH,2020-01-30,3,1,3,0,1,MY,,jh,MY_01
JH,2020-02-03,3,0,3,0,1,MY,,jh,MY_01
JH,2020-02-05,3,0,3,0,1,MY,,jh,MY_01
JH,2020-02-06,4,1,4,0,1,MY,,jh,MY_01
JH,2020-02-07,4,0,4,0,1,MY,,jh,MY_01
JH,2020-02-08,4,0,4,0,1,MY,,jh,MY_01
JH,2020-02-09,4,0,4,0,1,MY,,jh,MY_01
JH,2020-02-13,4,0,4,0,1,MY,,jh,MY_01
JH,2020-02-14,4,0,4,0,1,MY,,jh,MY_01
JH,2020-02-15,4,0,4,0,1,MY,,jh,MY_01
JH,2020-02-27,4,0,4,0,1,MY,,jh,MY_01
JH,2020-02-28,4,0,4,0,1,MY,,jh,MY_01
JH,2020-03-01,4,0,4,0,1,MY,,jh,MY_01
JH,2020-03-03,4,0,4,0,1,MY,,jh,MY_01
JH,2020-03-13,20,16,20,0,1,MY,,jh,MY_01
JH,2020-03-14,22,2,22,1,2,MY,,jh,MY_01
JH,2020-03-15,22,0,22,0,2,MY,,jh,MY_01
JH,2020-03-16,52,30,52,0,2,MY,,jh,MY_01
JH,2020-03-17,77,25,77,23,25,MY,,jh,MY_01
JH,2020-03-18,88,11,88,-14,11,MY,,jh,MY_01
JH,2020-03-19,101,13,101,2,13,MY,,jh,MY_01
JH,2020-03-20,114,13,114,0,13,MY,,jh,MY_01
JH,2020-03-21,129,15,129,2,15,MY,,jh,MY_01
JH,2020-03-22,145,16,145,1,16,MY,,jh,MY_01
JH,2020-03-23,158,13,158,-3,13,MY,,jh,MY_01
JH,2020-03-24,162,4,162,-9,4,MY,,jh,MY_01
JH,2020-03-25,196,34,196,30,34,MY,,jh,MY_01
JH,2020-03-26,239,43,239,9,43,MY,,jh,MY_01
JH,2020-03-27,259,20,259,-23,20,MY,,jh,MY_01
JH,2020-03-28,285,26,285,6,26,MY,,jh,MY_01
JH,2020-03-29,309,24,309,-2,24,MY,,jh,MY_01
JH,2020-03-30,333,24,333,0,24,MY,,jh,MY_01
JH,2020-03-31,349,16,349,-8,16,MY,,jh,MY_01
JH,2020-04-01,368,19,368,3,19,MY,,jh,MY_01
JH,2020-04-02,395,27,395,8,27,MY,,jh,MY_01
JH,2020-04-03,416,21,416,-6,21,MY,,jh,MY_01
JH,2020-04-04,422,6,422,-15,6,MY,,jh,MY_01
JH,2020-04-05,438,16,438,10,16,MY,,jh,MY_01
JH,2020-04-06,468,30,468,14,30,MY,,jh,MY_01
JH,2020-04-07,478,10,478,-20,10,MY,,jh,MY_01
JH,2020-04-08,496,18,496,8,18,MY,,jh,MY_01
JH,2020-04-09,503,7,503,-11,7,MY,,jh,MY_01
JH,2020-04-10,523,20,523,13,20,MY,,jh,MY_01
JH,2020-04-11,544,21,544,1,21,MY,,jh,MY_01
JH,2020-04-12,558,14,558,-7,14,MY,,jh,MY_01
JH,2020-04-13,579,21,579,7,21,MY,,jh,MY_01
JH,2020-04-14,587,8,587,-13,8,MY,,jh,MY_01
JH,2020-04-15,601,14,601,6,14,MY,,jh,MY_01
JH,2020-04-16,614,13,614,-1,13,MY,,jh,MY_01
JH,2020-04-17,623,9,623,-4,9,MY,,jh,MY_01
JH,2020-04-18,639,16,639,7,16,MY,,jh,MY_01
JH,2020-04-19,642,3,642,-13,3,MY,,jh,MY_01
JH,2020-04-20,644,2,644,-1,2,MY,,jh,MY_01
JH,2020-04-21,645,1,645,-1,1,MY,,jh,MY_01
JH,2020-04-22,648,3,648,2,3,MY,,jh,MY_01
JH,2020-04-23,651,3,651,0,3,MY,,jh,MY_01
JH,2020-04-24,655,4,655,1,4,MY,,jh,MY_01
JH,2020-04-25,655,0,655,0,4,MY,,jh,MY_01
JH,2020-04-26,659,4,659,0,4,MY,,jh,MY_01
JH,2020-04-27,659,0,659,0,4,MY,,jh,MY_01
JH,2020-04-28,660,1,660,-3,1,MY,,jh,MY_01
JH,2020-04-29,660,0,660,0,1,MY,,jh,MY_01
JH,2020-04-30,663,3,663,2,3,MY,,jh,MY_01
JH,2020-05-01,666,3,666,0,3,MY,,jh,MY_01
JH,2020-05-02,667,1,667,-2,1,MY,,jh,MY_01
JH,2020-05-03,667,0,667,0,1,MY,,jh,MY_01
JH,2020-05-04,667,0,667,0,1,MY,,jh,MY_01
JH,2020-05-05,667,0,667,0,1,MY,,jh,MY_01
JH,2020-05-06,667,0,667,0,1,MY,,jh,MY_01
JH,2020-05-07,667,0,667,0,1,MY,,jh,MY_01
JH,2020-05-08,667,0,667,0,1,MY,,jh,MY_01
JH,2020-05-09,667,0,667,0,1,MY,,jh,MY_01
JH,2020-05-10,667,0,667,0,1,MY,,jh,MY_01
JH,2020-05-11,667,0,667,0,1,MY,,jh,MY_01
JH,2020-05-12,667,0,667,0,1,MY,,jh,MY_01
JH,2020-05-13,667,0,667,0,1,MY,,jh,MY_01
JH,2020-05-14,668,1,668,0,1,MY,,jh,MY_01
JH,2020-05-15,668,0,668,0,1,MY,,jh,MY_01
JH,2020-05-16,668,0,668,0,1,MY,,jh,MY_01
JH,2020-05-17,668,0,668,0,1,MY,,jh,MY_01
JH,2020-05-18,668,0,668,0,1,MY,,jh,MY_01
JH,2020-05-19,669,1,669,0,1,MY,,jh,MY_01
JH,2020-05-20,669,0,669,0,1,MY,,jh,MY_01
JH,2020-05-21,669,0,669,0,1,MY,,jh,MY_01
JH,2020-05-22,669,0,669,0,1,MY,,jh,MY_01
JH,2020-05-23,670,1,670,0,1,MY,,jh,MY_01
JH,2020-05-24,671,1,671,0,1,MY,,jh,MY_01
JH,2020-05-25,671,0,671,0,1,MY,,jh,MY_01
JH,2020-05-26,671,0,671,0,1,MY,,jh,MY_01
JH,2020-05-27,671,0,671,0,1,MY,,jh,MY_01
JH,2020-05-28,671,0,671,0,1,MY,,jh,MY_01
JH,2020-05-29,674,3,674,2,3,MY,,jh,MY_01
JH,2020-05-30,675,1,675,-2,1,MY,,jh,MY_01
JH,2020-05-31,675,0,675,0,1,MY,,jh,MY_01
JH,2020-06-01,675,0,675,0,1,MY,,jh,MY_01
JH,2020-06-02,676,1,676,0,1,MY,,jh,MY_01
JH,2020-06-03,676,0,676,0,1,MY,,jh,MY_01
JH,2020-06-04,676,0,676,0,1,MY,,jh,MY_01
JH,2020-06-05,676,0,676,0,1,MY,,jh,MY_01
JH,2020-06-06,676,0,676,0,1,MY,,jh,MY_01
JH,2020-06-07,676,0,676,0,1,MY,,jh,MY_01
JH,2020-06-08,676,0,676,0,1,MY,,jh,MY_01
