country_code,match_string,date,total_confirmed,total_percent,total_deceased,icu,new_confirmed,new_percent,new_deceased,key
SE,blekinge,2020-03-16,9,1,0,,,,,SE_221
SE,blekinge,2020-03-17,11,1,0,,2,0,0,SE_221
SE,blekinge,2020-03-18,11,1,0,,0,0,0,SE_221
SE,blekinge,2020-03-19,11,1,0,,0,0,0,SE_221
SE,blekinge,2020-03-20,12,1,0,,1,0,0,SE_221
SE,blekinge,2020-03-21,12,1,0,,0,0,0,SE_221
SE,blekinge,2020-03-22,12,1,0,,0,0,0,SE_221
SE,blekinge,2020-03-23,12,1,0,,0,0,0,SE_221
SE,blekinge,2020-03-24,12,1,0,,0,0,0,SE_221
SE,blekinge,2020-03-25,12,0,0,,0,-1,0,SE_221
SE,blekinge,2020-03-26,15,1,0,,3,1,0,SE_221
SE,blekinge,2020-03-27,15,,0,0,0,0,0,SE_221
SE,blekinge,2020-03-28,15,,0,1,0,0,0,SE_221
SE,blekinge,2020-03-29,17,,0,1,2,0,0,SE_221
SE,blekinge,2020-03-30,20,,0,1,3,0,0,SE_221
SE,blekinge,2020-03-31,21,,0,1,1,0,0,SE_221
SE,blekinge,2020-04-01,22,,1,1,1,0,1,SE_221
SE,blekinge,2020-04-02,27,,1,1,5,0,0,SE_221
SE,blekinge,2020-04-03,27,,1,2,0,0,0,SE_221
SE,blekinge,2020-04-04,30,,1,2,3,0,0,SE_221
SE,blekinge,2020-04-05,31,,1,2,1,0,0,SE_221
SE,blekinge,2020-04-06,36,,1,2,5,0,0,SE_221
SE,blekinge,2020-04-07,37,,1,2,1,0,0,SE_221
SE,blekinge,2020-04-08,37,,1,2,0,0,0,SE_221
SE,blekinge,2020-04-09,39,,1,2,2,0,0,SE_221
SE,blekinge,2020-04-10,39,,1,2,0,0,0,SE_221
SE,blekinge,2020-04-11,41,,1,2,2,0,0,SE_221
SE,blekinge,2020-04-12,41,,1,3,0,0,0,SE_221
SE,blekinge,2020-04-13,41,,1,2,0,0,0,SE_221
SE,blekinge,2020-04-14,42,,2,3,1,0,1,SE_221
SE,blekinge,2020-04-15,43,,2,3,1,0,0,SE_221
SE,blekinge,2020-04-16,43,,2,3,0,0,0,SE_221
SE,blekinge,2020-04-17,43,,2,3,0,0,0,SE_221
SE,blekinge,2020-04-18,43,,2,3,0,0,0,SE_221
SE,blekinge,2020-04-19,43,,2,3,0,0,0,SE_221
SE,blekinge,2020-04-20,43,,2,3,0,0,0,SE_221
SE,blekinge,2020-04-21,44,,2,3,1,0,0,SE_221
SE,blekinge,2020-04-22,47,,2,3,3,0,0,SE_221
SE,blekinge,2020-04-23,54,,2,3,7,0,0,SE_221
SE,blekinge,2020-04-24,56,,2,3,2,0,0,SE_221
SE,blekinge,2020-04-25,63,,2,3,7,0,0,SE_221
SE,blekinge,2020-04-26,63,,2,3,0,0,0,SE_221
SE,blekinge,2020-04-27,64,,2,3,1,0,0,SE_221
SE,blekinge,2020-04-28,64,,2,3,0,0,0,SE_221
SE,blekinge,2020-04-29,67,,2,3,3,0,0,SE_221
SE,blekinge,2020-04-30,73,,2,3,6,0,0,SE_221
SE,blekinge,2020-05-01,73,,2,3,0,0,0,SE_221
SE,blekinge,2020-05-02,73,,2,3,0,0,0,SE_221
SE,blekinge,2020-05-03,74,,2,3,1,0,0,SE_221
SE,blekinge,2020-05-04,74,,2,3,0,0,0,SE_221
SE,blekinge,2020-05-05,74,,2,3,0,0,0,SE_221
SE,blekinge,2020-05-06,77,,2,3,3,0,0,SE_221
SE,blekinge,2020-05-07,78,,2,3,1,0,0,SE_221
SE,blekinge,2020-05-08,80,,2,3,2,0,0,SE_221
SE,blekinge,2020-05-09,82,,2,3,2,0,0,SE_221
