population,human_development_index,key
76177,0.858,AD
9400145,0.863,AE
34940837,0.498,AF
,,AF_BAL
492400,,AF_BAM
500000,,AF_BDG
823000,,AF_BDS
,,AF_BGL
417300,,AF_DAY
,,AF_FRA
,,AF_FYB
,,AF_GHA
680200,,AF_GHO
859600,,AF_HEL
1762157,,AF_HER
,,AF_JOW
4012000,,AF_KAB
,,AF_KAN
399500,,AF_KAP
820000,,AF_KDZ
,,AF_KHO
578500,,AF_KNR
4035000,,AF_LAG
,,AF_LOG
,,AF_NAN
149000,,AF_NIM
,,AF_NUR
,,AF_PAN
664502,,AF_PAR
4992000,,AF_PIA
393800,,AF_PKA
,,AF_SAM
532000,,AF_SAR
,,AF_TAK
,,AF_URU
540100,,AF_WAR
,,AF_ZAB
102012,0.78,AG
16086,,AI
2873457,0.785,AL
2930450,0.755,AM
197041,,AN
29784193,0.581,AO
4400,,AQ
44938712,0.825,AR
1333365,,AR_A
1796320,,AR_B
3063728,,AR_C
489255,,AR_D
1235994,,AR_E
387728,,AR_F
896461,,AR_G
1055259,,AR_H
738959,,AR_J
396895,,AR_K
349299,,AR_L
2086000,,AR_M
1189446,,AR_N
527895,,AR_P
637913,,AR_Q
638645,,AR_R
3397532,,AR_S
1448188,,AR_T
618994,,AR_U
160720,,AR_V
992595,,AR_W
3567654,,AR_X
727780,,AR_Y
273964,,AR_Z
55689,,AS
8809212,0.908,AT
291023,,AT_11
1653419,,AT_12
1888776,,AT_13
560300,,AT_21
1231865,,AT_22
1453733,,AT_31
545742,,AT_32
739002,,AT_33
388711,,AT_34
24511800,0.939,AU
396857,,AU_ACT
7480228,,AU_NSW
245562,,AU_NT
4703193,,AU_QLD
1742744,,AU_SA
509965,,AU_TAS
5926624,,AU_VIC
2474410,,AU_WA
112309,,AW
10000000,0.757,AZ
3507017,0.768,BA
285719,0.8,BB
164669751,0.608,BD
11431406,0.916,BE
19193382,0.423,BF
6951482,0.813,BG
1492584,0.846,BH
10864245,0.417,BI
11175692,0.515,BJ
65024,,BM
428697,0.853,BN
11051600,0.693,BO
421196,,BO_B
1930143,,BO_C
581347,,BO_H
2719344,,BO_L
110436,,BO_N
494587,,BO_O
823517,,BO_P
2655084,,BO_S
482196,,BO_T
25019,,BQ
210147125,0.761,BR
881935,,BR_AC
3322820,,BR_AL
4063614,,BR_AM
797722,,BR_AP
15344447,,BR_BA
9020460,,BR_CE
3039444,,BR_DF
3885049,,BR_ES
6778772,,BR_GO
7000229,,BR_MA
21119536,,BR_MG
2713147,,BR_MS
3344544,,BR_MT
8366628,,BR_PA
4025558,,BR_PB
9473266,,BR_PE
3219257,,BR_PI
11320892,,BR_PR
16718956,0.761,BR_RJ
3507003,,BR_RN
1590011,,BR_RO
1805788,,BR_RR
11322895,,BR_RS
7001161,,BR_SC
2288116,,BR_SE
45595497,,BR_SP
1550194,,BR_TO
395361,0.807,BS
807610,0.612,BT
0,,BV
2291661,0.717,BW
9408400,0.808,BY
374681,0.708,BZ
44,0.926,CA
4306039,,CA_AB
4841078,,CA_BC
1343371,,CA_MB
760868,,CA_NB
528430,,CA_NL
957600,,CA_NS
44718,,CA_NT
38243,,CA_NU
14279196,,CA_ON
152784,,CA_PE
8484965,,CA_QC
1168057,,CA_SK
38669,,CA_YT
596,,CC
86790567,0.457,CD
4659080,0.367,CF
5260750,0.606,CG
8466017,0.944,CH
678207,,CH_AG
16145,,CH_AI
55234,,CH_AR
1034977,,CH_BE
288132,,CH_BL
194766,,CH_BS
318714,,CH_FR
499480,,CH_GE
40403,,CH_GL
198379,,CH_GR
73419,,CH_JU
409557,,CH_LU
176850,,CH_NE
43223,,CH_NW
37841,,CH_OW
507697,,CH_SG
81991,,CH_SH
273194,,CH_SO
159165,,CH_SZ
276472,,CH_TG
353343,,CH_TI
36433,,CH_UR
799145,,CH_VD
343955,,CH_VS
126837,,CH_ZG
1520968,,CH_ZH
24294750,0.492,CI
17434,,CK
18054726,0.843,CL
103158,,CL_AI
607534,,CL_AN
226068,,CL_AP
957224,,CL_AR
286168,,CL_AT
1556805,,CL_BI
757586,,CL_CO
914555,,CL_LI
828708,,CL_LL
384837,,CL_LR
166533,,CL_MA
133282,,CL_MA
1044950,,CL_ML
480609,,CL_NB
7112808,,CL_RM
330558,,CL_TA
1815902,,CL_VS
24053727,0.556,CM
1409517397,0.752,CN
60300000,,CN_AH
21710000,,CN_BJ
4300000,,CN_CQ
36894216,,CN_FJ
113460000,,CN_GD
25575254,,CN_GS
46026629,,CN_GX
35800000,,CN_GZ
96050000,,CN_HA
58160000,,CN_HB
71854202,,CN_HE
9171300,,CN_HI
7500700,0.933,CN_HK
38312224,,CN_HL
65683722,,CN_HN
27462297,,CN_JL
78659903,,CN_JS
44567475,,CN_JX
43746323,,CN_LN
642900,,CN_MO
24706321,,CN_NM
6301350,,CN_NX
5930000,,CN_QH
81100000,,CN_SC
95793065,,CN_SD
23390000,,CN_SH
37327378,,CN_SN
36500000,,CN_SX
13245000,,CN_TJ
23140000,,CN_TW
21813334,,CN_XJ
3180000,,CN_XZ
47420000,,CN_YN
56570000,,CN_ZJ
49833395,0.747,CO
6677930,,CO_05
2529403,,CO_05_05001
,,CO_05_05002
,,CO_05_05004
,,CO_05_05021
30376,,CO_05_05030
22714,,CO_05_05031
47384,,CO_05_05034
,,CO_05_05036
,,CO_05_05038
,,CO_05_05040
22764,,CO_05_05042
,,CO_05_05044
131405,,CO_05_05045
44560,,CO_05_05051
,,CO_05_05055
,,CO_05_05059
53167,,CO_05_05079
,,CO_05_05086
371591,,CO_05_05088
,,CO_05_05091
,,CO_05_05093
27458,,CO_05_05101
,,CO_05_05107
,,CO_05_05113
42112,,CO_05_05120
,,CO_05_05125
81381,,CO_05_05129
,,CO_05_05134
,,CO_05_05138
,,CO_05_05142
,,CO_05_05145
61641,,CO_05_05147
49076,,CO_05_05148
,,CO_05_05150
87532,,CO_05_05154
84183,,CO_05_05172
9247,,CO_05_05190
,,CO_05_05197
3463,,CO_05_05206
20271,,CO_05_05209
73574,,CO_05_05212
22954,,CO_05_05234
24201,,CO_05_05237
,,CO_05_05240
50863,,CO_05_05250
,,CO_05_05264
228848,,CO_05_05266
20997,,CO_05_05282
,,CO_05_05284
,,CO_05_05306
59319,,CO_05_05308
,,CO_05_05310
,,CO_05_05313
,,CO_05_05315
51265,,CO_05_05318
8,,CO_05_05321
6138,,CO_05_05347
,,CO_05_05353
235016,,CO_05_05360
,,CO_05_05361
13748,,CO_05_05364
,,CO_05_05368
55246,,CO_05_05376
66281,,CO_05_05380
,,CO_05_05390
19119,,CO_05_05400
,,CO_05_05411
,,CO_05_05425
64645,,CO_05_05440
,,CO_05_05467
,,CO_05_05475
22505,,CO_05_05480
,,CO_05_05483
69090,,CO_05_05490
25790,,CO_05_05495
,,CO_05_05501
,,CO_05_05541
,,CO_05_05543
,,CO_05_05576
50232,,CO_05_05579
,,CO_05_05585
21745,,CO_05_05591
32057,,CO_05_05604
16974,,CO_05_05607
114299,,CO_05_05615
,,CO_05_05628
54573,,CO_05_05631
17804,,CO_05_05642
,,CO_05_05647
,,CO_05_05649
,,CO_05_05652
,,CO_05_05656
,,CO_05_05658
27149,,CO_05_05659
,,CO_05_05660
28438,,CO_05_05664
32328,,CO_05_05665
,,CO_05_05667
,,CO_05_05670
,,CO_05_05674
21413,,CO_05_05679
37435,,CO_05_05686
10759,,CO_05_05690
27316,,CO_05_05697
38661,,CO_05_05736
36445,,CO_05_05756
14453,,CO_05_05761
15218,,CO_05_05789
39257,,CO_05_05790
7542,,CO_05_05792
14092,,CO_05_05809
6144,,CO_05_05819
181000,,CO_05_05837
8253,,CO_05_05842
47128,,CO_05_05847
24538,,CO_05_05854
,,CO_05_05856
,,CO_05_05858
,,CO_05_05861
,,CO_05_05873
,,CO_05_05885
48556,,CO_05_05887
25647,,CO_05_05890
,,CO_05_05893
29614,,CO_05_05895
2722128,,CO_08
1274250,,CO_08_08001
50261,,CO_08_08078
18354,,CO_08_08137
12576,,CO_08_08141
43896,,CO_08_08296
14184,,CO_08_08372
28246,,CO_08_08421
99058,,CO_08_08433
13456,,CO_08_08436
25886,,CO_08_08520
4874,,CO_08_08549
13518,,CO_08_08558
23243,,CO_08_08560
26595,,CO_08_08573
27445,,CO_08_08606
34369,,CO_08_08634
84410,,CO_08_08638
11947,,CO_08_08675
25775,,CO_08_08685
455796,,CO_08_08758
9344,,CO_08_08770
10602,,CO_08_08832
8561,,CO_08_08849
7743955,,CO_11
7743955,,CO_11_11001
2180976,,CO_13
1036412,,CO_13_13001
23051,,CO_13_13006
13669,,CO_13_13030
18876,,CO_13_13042
78070,,CO_13_13052
,,CO_13_13062
,,CO_13_13074
24573,,CO_13_13140
,,CO_13_13160
,,CO_13_13188
12266,,CO_13_13212
,,CO_13_13222
78729,,CO_13_13244
,,CO_13_13248
,,CO_13_13268
12270,,CO_13_13300
123906,,CO_13_13430
27127,,CO_13_13433
9876,,CO_13_13440
49462,,CO_13_13442
21229,,CO_13_13458
45417,,CO_13_13468
21182,,CO_13_13473
9850,,CO_13_13490
24923,,CO_13_13549
10489,,CO_13_13580
,,CO_13_13600
,,CO_13_13620
,,CO_13_13647
,,CO_13_13650
21644,,CO_13_13654
13426,,CO_13_13655
34012,,CO_13_13657
,,CO_13_13667
36341,,CO_13_13670
,,CO_13_13673
24694,,CO_13_13683
46017,,CO_13_13688
20271,,CO_13_13744
,,CO_13_13760
11350,,CO_13_13780
22041,,CO_13_13810
76218,,CO_13_13836
,,CO_13_13838
20624,,CO_13_13873
,,CO_13_13894
1242731,,CO_15
179263,,CO_15_15001
2171,,CO_15_15022
16087,,CO_15_15047
5240,,CO_15_15051
,,CO_15_15087
,,CO_15_15090
,,CO_15_15092
7079,,CO_15_15097
,,CO_15_15104
2584,,CO_15_15106
,,CO_15_15109
,,CO_15_15114
3638,,CO_15_15131
,,CO_15_15135
,,CO_15_15162
3528,,CO_15_15172
65274,,CO_15_15176
4291,,CO_15_15180
9542,,CO_15_15183
5687,,CO_15_15185
,,CO_15_15187
,,CO_15_15189
,,CO_15_15204
,,CO_15_15212
,,CO_15_15215
2861,,CO_15_15218
6725,,CO_15_15223
,,CO_15_15224
,,CO_15_15226
5484,,CO_15_15232
,,CO_15_15236
126670,,CO_15_15238
5241,,CO_15_15244
4195,,CO_15_15248
,,CO_15_15272
,,CO_15_15276
2654,,CO_15_15293
,,CO_15_15296
,,CO_15_15299
1693,,CO_15_15317
,,CO_15_15322
,,CO_15_15325
6909,,CO_15_15332
,,CO_15_15362
,,CO_15_15367
,,CO_15_15368
5099,,CO_15_15377
,,CO_15_15380
,,CO_15_15401
2523,,CO_15_15403
18598,,CO_15_15407
,,CO_15_15425
7480,,CO_15_15442
,,CO_15_15455
,,CO_15_15464
,,CO_15_15466
21402,,CO_15_15469
8067,,CO_15_15476
8548,,CO_15_15480
,,CO_15_15491
,,CO_15_15494
,,CO_15_15500
,,CO_15_15507
,,CO_15_15511
,,CO_15_15514
31868,,CO_15_15516
1719,,CO_15_15518
1487,,CO_15_15522
,,CO_15_15531
,,CO_15_15533
,,CO_15_15537
9322,,CO_15_15542
,,CO_15_15550
56930,,CO_15_15572
,,CO_15_15580
,,CO_15_15599
,,CO_15_15600
,,CO_15_15621
12372,,CO_15_15632
3791,,CO_15_15638
20767,,CO_15_15646
,,CO_15_15660
5221,,CO_15_15664
,,CO_15_15667
3682,,CO_15_15673
,,CO_15_15676
,,CO_15_15681
7692,,CO_15_15686
,,CO_15_15690
,,CO_15_15693
2704,,CO_15_15696
2339,,CO_15_15720
1110,,CO_15_15723
,,CO_15_15740
7255,,CO_15_15753
,,CO_15_15755
7140,,CO_15_15757
131105,,CO_15_15759
,,CO_15_15761
3025,,CO_15_15762
,,CO_15_15763
,,CO_15_15764
3095,,CO_15_15774
5916,,CO_15_15776
,,CO_15_15778
6361,,CO_15_15790
,,CO_15_15798
9186,,CO_15_15804
,,CO_15_15806
3035,,CO_15_15808
3206,,CO_15_15810
,,CO_15_15814
4966,,CO_15_15816
,,CO_15_15820
5386,,CO_15_15822
1840,,CO_15_15832
,,CO_15_15835
,,CO_15_15837
1890,,CO_15_15839
,,CO_15_15842
,,CO_15_15861
,,CO_15_15879
,,CO_15_15897
1018453,,CO_17
434403,,CO_17_17001
21237,,CO_17_17013
33272,,CO_17_17042
,,CO_17_17050
,,CO_17_17088
50673,,CO_17_17174
,,CO_17_17272
78540,,CO_17_17380
,,CO_17_17388
22623,,CO_17_17433
,,CO_17_17442
,,CO_17_17444
,,CO_17_17446
31399,,CO_17_17486
,,CO_17_17495
,,CO_17_17513
,,CO_17_17524
26342,,CO_17_17541
62296,,CO_17_17614
,,CO_17_17616
,,CO_17_17653
25798,,CO_17_17662
,,CO_17_17665
27489,,CO_17_17777
,,CO_17_17867
60729,,CO_17_17873
,,CO_17_17877
410521,0.752,CO_18
143871,,CO_18_18001
,,CO_18_18029
,,CO_18_18094
35473,,CO_18_18150
,,CO_18_18205
22306,,CO_18_18247
21462,,CO_18_18256
24323,,CO_18_18410
,,CO_18_18460
,,CO_18_18479
33701,,CO_18_18592
,,CO_18_18610
72949,,CO_18_18753
25546,,CO_18_18756
,,CO_18_18785
,,CO_18_18860
1491937,,CO_19
300837,,CO_19_19001
21374,,CO_19_19022
27670,,CO_19_19050
26384,,CO_19_19075
44868,,CO_19_19100
34631,,CO_19_19110
38703,,CO_19_19130
34132,,CO_19_19137
,,CO_19_19142
33489,,CO_19_19212
48094,,CO_19_19256
,,CO_19_19290
,,CO_19_19300
29989,,CO_19_19318
32582,,CO_19_19355
,,CO_19_19364
,,CO_19_19392
47417,,CO_19_19397
20867,,CO_19_19418
,,CO_19_19450
42639,,CO_19_19455
26707,,CO_19_19473
,,CO_19_19513
36628,,CO_19_19517
37504,,CO_19_19532
,,CO_19_19533
46163,,CO_19_19548
46166,,CO_19_19573
,,CO_19_19585
,,CO_19_19622
,,CO_19_19693
110535,,CO_19_19698
,,CO_19_19701
32692,,CO_19_19743
,,CO_19_19760
,,CO_19_19780
,,CO_19_19785
35564,,CO_19_19807
22077,,CO_19_19809
30397,,CO_19_19821
21298,,CO_19_19824
,,CO_19_19845
1295387,0.729,CO_20
490075,,CO_20_20001
109621,,CO_20_20011
49233,,CO_20_20013
,,CO_20_20032
,,CO_20_20045
39716,,CO_20_20060
30303,,CO_20_20175
,,CO_20_20178
23018,,CO_20_20228
,,CO_20_20238
23534,,CO_20_20250
,,CO_20_20295
,,CO_20_20310
,,CO_20_20383
22405,,CO_20_20400
,,CO_20_20443
,,CO_20_20517
,,CO_20_20550
24572,,CO_20_20570
14041,,CO_20_20614
23025,,CO_20_20621
26551,,CO_20_20710
,,CO_20_20750
,,CO_20_20770
,,CO_20_20787
1828947,,CO_23
460223,,CO_23_23001
47247,,CO_23_23068
22711,,CO_23_23079
23520,,CO_23_23090
83917,,CO_23_23162
,,CO_23_23168
50313,,CO_23_23182
64226,,CO_23_23189
,,CO_23_23300
,,CO_23_23350
110316,,CO_23_23417
26705,,CO_23_23419
,,CO_23_23464
88674,,CO_23_23466
29117,,CO_23_23500
69285,,CO_23_23555
41684,,CO_23_23570
32745,,CO_23_23574
53990,,CO_23_23580
,,CO_23_23586
90487,,CO_23_23660
47282,,CO_23_23670
33662,,CO_23_23672
36200,,CO_23_23675
28597,,CO_23_23678
,,CO_23_23682
45396,,CO_23_23686
78770,,CO_23_23807
41345,,CO_23_23815
46897,,CO_23_23855
3242999,,CO_25
10995,,CO_25_25001
5956,,CO_25_25019
,,CO_25_25035
12911,,CO_25_25040
,,CO_25_25053
,,CO_25_25086
,,CO_25_25095
11254,,CO_25_25099
,,CO_25_25120
,,CO_25_25123
61549,,CO_25_25126
,,CO_25_25148
,,CO_25_25151
,,CO_25_25154
,,CO_25_25168
97896,,CO_25_25175
,,CO_25_25178
,,CO_25_25181
25257,,CO_25_25183
24092,,CO_25_25200
26980,,CO_25_25214
,,CO_25_25224
22247,,CO_25_25245
4759,,CO_25_25258
17254,,CO_25_25260
117133,,CO_25_25269
,,CO_25_25279
,,CO_25_25281
80937,,CO_25_25286
,,CO_25_25288
139805,,CO_25_25290
,,CO_25_25293
,,CO_25_25295
,,CO_25_25297
,,CO_25_25299
129834,,CO_25_25307
9253,,CO_25_25312
,,CO_25_25317
41142,,CO_25_25320
15727,,CO_25_25322
2711,,CO_25_25324
6963,,CO_25_25326
3668,,CO_25_25328
,,CO_25_25335
,,CO_25_25339
2660,,CO_25_25368
8720,,CO_25_25372
28908,,CO_25_25377
33241,,CO_25_25386
,,CO_25_25394
,,CO_25_25398
,,CO_25_25402
,,CO_25_25407
,,CO_25_25426
80622,,CO_25_25430
,,CO_25_25436
10205,,CO_25_25438
91282,,CO_25_25473
,,CO_25_25483
,,CO_25_25486
,,CO_25_25488
,,CO_25_25489
,,CO_25_25491
,,CO_25_25506
27977,,CO_25_25513
,,CO_25_25518
,,CO_25_25524
7835,,CO_25_25530
,,CO_25_25535
,,CO_25_25572
,,CO_25_25580
,,CO_25_25592
,,CO_25_25594
,,CO_25_25596
,,CO_25_25599
,,CO_25_25612
,,CO_25_25645
,,CO_25_25649
,,CO_25_25653
,,CO_25_25658
,,CO_25_25662
,,CO_25_25718
,,CO_25_25736
38412,,CO_25_25740
22020,,CO_25_25743
,,CO_25_25745
995268,,CO_25_25754
29120,,CO_25_25758
,,CO_25_25769
17318,,CO_25_25772
,,CO_25_25777
,,CO_25_25779
,,CO_25_25781
29731,,CO_25_25785
,,CO_25_25793
,,CO_25_25797
20269,,CO_25_25799
,,CO_25_25805
,,CO_25_25807
18790,,CO_25_25815
35439,,CO_25_25817
,,CO_25_25823
,,CO_25_25839
,,CO_25_25841
39568,,CO_25_25843
,,CO_25_25845
,,CO_25_25851
,,CO_25_25862
,,CO_25_25867
,,CO_25_25871
21049,,CO_25_25873
43574,,CO_25_25875
,,CO_25_25878
,,CO_25_25885
5570,,CO_25_25898
196409,,CO_25_25899
544764,,CO_27
130825,,CO_27_27001
,,CO_27_27006
40733,,CO_27_27025
,,CO_27_27050
,,CO_27_27073
,,CO_27_27075
,,CO_27_27077
,,CO_27_27099
,,CO_27_27135
,,CO_27_27150
,,CO_27_27160
,,CO_27_27205
,,CO_27_27245
,,CO_27_27250
25981,,CO_27_27361
,,CO_27_27372
,,CO_27_27413
33542,,CO_27_27425
,,CO_27_27430
,,CO_27_27450
,,CO_27_27491
8958,,CO_27_27495
,,CO_27_27580
,,CO_27_27600
29036,,CO_27_27615
,,CO_27_27660
,,CO_27_27745
,,CO_27_27787
,,CO_27_27800
,,CO_27_27810
1122622,,CO_41
316033,,CO_41_41001
39877,,CO_41_41006
,,CO_41_41013
29177,,CO_41_41016
24708,,CO_41_41020
,,CO_41_41026
,,CO_41_41078
34923,,CO_41_41132
,,CO_41_41206
,,CO_41_41244
69823,,CO_41_41298
35498,,CO_41_41306
22867,,CO_41_41319
,,CO_41_41349
,,CO_41_41357
28530,,CO_41_41359
,,CO_41_41378
67220,,CO_41_41396
,,CO_41_41483
,,CO_41_41503
,,CO_41_41518
800000,,CO_41_41524
,,CO_41_41530
,,CO_41_41548
133205,,CO_41_41551
,,CO_41_41615
,,CO_41_41660
34120,,CO_41_41668
,,CO_41_41676
21119,,CO_41_41770
,,CO_41_41791
,,CO_41_41797
,,CO_41_41799
,,CO_41_41801
20463,,CO_41_41807
,,CO_41_41872
,,CO_41_41885
965718,0.76,CO_44
167865,,CO_44_44001
28474,,CO_44_44035
37554,,CO_44_44078
37854,,CO_44_44090
17112,,CO_44_44098
9121,,CO_44_44110
35205,,CO_44_44279
28671,,CO_44_44378
3341,,CO_44_44420
123757,,CO_44_44430
67584,,CO_44_44560
39472,,CO_44_44650
117674,,CO_44_44847
19629,,CO_44_44855
28736,,CO_44_44874
1427026,,CO_47
515556,,CO_47_47001
,,CO_47_47030
40400,,CO_47_47053
32637,,CO_47_47058
,,CO_47_47161
15960,,CO_47_47170
129414,,CO_47_47189
,,CO_47_47205
55530,,CO_47_47245
16752,,CO_47_47258
20981,,CO_47_47268
90514,,CO_47_47288
28277,,CO_47_47318
21612,,CO_47_47460
