total_pruid,subregion1_name,date,total_confirmed,total_numprob,total_deceased,total_numtotal,total_tested,total_recovered,total_percentrecover,total_ratetested,total_numtoday,total_percentoday,total_ratetotal,total_ratedeaths,total_deathstoday,total_percentdeath,total_testedtoday,total_recoveredtoday,total_percentactive,new_pruid,new_confirmed,new_numprob,new_deceased,new_numtotal,new_tested,new_recovered,new_percentrecover,new_ratetested,new_numtoday,new_percentoday,new_ratetotal,new_ratedeaths,new_deathstoday,new_percentdeath,new_testedtoday,new_recoveredtoday,new_percentactive,country_code,key
48,Alberta,2020-03-08,1,0,0,1,,,,,1,100,0.02,0,0,0,,,100,,,,,,,,,,,,,,,,,,,CA,CA_AB
48,Alberta,2020-03-09,7,0,0,7,,,,,6,600,0.16,0,0,0,,,100,0,6,0,0,6,,,,,5,500,0.14,0,0,0,,,0,CA,CA_AB
48,Alberta,2020-03-11,14,0,0,14,1969,,,450,0,0,0.32,0,0,0,1969,,100,0,7,0,0,7,,,,,-6,-600,0.16,0,0,0,,,0,CA,CA_AB
48,Alberta,2020-03-12,19,0,0,19,4109,,,940,5,35.71,0.43,0,0,0,2140,,100,0,5,0,0,5,2140,,,490,5,35.71,0.11,0,0,0,171,,0,CA,CA_AB
48,Alberta,2020-03-13,23,0,0,23,4109,,,940,4,21.05,0.53,0,0,0,0,,100,0,4,0,0,4,0,,,0,-1,-14.66,0.1,0,0,0,-2140,,0,CA,CA_AB
48,Alberta,2020-03-14,29,0,0,29,5247,,,1200,6,26.09,0.66,0,0,0,1138,,100,0,6,0,0,6,1138,,,260,2,5.04,0.13,0,0,0,1138,,0,CA,CA_AB
48,Alberta,2020-03-15,39,0,0,39,5247,,,1200,10,34.48,0.89,0,0,0,0,,100,0,10,0,0,10,0,,,0,4,8.39,0.23,0,0,0,-1138,,0,CA,CA_AB
48,Alberta,2020-03-16,56,0,0,56,10238,,,2342,17,43.59,1.28,0,0,0,4991,,100,0,17,0,0,17,4991,,,1142,7,9.11,0.39,0,0,0,4991,,0,CA,CA_AB
48,Alberta,2020-03-17,74,0,0,74,11487,,,2628,18,32.14,1.69,0,0,0,1249,,100,0,18,0,0,18,1249,,,286,1,-11.45,0.41,0,0,0,-3742,,0,CA,CA_AB
48,Alberta,2020-03-18,97,0,0,97,13686,,,3131,23,31.08,2.22,0,0,0,2199,,100,0,23,0,0,23,2199,,,503,5,-1.06,0.53,0,0,0,950,,0,CA,CA_AB
48,Alberta,2020-03-19,146,0,1,146,16507,,,3776,49,50.52,3.34,0.023,1,0.68,2821,,99.32,0,49,0,1,49,2821,,,645,26,19.44,1.12,0.023,1,0.68,622,,-0.68,CA,CA_AB
48,Alberta,2020-03-20,195,0,1,195,19782,,,4525,49,33.56,4.46,0.023,0,0.51,3275,,99.49,0,49,0,0,49,3275,,,749,0,-16.96,1.12,0,-1,-0.17,454,,0.17,CA,CA_AB
48,Alberta,2020-03-21,226,0,1,226,23060,,,5275,31,15.9,5.17,0.023,0,0.44,3278,,99.56,0,31,0,0,31,3278,,,750,-18,-17.66,0.71,0,0,-0.07,3,,0.07,CA,CA_AB
48,Alberta,2020-03-22,259,0,1,259,26999,,,6176,33,14.6,5.92,0.023,0,0.39,3939,,99.61,0,33,0,0,33,3939,,,901,2,-1.3,0.75,0,0,-0.05,661,,0.05,CA,CA_AB
48,Alberta,2020-03-23,301,0,1,301,29757,,,6807,42,16.22,6.89,0.023,0,0.33,2758,,99.67,0,42,0,0,42,2758,,,631,9,1.62,0.97,0,0,-0.06,-1181,,0.06,CA,CA_AB
48,Alberta,2020-03-24,358,0,2,358,32776,,,7498,57,18.94,8.19,0.046,1,0.56,3019,,99.44,0,57,0,1,57,3019,,,691,15,2.72,1.3,0.023,1,0.23,261,,-0.23,CA,CA_AB
48,Alberta,2020-03-25,419,0,2,419,35508,,,8123,61,17.04,9.59,0.046,0,0.48,2732,,99.52,0,61,0,0,61,2732,,,625,4,-1.9,1.4,0,-1,-0.08,-287,,0.08,CA,CA_AB
48,Alberta,2020-03-26,486,0,2,486,36600,27,5.56,8373,67,15.99,11.12,0.046,0,0.41,1092,27,94.03,0,67,0,0,67,1092,,,250,6,-1.05,1.53,0,0,-0.07,-1640,,-5.49,CA,CA_AB
48,Alberta,2020-03-27,542,0,2,542,38215,27,4.98,8742,56,11.52,12.4,0.046,0,0.37,1615,0,94.65,0,56,0,0,56,1615,0,-0.58,369,-11,-4.47,1.28,0,0,-0.04,523,-27,0.62,CA,CA_AB
48,Alberta,2020-03-28,542,0,2,542,38215,53,9.78,8742,0,0,12.4,0.046,0,0.37,0,26,89.85,0,0,0,0,0,0,26,4.8,0,-56,-11.52,0,0,0,0,-1615,26,-4.8,CA,CA_AB
48,Alberta,2020-03-29,621,0,2,621,44097,73,11.76,10088,79,14.58,14.21,0.046,0,0.32,5882,20,87.92,0,79,0,0,79,5882,20,1.98,1346,79,14.58,1.81,0,0,-0.05,5882,-6,-1.93,CA,CA_AB
48,Alberta,2020-03-30,690,0,8,690,46057,94,13.62,10536,69,11.11,15.78,0.183,6,1.16,1960,21,85.22,0,69,0,6,69,1960,21,1.86,448,-10,-3.47,1.57,0.137,6,0.84,-3922,1,-2.7,CA,CA_AB
48,Alberta,2020-03-31,754,0,9,754,48692,120,15.92,11139,64,9.28,17.25,0.206,1,1.19,2635,26,82.89,0,64,0,1,64,2635,26,2.3,603,-5,-1.83,1.47,0.023,-5,0.03,675,5,-2.33,CA,CA_AB
48,Alberta,2020-04-01,754,0,9,754,53141,142,18.83,12157,0,0,17.25,0.206,0,1.19,4449,22,79.97,0,0,0,0,0,4449,22,2.91,1018,-64,-9.28,0,0,-1,0,1814,-4,-2.92,CA,CA_AB
48,Alberta,2020-04-02,968,0,13,968,57096,174,17.98,13062,214,28.38,22.14,0.297,4,1.34,3955,32,80.68,0,214,0,4,214,3955,32,-0.85,905,214,28.38,4.89,0.091,4,0.15,-494,10,0.71,CA,CA_AB
48,Alberta,2020-04-03,1075,0,18,1075,60508,,,13842,107,11.05,24.59,0.412,5,1.67,3412,,98.33,0,107,0,5,107,3412,0,0,780,-107,-17.33,2.45,0.115,1,0.33,-543,0,17.65,CA,CA_AB
48,Alberta,2020-04-04,1075,0,18,1075,62520,,,14302,0,0,24.59,0.412,0,1.67,2012,,98.33,0,0,0,0,0,2012,0,0,460,-107,-11.05,0,0,-5,0,-1400,0,0,CA,CA_AB
48,Alberta,2020-04-05,1250,0,23,1250,63315,240,19.2,14484,175,16.28,28.6,0.526,5,1.84,795,240,78.96,0,175,0,5,175,795,66,1.22,182,175,16.28,4.01,0.114,5,0.17,-1217,208,-19.37,CA,CA_AB
48,Alberta,2020-04-06,1348,0,24,1348,64183,361,26.78,14683,98,7.84,30.84,0.549,1,1.78,868,121,71.44,0,98,0,1,98,868,121,7.58,199,-77,-8.44,2.24,0.023,-4,-0.06,73,-119,-7.52,CA,CA_AB
48,Alberta,2020-04-07,1373,0,26,1373,65265,,,14930,25,1.85,31.41,0.595,2,1.89,1082,,98.11,0,25,0,2,25,1082,0,0,247,-73,-5.99,0.57,0.046,1,0.11,214,0,26.67,CA,CA_AB
48,Alberta,2020-04-08,1423,0,29,1423,66783,,,15278,50,3.64,32.55,0.663,3,2.04,1518,,97.96,0,50,0,3,50,1518,0,0,348,25,1.79,1.14,0.068,1,0.15,436,0,-0.15,CA,CA_AB
48,Alberta,2020-04-09,1451,0,32,1451,68116,,,15582,28,1.97,33.19,0.732,3,2.21,1333,,97.79,0,28,0,3,28,1333,0,0,304,-22,-1.67,0.64,0.069,0,0.17,-185,0,-0.17,CA,CA_AB
48,Alberta,2020-04-10,1500,0,39,1500,70080,,,16032,49,3.38,34.31,0.892,7,2.6,1964,,97.4,0,49,0,7,49,1964,0,0,450,21,1.41,1.12,0.16,4,0.39,631,0,-0.39,CA,CA_AB
48,Alberta,2020-04-11,1569,0,40,1569,72779,,,16649,69,4.6,35.89,0.915,1,2.55,2699,,97.45,0,69,0,1,69,2699,0,0,617,20,1.22,1.58,0.023,-6,-0.05,735,0,0.05,CA,CA_AB
48,Alberta,2020-04-12,1651,0,44,1651,74709,,,17091,82,5.23,37.77,1.007,4,2.67,1930,,97.33,0,82,0,4,82,1930,0,0,442,13,0.63,1.88,0.092,3,0.12,-769,0,-0.12,CA,CA_AB
48,Alberta,2020-04-13,1732,0,46,1732,77007,,,17616,81,4.91,39.62,1.052,2,2.66,2298,,97.34,0,81,0,2,81,2298,0,0,525,-1,-0.32,1.85,0.045,-2,-0.01,368,0,0.01,CA,CA_AB
48,Alberta,2020-04-14,1870,0,48,1870,79695,,,18231,138,7.97,42.78,1.098,2,2.57,2688,,97.43,0,138,0,2,138,2688,0,0,615,57,3.06,3.16,0.046,0,-0.09,390,0,0.09,CA,CA_AB
48,Alberta,2020-04-15,1996,0,48,1996,79695,,,18231,126,6.74,45.66,1.098,0,2.4,0,,97.6,0,126,0,0,126,0,0,0,0,-12,-1.23,2.88,0,-2,-0.17,-2688,0,0.17,CA,CA_AB
48,Alberta,2020-04-16,2158,0,50,2158,85502,,,19560,162,8.12,49.37,1.144,2,2.32,5807,,97.68,0,162,0,2,162,5807,0,0,1329,36,1.38,3.71,0.046,2,-0.08,5807,0,0.08,CA,CA_AB
48,Alberta,2020-04-17,2397,0,50,2397,89144,,,20393,239,11.08,54.83,1.144,0,2.09,3642,,97.91,0,239,0,0,239,3642,0,0,833,77,2.96,5.46,0,-2,-0.23,-2165,0,0.23,CA,CA_AB
48,Alberta,2020-04-18,2562,0,51,2562,92962,1162,45.36,21266,165,6.88,58.61,1.167,1,1.99,3818,1162,52.65,0,165,0,1,165,3818,801,18.58,873,-74,-4.2,3.78,0.023,1,-0.1,176,1041,-45.26,CA,CA_AB
48,Alberta,2020-04-19,2562,0,51,2562,97180,1162,45.36,22231,0,0,58.61,1.167,0,1.99,4218,0,52.65,0,0,0,0,0,4218,0,0,965,-165,-6.88,0,0,-1,0,400,-1162,0,CA,CA_AB
48,Alberta,2020-04-20,2908,0,59,2908,100898,1230,42.3,23082,346,13.51,66.52,1.35,8,2.03,3718,68,55.67,0,346,0,8,346,3718,68,-3.06,851,346,13.51,7.91,0.183,8,0.04,-500,68,3.02,CA,CA_AB
48,Alberta,2020-04-21,3095,0,61,3095,104370,1273,41.13,23876,187,6.43,70.8,1.395,2,1.97,3472,43,56.9,0,187,0,2,187,3472,43,-1.17,794,-159,-7.08,4.28,0.045,-6,-0.06,-246,-25,1.23,CA,CA_AB
48,Alberta,2020-04-22,3401,0,66,3401,108521,1310,38.52,24826,306,9.89,77.8,1.51,5,1.94,4151,37,59.54,0,306,0,5,306,4151,37,-2.61,950,119,3.46,7,0.115,3,-0.03,679,-6,2.64,CA,CA_AB
48,Alberta,2020-04-23,3720,0,67,3720,112562,1357,36.48,25750,319,9.38,85.1,1.533,1,1.8,4041,47,61.72,0,319,0,1,319,4041,47,-2.04,924,13,-0.51,7.3,0.023,-4,-0.14,-110,10,2.18,CA,CA_AB
48,Alberta,2020-04-24,4017,0,72,4017,116859,1397,34.78,26733,297,7.98,91.89,1.647,5,1.79,4297,40,63.43,0,297,0,5,297,4297,40,-1.7,983,-22,-1.4,6.79,0.114,4,-0.01,256,-7,1.71,CA,CA_AB
48,Alberta,2020-04-25,4233,0,73,4233,121244,1471,34.75,27736,216,5.38,96.84,1.67,1,1.72,4385,74,63.52,0,216,0,1,216,4385,74,-0.03,1003,-81,-2.6,4.95,0.023,-4,-0.07,88,34,0.09,CA,CA_AB
48,Alberta,2020-04-26,4480,0,73,4480,125310,1549,34.58,28666,247,5.84,102.49,1.67,0,1.63,4066,78,63.79,0,247,0,0,247,4066,78,-0.17,930,31,0.46,5.65,0,-1,-0.09,-319,4,0.27,CA,CA_AB
48,Alberta,2020-04-27,4696,0,75,4696,128860,1664,35.43,29479,216,4.82,107.43,1.716,2,1.6,3550,115,62.97,0,216,0,2,216,3550,115,0.85,813,-31,-1.02,4.94,0.046,2,-0.03,-516,37,-0.82,CA,CA_AB
48,Alberta,2020-04-28,4850,0,80,4850,131772,1800,37.11,30145,154,3.28,110.95,1.83,5,1.65,2912,136,61.24,0,154,0,5,154,2912,136,1.68,666,-62,-1.54,3.52,0.114,3,0.05,-638,21,-1.73,CA,CA_AB
48,Alberta,2020-04-29,5165,0,87,5165,136511,1953,37.81,31229,315,6.49,118.16,1.99,7,1.68,4739,153,60.5,0,315,0,7,315,4739,153,0.7,1084,161,3.21,7.21,0.16,2,0.03,1827,17,-0.74,CA,CA_AB
48,Alberta,2020-04-30,5355,0,89,5355,141060,2161,40.35,32269,190,3.68,122.5,2.036,2,1.66,4549,208,57.98,0,190,0,2,190,4549,208,2.54,1040,-125,-2.81,4.34,0.046,-5,-0.02,-190,55,-2.52,CA,CA_AB
48,Alberta,2020-05-01,5573,0,92,5573,145420,2359,42.33,33267,218,4.07,127.49,2.105,3,1.65,4360,198,56.02,0,218,0,3,218,4360,198,1.98,998,28,0.39,4.99,0.069,1,-0.01,-189,-10,-1.96,CA,CA_AB
48,Alberta,2020-05-02,5670,0,94,5670,148757,2534,44.69,34030,97,1.74,129.71,2.15,2,1.66,3337,175,53.65,0,97,0,2,97,3337,175,2.36,763,-121,-2.33,2.22,0.045,-1,0.01,-1023,-23,-2.37,CA,CA_AB
48,Alberta,2020-05-03,5766,0,95,5766,152123,2713,47.05,34800,96,1.69,131.91,2.173,1,1.65,3366,179,51.3,0,96,0,1,96,3366,179,2.36,770,-1,-0.05,2.2,0.023,-1,-0.01,29,4,-2.35,CA,CA_AB
48,Alberta,2020-05-04,5836,0,104,5836,152123,2942,50.41,34800,70,1.21,133.51,2.379,9,1.78,0,229,47.81,0,70,0,9,70,0,229,3.36,0,-26,-0.48,1.6,0.206,8,0.13,-3366,50,-3.49,CA,CA_AB
48,Alberta,2020-05-05,5893,0,106,5893,157137,3219,54.62,35947,57,0.98,134.81,2.425,2,1.8,5014,277,43.58,0,57,0,2,57,5014,277,4.21,1147,-13,-0.23,1.3,0.046,-7,0.02,5014,48,-4.23,CA,CA_AB
48,Alberta,2020-05-06,5963,0,112,5963,160185,3552,59.57,36645,70,1.19,136.41,2.562,6,1.88,3048,333,38.55,0,70,0,6,70,3048,333,4.95,698,13,0.21,1.6,0.137,4,0.08,-1966,56,-5.03,CA,CA_AB
48,Alberta,2020-05-07,6017,0,114,6017,163510,3809,63.3,37405,54,0.91,137.65,2.608,2,1.89,3325,257,34.8,0,54,0,2,54,3325,257,3.73,760,-16,-0.28,1.24,0.046,-4,0.01,277,-76,-3.75,CA,CA_AB
48,Alberta,2020-05-08,6098,0,115,6098,166327,4020,65.92,38050,81,1.35,139.5,2.631,1,1.89,2817,211,32.19,0,81,0,1,81,2817,211,2.62,645,27,0.44,1.85,0.023,-1,0,-508,-46,-2.61,CA,CA_AB
48,Alberta,2020-05-09,6157,0,116,6157,169415,4204,68.28,38756,59,0.97,140.85,2.654,1,1.88,3088,184,29.84,0,59,0,1,59,3088,184,2.36,706,-22,-0.38,1.35,0.023,0,-0.01,271,-27,-2.35,CA,CA_AB
48,Alberta,2020-05-10,6253,0,117,6253,173023,4389,70.19,39581,96,1.56,143.05,2.677,1,1.87,3608,185,27.94,0,96,0,1,96,3608,185,1.91,825,37,0.59,2.2,0.023,0,-0.01,520,1,-1.9,CA,CA_AB
48,Alberta,2020-05-11,6300,0,117,6300,175502,4659,73.95,40149,47,0.75,144.12,2.677,0,1.86,2479,270,24.19,0,47,0,0,47,2479,270,3.76,568,-49,-0.81,1.07,0,-1,-0.01,-1129,85,-3.75,CA,CA_AB
48,Alberta,2020-05-12,6345,0,118,6345,178208,4866,76.69,40768,45,0.71,145.15,2.699,1,1.86,2706,207,21.45,0,45,0,1,45,2706,207,2.74,619,-2,-0.04,1.03,0.022,1,0,227,-63,-2.74,CA,CA_AB
48,Alberta,2020-05-13,6407,0,120,6407,181624,5076,79.23,41549,62,0.98,146.57,2.745,2,1.87,3416,210,18.9,0,62,0,2,62,3416,210,2.54,781,17,0.27,1.42,0.046,1,0.01,710,3,-2.55,CA,CA_AB
48,Alberta,2020-05-14,6457,0,121,6457,185545,5205,80.61,42446,50,0.78,147.71,2.768,1,1.87,3921,129,17.52,0,50,0,1,50,3921,129,1.38,897,-12,-0.2,1.14,0.023,-1,0,505,-81,-1.38,CA,CA_AB
48,Alberta,2020-05-15,6515,0,125,6515,189225,5317,81.61,43288,58,0.9,149.04,2.86,4,1.92,3680,112,16.47,0,58,0,4,58,3680,112,1,842,8,0.12,1.33,0.092,3,0.05,-241,-17,-1.05,CA,CA_AB
48,Alberta,2020-05-16,6587,0,126,6587,193098,5377,81.63,44174,72,1.11,150.69,2.882,1,1.91,3873,60,16.46,0,72,0,1,72,3873,60,0.02,886,14,0.21,1.65,0.022,-3,-0.01,193,-52,-0.01,CA,CA_AB
48,Alberta,2020-05-17,6644,0,127,6644,196309,5453,82.07,44908,57,0.87,151.99,2.905,1,1.91,3211,76,16.01,0,57,0,1,57,3211,76,0.44,734,-15,-0.24,1.3,0.023,0,0,-662,16,-0.45,CA,CA_AB
