date,country_code,subregion1_code,new_confirmed,new_deceased,total_confirmed,total_deceased,key
2020-02-26,BR,AC,0,0,0,0,BR_AC
2020-02-27,BR,AC,0,0,0,0,BR_AC
2020-02-28,BR,AC,0,0,0,0,BR_AC
2020-02-29,BR,AC,0,0,0,0,BR_AC
2020-03-01,BR,AC,0,0,0,0,BR_AC
2020-03-02,BR,AC,0,0,0,0,BR_AC
2020-03-03,BR,AC,0,0,0,0,BR_AC
2020-03-04,BR,AC,0,0,0,0,BR_AC
2020-03-05,BR,AC,0,0,0,0,BR_AC
2020-03-06,BR,AC,0,0,0,0,BR_AC
2020-03-07,BR,AC,0,0,0,0,BR_AC
2020-03-08,BR,AC,0,0,0,0,BR_AC
2020-03-09,BR,AC,0,0,0,0,BR_AC
2020-03-10,BR,AC,0,0,0,0,BR_AC
2020-03-11,BR,AC,0,0,0,0,BR_AC
2020-03-12,BR,AC,0,0,0,0,BR_AC
2020-03-13,BR,AC,0,0,0,0,BR_AC
2020-03-14,BR,AC,0,0,0,0,BR_AC
2020-03-15,BR,AC,0,0,0,0,BR_AC
2020-03-16,BR,AC,0,0,0,0,BR_AC
2020-03-17,BR,AC,0,0,0,0,BR_AC
2020-03-18,BR,AC,0,0,0,0,BR_AC
2020-03-19,BR,AC,3,0,3,0,BR_AC
2020-03-20,BR,AC,4,0,7,0,BR_AC
2020-03-21,BR,AC,2,0,9,0,BR_AC
2020-03-22,BR,AC,2,0,11,0,BR_AC
2020-03-23,BR,AC,0,0,11,0,BR_AC
2020-03-24,BR,AC,6,0,17,0,BR_AC
2020-03-25,BR,AC,6,0,23,0,BR_AC
2020-03-26,BR,AC,1,0,24,0,BR_AC
2020-03-27,BR,AC,1,0,25,0,BR_AC
2020-03-28,BR,AC,0,0,25,0,BR_AC
2020-03-29,BR,AC,9,0,34,0,BR_AC
2020-03-30,BR,AC,8,0,42,0,BR_AC
2020-03-31,BR,AC,0,0,42,0,BR_AC
2020-04-01,BR,AC,1,0,43,0,BR_AC
2020-04-02,BR,AC,0,0,43,0,BR_AC
2020-04-03,BR,AC,3,0,46,0,BR_AC
2020-04-04,BR,AC,0,0,46,0,BR_AC
2020-04-05,BR,AC,2,0,48,0,BR_AC
2020-04-06,BR,AC,2,0,50,0,BR_AC
2020-04-07,BR,AC,0,1,50,1,BR_AC
