date,total_recovered,current_intensive_care,key,new_recovered
2020-03-13,6,1,RO,
2020-03-14,6,1,RO,0
2020-03-15,9,0,RO,3
2020-03-16,9,0,RO,0
2020-03-17,19,4,RO,10
2020-03-18,19,4,RO,0
2020-03-19,25,6,RO,6
2020-03-20,31,11,RO,6
2020-03-21,52,14,RO,21
2020-03-22,64,14,RO,12
2020-03-23,73,15,RO,9
2020-03-24,79,16,RO,6
2020-03-25,86,18,RO,7
2020-03-26,94,29,RO,8
2020-03-27,115,32,RO,21
2020-03-28,139,34,RO,24
2020-03-29,169,38,RO,30
2020-03-30,209,55,RO,40
2020-03-31,220,62,RO,11
2020-04-01,252,57,RO,32
2020-04-02,267,78,RO,15
2020-04-03,283,83,RO,16
2020-04-04,329,119,RO,46
2020-04-05,374,141,RO,45
2020-04-06,406,179,RO,32
2020-04-07,460,274,RO,54
2020-04-08,528,162,RO,68
2020-04-09,647,178,RO,119
2020-04-10,729,183,RO,82
2020-04-11,758,208,RO,29
2020-04-12,852,204,RO,94
2020-04-13,914,231,RO,62
2020-04-14,1051,241,RO,137
2020-04-15,1217,245,RO,166
2020-04-16,1357,243,RO,140
2020-04-17,1508,258,RO,151
2020-04-18,1730,248,RO,222
2020-04-19,1892,256,RO,162
2020-04-20,2017,261,RO,125
2020-04-21,2153,245,RO,136
2020-04-22,2406,288,RO,253
2020-04-23,2478,236,RO,72
2020-04-24,2817,241,RO,339
2020-04-25,2890,235,RO,73
2020-04-26,3054,236,RO,164
2020-04-27,3141,227,RO,87
2020-04-28,3404,243,RO,263
2020-04-29,3569,247,RO,165
2020-04-30,4017,221,RO,448
2020-05-01,4328,249,RO,311
2020-05-02,4547,265,RO,219
2020-05-03,4869,255,RO,322
2020-05-04,5296,243,RO,427
2020-05-05,5454,244,RO,158
2020-05-06,5788,244,RO,334
2020-05-07,6144,234,RO,356
2020-05-08,6423,232,RO,279
2020-05-09,6912,245,RO,489
2020-05-10,7051,242,RO,139
2020-05-11,7245,255,RO,194
2020-05-12,7685,238,RO,440
2020-05-13,7961,228,RO,276
2020-05-14,9053,225,RO,1092
2020-05-15,9370,219,RO,317
2020-05-16,9574,206,RO,204
2020-05-17,9890,205,RO,316
2020-05-18,9930,193,RO,40
2020-05-19,10166,195,RO,236
2020-05-20,10356,198,RO,190
2020-05-21,10581,203,RO,225
2020-05-22,10777,200,RO,196
2020-05-23,11187,196,RO,410
2020-05-24,11399,188,RO,212
2020-05-25,11630,177,RO,231
2020-05-26,11874,181,RO,244
2020-05-27,12162,198,RO,288
2020-05-28,12629,182,RO,467
2020-05-29,12829,182,RO,200
2020-05-30,13046,160,RO,217
2020-05-31,13256,160,RO,210
2020-06-01,13426,159,RO,170
2020-06-02,13526,166,RO,100
2020-06-03,13800,162,RO,274
2020-06-04,13919,153,RO,119
2020-06-05,14145,152,RO,226
2020-06-06,14419,153,RO,274
2020-06-07,14638,144,RO,219
2020-06-08,14826,146,RO,188
2020-06-09,14910,152,RO,84
2020-06-10,15103,150,RO,193
2020-06-11,15283,153,RO,180
2020-06-12,15445,171,RO,162
2020-06-13,15635,171,RO,190
2020-06-14,15719,165,RO,84
2020-06-15,15817,175,RO,98
2020-06-16,16071,173,RO,254
2020-06-17,16117,161,RO,46
2020-06-18,16308,178,RO,191
2020-06-19,16555,184,RO,247
2020-06-20,16735,190,RO,180
2020-06-21,16911,195,RO,176
2020-06-22,17031,195,RO,120
2020-06-23,17187,200,RO,156
2020-06-24,17391,186,RO,204
2020-06-25,17906,199,RO,515
2020-06-26,18181,186,RO,275
