date,match_string,new_confirmed,country_code,total_confirmed,key
2020-02-04,Blekinge,0,SE,0,SE_221
2020-02-05,Blekinge,0,SE,0,SE_221
2020-02-06,Blekinge,0,SE,0,SE_221
2020-02-07,Blekinge,0,SE,0,SE_221
2020-02-08,Blekinge,0,SE,0,SE_221
2020-02-09,Blekinge,0,SE,0,SE_221
2020-02-10,Blekinge,0,SE,0,SE_221
2020-02-11,Blekinge,0,SE,0,SE_221
2020-02-12,Blekinge,0,SE,0,SE_221
2020-02-13,Blekinge,0,SE,0,SE_221
2020-02-14,Blekinge,0,SE,0,SE_221
2020-02-15,Blekinge,0,SE,0,SE_221
2020-02-16,Blekinge,0,SE,0,SE_221
2020-02-17,Blekinge,0,SE,0,SE_221
2020-02-18,Blekinge,0,SE,0,SE_221
2020-02-19,Blekinge,0,SE,0,SE_221
2020-02-20,Blekinge,0,SE,0,SE_221
2020-02-21,Blekinge,0,SE,0,SE_221
2020-02-22,Blekinge,0,SE,0,SE_221
2020-02-23,Blekinge,0,SE,0,SE_221
2020-02-24,Blekinge,0,SE,0,SE_221
2020-02-25,Blekinge,0,SE,0,SE_221
2020-02-26,Blekinge,0,SE,0,SE_221
2020-02-27,Blekinge,0,SE,0,SE_221
2020-02-28,Blekinge,0,SE,0,SE_221
2020-02-29,Blekinge,0,SE,0,SE_221
2020-03-01,Blekinge,0,SE,0,SE_221
2020-03-02,Blekinge,0,SE,0,SE_221
2020-03-03,Blekinge,0,SE,0,SE_221
2020-03-04,Blekinge,0,SE,0,SE_221
2020-03-05,Blekinge,0,SE,0,SE_221
2020-03-06,Blekinge,0,SE,0,SE_221
2020-03-07,Blekinge,0,SE,0,SE_221
2020-03-08,Blekinge,0,SE,0,SE_221
2020-03-09,Blekinge,0,SE,0,SE_221
2020-03-10,Blekinge,1,SE,1,SE_221
2020-03-11,Blekinge,6,SE,7,SE_221
2020-03-12,Blekinge,2,SE,9,SE_221
2020-03-13,Blekinge,0,SE,9,SE_221
2020-03-14,Blekinge,0,SE,9,SE_221
2020-03-15,Blekinge,1,SE,10,SE_221
2020-03-16,Blekinge,0,SE,10,SE_221
2020-03-17,Blekinge,1,SE,11,SE_221
2020-03-18,Blekinge,1,SE,12,SE_221
2020-03-19,Blekinge,0,SE,12,SE_221
2020-03-20,Blekinge,0,SE,12,SE_221
2020-03-21,Blekinge,0,SE,12,SE_221
2020-03-22,Blekinge,0,SE,12,SE_221
