date,new_hospitalized,incid_rea,new_deceased,new_recovered,key,total_hospitalized,total_deceased,total_recovered
2020-03-19,2229,438,155,519,FR,2229,155,519
2020-03-20,1256,242,83,317,FR,3485,238,836
2020-03-21,1540,298,115,368,FR,5025,353,1204
2020-03-22,1534,309,124,315,FR,6559,477,1519
2020-03-23,2053,448,189,377,FR,8612,666,1896
2020-03-24,2618,571,244,743,FR,11230,910,2639
2020-03-25,3166,607,293,834,FR,14396,1203,3473
2020-03-26,3097,612,318,888,FR,17493,1521,4361
2020-03-27,3059,608,307,814,FR,20552,1828,5175
2020-03-28,3353,695,326,969,FR,23905,2154,6144
2020-03-29,2685,543,295,543,FR,26590,2449,6687
2020-03-30,3108,694,423,861,FR,29698,2872,7548
2020-03-31,4146,767,526,1589,FR,33844,3398,9137
2020-04-01,4281,771,516,1647,FR,38125,3914,10784
2020-04-02,3845,728,524,1577,FR,41970,4438,12361
2020-04-03,3627,640,606,1655,FR,45597,5044,14016
2020-04-04,2822,502,448,1495,FR,48419,5492,15511
2020-04-05,1931,390,361,773,FR,50350,5853,16284
2020-04-06,2754,478,613,1133,FR,53104,6466,17417
2020-04-07,3277,518,607,2161,FR,56381,7073,19578
2020-04-08,3139,482,562,2022,FR,59520,7635,21600
2020-04-09,2990,369,424,2032,FR,62510,8059,23632
2020-04-10,3161,431,578,1967,FR,65671,8637,25599
2020-04-11,2044,255,353,1527,FR,67715,8990,27126
2020-04-12,1688,220,315,825,FR,69403,9305,27951
2020-04-13,1257,227,343,551,FR,70660,9648,28502
2020-04-14,1965,275,559,1125,FR,72625,10207,29627
2020-04-15,2415,284,524,2224,FR,75040,10731,31851
2020-04-16,2084,270,435,1925,FR,77124,11166,33776
2020-04-17,2166,242,428,1720,FR,79290,11594,35496
2020-04-18,1565,206,368,1605,FR,80855,11962,37101
2020-04-19,890,137,231,622,FR,81745,12193,37723
2020-04-20,1464,208,450,933,FR,83209,12643,38656
2020-04-21,1885,190,404,1875,FR,85094,13047,40531
2020-04-22,1619,183,349,1587,FR,86713,13396,42118
2020-04-23,1410,178,320,1531,FR,88123,13716,43649
2020-04-24,1346,155,312,1464,FR,89469,14028,45113
2020-04-25,999,124,207,1166,FR,90468,14235,46279
2020-04-26,481,79,152,318,FR,90949,14387,46597
2020-04-27,964,125,300,736,FR,91913,14687,47333
2020-04-28,1321,153,328,1491,FR,93234,15015,48824
2020-04-29,1070,110,251,1430,FR,94304,15266,50254
2020-04-30,1048,121,207,1327,FR,95352,15473,51581
2020-05-01,668,73,138,862,FR,96020,15611,52443
