match_string,total_confirmed,total_deceased,total_recovered,current_confirmed,date,country_code,key,new_confirmed,new_deceased,new_recovered
ANBAR,150,8,17,125,2020-06-14,IQ,IQ_AN,109,3,15
ANBAR,41,5,2,34,2020-06-07,IQ,IQ_AN,29,0,1
ANBAR,12,5,1,6,2020-06-04,IQ,IQ_AN,6,0,0
ANBAR,6,5,1,0,2020-06-02,IQ,IQ_AN,0,5,-4
ANBAR,6,0,5,1,2020-05-31,IQ,IQ_AN,1,-2,5
ANBAR,5,2,0,3,2020-05-13,IQ,IQ_AN,0,0,0
ANBAR,5,2,0,3,2020-05-12,IQ,IQ_AN,0,0,0
ANBAR,5,2,0,3,2020-05-11,IQ,IQ_AN,,,
ANBAR,,,,,2020-05-10,IQ,IQ_AN,,,
BABYLON,569,18,90,461,2020-06-14,IQ,IQ_BB,209,-27,81
BABYLON,360,45,9,306,2020-06-07,IQ,IQ_BB,169,2,1
BABYLON,191,43,8,140,2020-06-04,IQ,IQ_BB,60,2,3
BABYLON,131,41,5,85,2020-06-02,IQ,IQ_BB,4,36,-36
BABYLON,127,5,41,81,2020-05-31,IQ,IQ_BB,80,-21,36
BABYLON,47,26,5,16,2020-05-13,IQ,IQ_BB,0,0,0
BABYLON,47,26,5,16,2020-05-12,IQ,IQ_BB,0,0,0
BABYLON,47,26,5,16,2020-05-11,IQ,IQ_BB,,,
BABYLON,,,,,2020-05-10,IQ,IQ_BB,,,
BASRAH,1624,30,925,669,2020-06-14,IQ,IQ_BA,315,-734,902
BASRAH,1309,764,23,522,2020-06-07,IQ,IQ_BA,366,56,2
BASRAH,943,708,21,214,2020-06-04,IQ,IQ_BA,94,27,2
BASRAH,849,681,19,149,2020-06-02,IQ,IQ_BA,22,662,-639
BASRAH,827,19,658,150,2020-05-31,IQ,IQ_BA,194,-354,640
BASRAH,633,373,18,242,2020-05-13,IQ,IQ_BA,32,26,0
BASRAH,601,347,18,236,2020-05-12,IQ,IQ_BA,18,43,0
BASRAH,583,304,18,261,2020-05-11,IQ,IQ_BA,,,
BASRAH,,,,,2020-05-10,IQ,IQ_BA,,,
DAHUK,133,0,58,75,2020-06-14,IQ,IQ_DA,33,-26,58
DAHUK,100,26,0,74,2020-06-07,IQ,IQ_DA,9,0,0
DAHUK,91,26,0,65,2020-06-04,IQ,IQ_DA,58,7,0
DAHUK,33,19,0,14,2020-06-02,IQ,IQ_DA,2,19,-19
DAHUK,31,0,19,12,2020-05-31,IQ,IQ_DA,12,-19,19
DAHUK,19,19,0,0,2020-05-13,IQ,IQ_DA,0,0,0
DAHUK,19,19,0,0,2020-05-12,IQ,IQ_DA,0,0,0
DAHUK,19,19,0,0,2020-05-11,IQ,IQ_DA,,,
DAHUK,,,,,2020-05-10,IQ,IQ_DA,,,
DIWANIYA,373,6,53,314,2020-06-14,IQ,IQ_QA,238,-20,50
DIWANIYA,135,26,3,106,2020-06-07,IQ,IQ_QA,81,4,2
DIWANIYA,54,22,1,31,2020-06-04,IQ,IQ_QA,13,6,0
DIWANIYA,41,16,1,24,2020-06-02,IQ,IQ_QA,8,15,-12
DIWANIYA,33,1,13,19,2020-05-31,IQ,IQ_QA,21,-10,12
DIWANIYA,12,11,1,0,2020-05-13,IQ,IQ_QA,0,0,0
DIWANIYA,12,11,1,0,2020-05-12,IQ,IQ_QA,0,0,0
DIWANIYA,12,11,1,0,2020-05-11,IQ,IQ_QA,,,
DIWANIYA,,,,,2020-05-10,IQ,IQ_QA,,,
DIYALA,328,20,113,195,2020-06-14,IQ,IQ_DI,220,-45,103
DIYALA,108,65,10,33,2020-06-07,IQ,IQ_DI,11,15,2
DIYALA,97,50,8,39,2020-06-04,IQ,IQ_DI,23,17,1
DIYALA,74,33,7,34,2020-06-02,IQ,IQ_DI,4,26,-21
DIYALA,70,7,28,35,2020-05-31,IQ,IQ_DI,44,-8,24
DIYALA,26,15,4,7,2020-05-13,IQ,IQ_DI,1,0,0
DIYALA,25,15,4,6,2020-05-12,IQ,IQ_DI,5,0,0
DIYALA,20,15,4,1,2020-05-11,IQ,IQ_DI,,,
DIYALA,,,,,2020-05-10,IQ,IQ_DI,,,
ERBIL,619,4,292,323,2020-06-14,IQ,IQ_AR,247,-229,288
ERBIL,372,233,4,135,2020-06-07,IQ,IQ_AR,80,3,1
ERBIL,292,230,3,59,2020-06-04,IQ,IQ_AR,11,2,2
ERBIL,281,228,1,52,2020-06-02,IQ,IQ_AR,0,227,-216
ERBIL,281,1,217,63,2020-05-31,IQ,IQ_AR,69,-199,216
ERBIL,212,200,1,11,2020-05-13,IQ,IQ_AR,0,3,0
ERBIL,212,197,1,14,2020-05-12,IQ,IQ_AR,0,1,0
ERBIL,212,196,1,15,2020-05-11,IQ,IQ_AR,,,
ERBIL,,,,,2020-05-10,IQ,IQ_AR,,,
KERBALA,677,19,340,318,2020-06-14,IQ,IQ_KA,248,-168,329
KERBALA,429,187,11,231,2020-06-07,IQ,IQ_KA,93,1,1
KERBALA,336,186,10,140,2020-06-04,IQ,IQ_KA,92,62,1
KERBALA,244,124,9,111,2020-06-02,IQ,IQ_KA,11,115,-115
KERBALA,233,9,124,100,2020-05-31,IQ,IQ_KA,123,-81,117
KERBALA,110,90,7,13,2020-05-13,IQ,IQ_KA,0,7,0
KERBALA,110,83,7,20,2020-05-12,IQ,IQ_KA,1,0,0
KERBALA,109,83,7,19,2020-05-11,IQ,IQ_KA,,,
KERBALA,,,,,2020-05-10,IQ,IQ_KA,,,
KIRKUK,378,11,156,211,2020-06-14,IQ,IQ_KI,202,-61,150
KIRKUK,176,72,6,98,2020-06-07,IQ,IQ_KI,44,0,3
KIRKUK,132,72,3,57,2020-06-04,IQ,IQ_KI,46,2,0
KIRKUK,86,70,3,13,2020-06-02,IQ,IQ_KI,0,67,-67
KIRKUK,86,3,70,13,2020-05-31,IQ,IQ_KI,16,-41,68
KIRKUK,70,44,2,24,2020-05-13,IQ,IQ_KI,0,2,0
KIRKUK,70,42,2,26,2020-05-12,IQ,IQ_KI,0,9,0
KIRKUK,70,33,2,35,2020-05-11,IQ,IQ_KI,,,
KIRKUK,,,,,2020-05-10,IQ,IQ_KI,,,
MISSAN,767,25,137,605,2020-06-14,IQ,IQ_MA,447,-45,128
MISSAN,320,70,9,241,2020-06-07,IQ,IQ_MA,67,20,1
MISSAN,253,50,8,195,2020-06-04,IQ,IQ_MA,111,3,2
MISSAN,142,47,6,89,2020-06-02,IQ,IQ_MA,38,42,-41
MISSAN,104,5,47,52,2020-05-31,IQ,IQ_MA,61,-14,45
MISSAN,43,19,2,22,2020-05-13,IQ,IQ_MA,0,9,0
MISSAN,43,10,2,31,2020-05-12,IQ,IQ_MA,0,0,0
MISSAN,43,10,2,31,2020-05-11,IQ,IQ_MA,,,
MISSAN,,,,,2020-05-10,IQ,IQ_MA,,,
MUTHANNA,288,13,155,120,2020-06-14,IQ,IQ_MU,35,-103,147
MUTHANNA,253,116,8,129,2020-06-07,IQ,IQ_MU,40,4,2
MUTHANNA,213,112,6,95,2020-06-04,IQ,IQ_MU,45,7,2
MUTHANNA,168,105,4,59,2020-06-02,IQ,IQ_MU,13,101,-101
MUTHANNA,155,4,105,46,2020-05-31,IQ,IQ_MU,55,-58,102
MUTHANNA,100,62,3,35,2020-05-13,IQ,IQ_MU,2,3,0
MUTHANNA,98,59,3,36,2020-05-12,IQ,IQ_MU,0,0,0
MUTHANNA,98,59,3,36,2020-05-11,IQ,IQ_MU,,,
MUTHANNA,,,,,2020-05-10,IQ,IQ_MU,,,
NAJAF,971,12,412,547,2020-06-14,IQ,IQ_NA,465,-325,403
NAJAF,506,337,9,160,2020-06-07,IQ,IQ_NA,96,17,3
