country_code,match_string,date,total_confirmed,recovered,total_deceased,total_tested,hospitalized,icu,new_confirmed,new_deceased,new_tested,key
AT,burgenland,2020-03-07,4,,,,,,,,,AT_11
AT,burgenland,2020-03-08,4,,,,,,0,,,AT_11
AT,burgenland,2020-03-09,4,,,,,,0,,,AT_11
AT,burgenland,2020-03-10,4,,,,,,0,,,AT_11
AT,burgenland,2020-03-11,4,,,,,,0,,,AT_11
AT,burgenland,2020-03-12,6,,,,,,2,,,AT_11
AT,burgenland,2020-03-13,7,0,0,,,,1,,,AT_11
AT,burgenland,2020-03-14,10,0,0,,,,3,0,,AT_11
AT,burgenland,2020-03-15,10,0,0,,,,0,0,,AT_11
AT,burgenland,2020-03-16,10,0,0,,,,0,0,,AT_11
AT,burgenland,2020-03-17,11,0,0,,,,1,0,,AT_11
AT,burgenland,2020-03-18,20,0,0,,,,9,0,,AT_11
AT,burgenland,2020-03-19,29,0,0,,,,9,0,,AT_11
AT,burgenland,2020-03-20,33,0,0,,,,4,0,,AT_11
AT,burgenland,2020-03-21,54,0,0,,,,21,0,,AT_11
AT,burgenland,2020-03-22,63,0,0,,,,9,0,,AT_11
AT,burgenland,2020-03-23,71,0,0,,,,8,0,,AT_11
AT,burgenland,2020-03-24,84,0,0,,,,13,0,,AT_11
AT,burgenland,2020-03-25,89,0,0,,,,5,0,,AT_11
AT,burgenland,2020-03-26,115,0,0,,,,26,0,,AT_11
AT,burgenland,2020-03-27,140,,,,11,4,25,0,,AT_11
AT,burgenland,2020-03-28,153,,,,9,4,13,0,,AT_11
AT,burgenland,2020-03-29,177,,,,10,4,24,0,,AT_11
AT,burgenland,2020-03-30,181,,,,10,4,4,0,,AT_11
AT,burgenland,2020-03-31,187,,,,10,3,6,0,,AT_11
AT,burgenland,2020-04-01,199,,,,10,3,12,0,,AT_11
AT,burgenland,2020-04-02,204,,,,13,3,5,0,,AT_11
AT,burgenland,2020-04-03,217,,,,12,4,13,0,,AT_11
AT,burgenland,2020-04-04,224,,,,10,3,7,0,,AT_11
AT,burgenland,2020-04-05,228,,,,12,6,4,0,,AT_11
AT,burgenland,2020-04-06,234,,,,11,6,6,0,,AT_11
AT,burgenland,2020-04-07,242,,,,13,4,8,0,,AT_11
AT,burgenland,2020-04-08,243,,,,12,2,1,0,,AT_11
AT,burgenland,2020-04-09,248,,,,15,4,5,0,,AT_11
AT,burgenland,2020-04-10,259,,,,12,4,11,0,,AT_11
AT,burgenland,2020-04-11,260,,,,14,3,1,0,,AT_11
AT,burgenland,2020-04-12,266,,,,17,3,6,0,,AT_11
AT,burgenland,2020-04-13,270,,,,12,3,4,0,,AT_11
AT,burgenland,2020-04-16,286,165,6,2020,17,4,8,0,82,AT_11
AT,burgenland,2020-04-17,289,167,7,2209,18,5,3,1,189,AT_11
