date,current_hospitalized,current_intensive_care,total_deceased,new_recovered,new_tested,key,new_deceased,total_recovered,total_tested
2020-02-24,0,0,0,0,0,LU,,0,0
2020-02-25,0,0,0,0,0,LU,0,0,0
2020-02-26,0,0,0,0,0,LU,0,0,0
2020-02-27,0,0,0,0,0,LU,0,0,0
2020-02-28,0,0,0,0,0,LU,0,0,0
2020-02-29,0,0,0,0,1,LU,0,0,1
2020-03-01,0,0,0,0,0,LU,0,0,1
2020-03-02,0,0,0,0,0,LU,0,0,1
2020-03-03,0,0,0,0,0,LU,0,0,1
2020-03-04,0,0,0,0,0,LU,0,0,1
2020-03-05,0,0,0,0,1,LU,0,0,2
2020-03-06,0,0,0,0,1,LU,0,0,3
2020-03-07,0,0,0,0,1,LU,0,0,4
2020-03-08,0,0,0,0,0,LU,0,0,4
2020-03-09,0,0,0,0,0,LU,0,0,4
2020-03-10,0,0,0,3,0,LU,0,3,4
2020-03-11,0,0,0,0,2,LU,0,3,6
2020-03-12,0,0,0,1,15,LU,0,4,21
2020-03-13,0,0,0,4,24,LU,0,8,45
2020-03-14,0,0,0,0,21,LU,0,8,66
2020-03-15,0,0,0,0,0,LU,0,8,66
2020-03-16,0,0,0,4,33,LU,0,12,99
2020-03-17,0,0,2,0,122,LU,2,12,221
2020-03-18,0,0,2,3,158,LU,0,15,379
2020-03-19,1,0,3,0,143,LU,1,15,522
2020-03-20,18,3,5,2,175,LU,2,17,697
2020-03-21,56,6,6,2,127,LU,1,19,824
2020-03-22,63,2,6,5,21,LU,0,24,845
2020-03-23,71,2,6,6,242,LU,0,30,1087
2020-03-24,97,2,6,2,193,LU,0,32,1280
2020-03-25,128,14,8,2,170,LU,2,34,1450
2020-03-26,120,20,9,11,263,LU,1,45,1713
2020-03-27,128,20,14,4,196,LU,5,49,1909
2020-03-28,152,23,17,7,127,LU,3,56,2036
2020-03-29,160,21,21,1,44,LU,4,57,2080
2020-03-30,156,24,22,19,171,LU,1,76,2251
2020-03-31,163,26,26,16,112,LU,4,92,2363
2020-04-01,166,27,27,11,191,LU,1,103,2554
2020-04-02,184,30,28,9,129,LU,1,112,2683
