match_string,date,total_confirmed,total_deceased,total_recovered,country_code,key,new_confirmed,new_deceased,new_recovered
Dhaka,2020-04-05,54,,,BD,BD_13,,,
Dhaka,2020-04-06,64,,,BD,BD_13,10,,
Dhaka,2020-04-07,90,,,BD,BD_13,26,,
Dhaka,2020-04-08,129,,,BD,BD_13,39,,
Dhaka,2020-04-09,209,,,BD,BD_13,80,,
Dhaka,2020-04-11,270,,,BD,BD_13,61,,
Dhaka,2020-04-13,401,,,BD,BD_13,131,,
Dhaka,2020-04-14,484,,,BD,BD_13,83,,
Dhaka,2020-04-15,546,,,BD,BD_13,62,,
Dhaka,2020-04-16,636,,,BD,BD_13,90,,
Dhaka,2020-04-17,768,,,BD,BD_13,132,,
Dhaka,2020-04-18,877,,,BD,BD_13,109,,
Dhaka,2020-04-19,1014,,,BD,BD_13,137,,
Dhaka,2020-04-20,1216,,,BD,BD_13,202,,
Dhaka,2020-04-21,1277,,,BD,BD_13,61,,
Dhaka,2020-04-22,1522,,,BD,BD_13,245,,
Dhaka,2020-04-23,1736,,,BD,BD_13,214,,
Dhaka,2020-04-24,2124,,,BD,BD_13,388,,0
Dhaka,2020-04-25,2299,,,BD,BD_13,175,,0
Dhaka,2020-04-26,2564,,,BD,BD_13,265,,0
Dhaka,2020-04-27,2802,,,BD,BD_13,238,,0
Dhaka,2020-04-28,3095,,,BD,BD_13,293,0,0
Dhaka,2020-04-29,3518,,,BD,BD_13,423,0,0
Dhaka,2020-04-30,3850,,,BD,BD_13,332,0,0
Dhaka,2020-05-01,4082,,,BD,BD_13,232,0,0
Dhaka,2020-05-02,4419,,,BD,BD_13,337,0,0
Dhaka,2020-05-03,4609,,,BD,BD_13,190,0,0
Dhaka,2020-05-04,4895,,,BD,BD_13,286,0,0
Dhaka,2020-05-05,5357,,,BD,BD_13,462,0,0
Dhaka,2020-05-06,5842,,,BD,BD_13,485,0,0
Dhaka,2020-05-07,6081,,,BD,BD_13,239,0,0
Dhaka,2020-05-08,6365,,,BD,BD_13,284,0,0
Dhaka,2020-05-09,6629,,,BD,BD_13,264,0,0
Dhaka,2020-05-10,6868,,,BD,BD_13,239,0,0
Dhaka,2020-05-11,7509,,,BD,BD_13,641,0,0
Dhaka,2020-05-12,7922,,,BD,BD_13,413,0,0
Dhaka,2020-05-14,8490,,,BD,BD_13,568,0,0
Dhaka,2020-05-15,8845,,,BD,BD_13,355,0,0
