date,total_hospitalized_symptomatic,current_intensive_care,current_hospitalized,total_quarantined,current_confirmed,new_current_confirmed,new_confirmed,total_recovered,total_deceased,total_confirmed,total_tested,cases_tested?,key,new_hospitalized_symptomatic,new_quarantined,new_recovered,new_deceased,new_tested,total_current_confirmed
2020-03-16,11025,1851,12876,10197,23073,2470,3233,2749,2158,27980,137962,,IT,1362,929,414,349,13063,22852
2020-03-17,12894,2060,14954,11108,26062,2989,3526,2941,2503,31506,148657,,IT,1869,911,192,345,10695,25841
2020-03-18,14363,2257,16620,12090,28710,2648,4207,4025,2978,35713,165541,,IT,1469,982,1084,475,16884,28489
2020-03-19,15757,2498,18255,14935,33190,4480,5322,4440,3405,41035,182777,,IT,1394,2845,415,427,17236,32969
2020-03-20,16020,2655,18675,19185,37860,4670,5986,5129,4032,47021,206886,,IT,263,4250,689,627,24109,37639
2020-03-21,17708,2857,20565,22116,42681,4821,6557,6072,4825,53578,233222,,IT,1688,2931,943,793,26336,42460
2020-03-22,19846,3009,22855,23783,46638,3957,5560,7024,5476,59138,258402,,IT,2138,1667,952,651,25180,46417
2020-03-23,20692,3204,23896,26522,50418,3780,4789,7432,6077,63927,275468,,IT,846,2739,408,601,17066,50197
2020-03-24,21937,3396,25333,28697,54030,3612,5249,8326,6820,69176,296964,,IT,1245,2175,894,743,21496,53809
2020-03-25,23112,3489,26601,30920,57521,3491,5210,9362,7503,74386,324445,,IT,1175,2223,1036,683,27481,57300
2020-03-26,24753,3612,28365,33648,62013,4492,6153,10361,8165,80539,361060,,IT,1641,2728,999,662,36615,61792
2020-03-27,26029,3732,29761,36653,66414,4401,5959,10950,9134,86498,394079,,IT,1276,3005,589,969,33019,66193
2020-03-28,26676,3856,30532,39533,70065,3651,5974,12384,10023,92472,429526,,IT,647,2880,1434,889,35447,69844
2020-03-29,27386,3906,31292,42588,73880,3815,5217,13030,10779,97689,454030,,IT,710,3055,646,756,24504,73659
2020-03-30,27795,3981,31776,43752,75528,1648,4050,14620,11591,101739,477359,,IT,409,1164,1590,812,23329,75307
2020-03-31,28192,4023,32215,45420,77635,2107,4053,15729,12428,105792,506968,,IT,397,1668,1109,837,29609,77414
2020-04-01,28403,4035,32438,48134,80572,2937,4782,16847,13155,110574,541423,,IT,211,2714,1118,727,34455,80351
2020-04-02,28540,4053,32593,50456,83049,2477,4668,18278,13915,115242,581232,,IT,137,2322,1431,760,39809,82828
2020-04-03,28741,4068,32809,52579,85388,2339,4585,19758,14681,119827,619849,,IT,201,2123,1480,766,38617,85167
2020-04-04,29010,3994,33004,55270,88274,2886,4805,20996,15362,124632,657224,,IT,269,2691,1238,681,37375,88053
2020-04-05,28949,3977,32926,58320,91246,2972,4316,21815,15887,128948,691461,,IT,-61,3050,819,525,34237,91025
2020-04-06,28976,3898,32874,60313,93187,1941,3599,22837,16523,132547,721732,,IT,27,1993,1022,636,30271,92966
2020-04-07,28718,3792,32510,61557,94067,880,3039,24392,17127,135586,755445,,IT,-258,1244,1555,604,33713,93846
2020-04-08,28485,3693,32178,63084,95262,1195,3836,26491,17669,139422,807125,,IT,-233,1527,2099,542,51680,95041
2020-04-09,28399,3605,32004,64873,96877,1615,4204,28470,18279,143626,853369,,IT,-86,1789,1979,610,46244,96656
2020-04-10,28242,3497,31739,66534,98273,1396,3951,30455,18849,147577,906864,,IT,-157,1661,1985,570,53495,98052
