country_code,match_string,date,total_confirmed,new_confirmed,key
CZ,hlavní město praha,2020-03-13,614,,CZ_10
CZ,hlavní město praha,2020-03-20,124,-490,CZ_10
CZ,hlavní město praha,2020-03-21,135,11,CZ_10
CZ,hlavní město praha,2020-03-22,150,15,CZ_10
CZ,hlavní město praha,2020-03-23,198,48,CZ_10
CZ,hlavní město praha,2020-03-24,233,35,CZ_10
CZ,hlavní město praha,2020-03-25,308,75,CZ_10
CZ,hlavní město praha,2020-03-26,382,74,CZ_10
CZ,hlavní město praha,2020-03-27,446,64,CZ_10
CZ,hlavní město praha,2020-03-28,740,294,CZ_10
CZ,hlavní město praha,2020-03-29,752,12,CZ_10
CZ,hlavní město praha,2020-03-30,800,48,CZ_10
CZ,hlavní město praha,2020-03-31,856,56,CZ_10
CZ,hlavní město praha,2020-04-01,931,75,CZ_10
CZ,hlavní město praha,2020-04-02,991,60,CZ_10
CZ,hlavní město praha,2020-04-03,1072,81,CZ_10
CZ,hlavní město praha,2020-04-04,1127,55,CZ_10
CZ,hlavní město praha,2020-04-05,1147,20,CZ_10
CZ,hlavní město praha,2020-04-06,1204,57,CZ_10
CZ,hlavní město praha,2020-04-07,1234,30,CZ_10
CZ,hlavní město praha,2020-04-08,1274,40,CZ_10
CZ,hlavní město praha,2020-04-09,1334,60,CZ_10
CZ,hlavní město praha,2020-04-10,1379,45,CZ_10
CZ,hlavní město praha,2020-04-11,1410,31,CZ_10
CZ,hlavní město praha,2020-04-12,1428,18,CZ_10
CZ,hlavní město praha,2020-04-13,1444,16,CZ_10
CZ,hlavní město praha,2020-04-14,1459,15,CZ_10
CZ,hlavní město praha,2020-04-15,1485,26,CZ_10
CZ,hlavní město praha,2020-04-16,1516,31,CZ_10
CZ,hlavní město praha,2020-04-17,1537,21,CZ_10
CZ,hlavní město praha,2020-04-18,1567,30,CZ_10
CZ,hlavní město praha,2020-04-19,1580,13,CZ_10
CZ,hlavní město praha,2020-04-20,1621,41,CZ_10
CZ,hlavní město praha,2020-04-21,1648,27,CZ_10
CZ,hlavní město praha,2020-04-22,1659,11,CZ_10
CZ,hlavní město praha,2020-04-23,1663,4,CZ_10
CZ,hlavní město praha,2020-04-24,1672,9,CZ_10
CZ,hlavní město praha,2020-04-25,1686,14,CZ_10
CZ,hlavní město praha,2020-04-26,1688,2,CZ_10
CZ,hlavní město praha,2020-04-27,1696,8,CZ_10
CZ,hlavní město praha,2020-04-28,1702,6,CZ_10
CZ,hlavní město praha,2020-04-29,1709,7,CZ_10
CZ,hlavní město praha,2020-04-30,1721,12,CZ_10
CZ,hlavní město praha,2020-05-01,1732,11,CZ_10
CZ,hlavní město praha,2020-05-02,1739,7,CZ_10
CZ,hlavní město praha,2020-05-03,1752,13,CZ_10
CZ,hlavní město praha,2020-05-04,1764,12,CZ_10
CZ,hlavní město praha,2020-05-05,1781,17,CZ_10
CZ,hlavní město praha,2020-05-06,1782,1,CZ_10
CZ,hlavní město praha,2020-05-07,1799,17,CZ_10
CZ,hlavní město praha,2020-05-08,1819,20,CZ_10
CZ,hlavní město praha,2020-05-09,1833,14,CZ_10
CZ,hlavní město praha,2020-05-10,1835,2,CZ_10
CZ,hlavní město praha,2020-05-11,1847,12,CZ_10
CZ,hlavní město praha,2020-05-12,1854,7,CZ_10
CZ,hlavní město praha,2020-05-13,1891,37,CZ_10
CZ,hlavní město praha,2020-05-14,1905,14,CZ_10
CZ,hlavní město praha,2020-05-15,1921,16,CZ_10
CZ,hlavní město praha,2020-05-16,1947,26,CZ_10
CZ,hlavní město praha,2020-05-17,1957,10,CZ_10
CZ,hlavní město praha,2020-05-18,1975,18,CZ_10
CZ,hlavní město praha,2020-05-19,1991,16,CZ_10
CZ,hlavní město praha,2020-05-20,2004,13,CZ_10
CZ,hlavní město praha,2020-05-21,2013,9,CZ_10
CZ,hlavní město praha,2020-05-22,2026,13,CZ_10
CZ,hlavní město praha,2020-05-23,2028,2,CZ_10
CZ,hlavní město praha,2020-05-24,2032,4,CZ_10
CZ,hlavní město praha,2020-05-25,2039,7,CZ_10
CZ,hlavní město praha,2020-05-26,2046,7,CZ_10
CZ,hlavní město praha,2020-05-27,2057,11,CZ_10
CZ,hlavní město praha,2020-05-28,2076,19,CZ_10
CZ,hlavní město praha,2020-05-29,2090,14,CZ_10
CZ,hlavní město praha,2020-05-30,2108,18,CZ_10
CZ,hlavní město praha,2020-05-31,2119,11,CZ_10
CZ,hlavní město praha,2020-06-01,2128,9,CZ_10
CZ,hlavní město praha,2020-06-02,2140,12,CZ_10
CZ,hlavní město praha,2020-06-03,2175,35,CZ_10
CZ,hlavní město praha,2020-06-04,2190,15,CZ_10
CZ,hlavní město praha,2020-06-05,2192,2,CZ_10
CZ,hlavní město praha,2020-06-06,2195,3,CZ_10
CZ,hlavní město praha,2020-06-07,2201,6,CZ_10
CZ,hlavní město praha,2020-06-08,2216,15,CZ_10
CZ,hlavní město praha,2020-06-09,2223,7,CZ_10
CZ,hlavní město praha,2020-06-10,2235,12,CZ_10
CZ,hlavní město praha,2020-06-11,2259,24,CZ_10
CZ,hlavní město praha,2020-06-12,2270,11,CZ_10
CZ,hlavní město praha,2020-06-13,2288,18,CZ_10
CZ,hlavní město praha,2020-06-14,2309,21,CZ_10
CZ,hlavní město praha,2020-06-15,2326,17,CZ_10
CZ,hlavní město praha,2020-06-16,2344,18,CZ_10
CZ,hlavní město praha,2020-06-17,2356,12,CZ_10
CZ,hlavní město praha,2020-06-18,2371,15,CZ_10
CZ,hlavní město praha,2020-06-19,2395,24,CZ_10
CZ,hlavní město praha,2020-06-20,2397,2,CZ_10
