match_string,date,confirmed,deceased,new_confirmed,total_confirmed,new_deceased,total_deceased,country_code,subregion2_code,_match_string,key
LIM,2020-03-06,1,,1,1,,,PE,,lim,PE_LIM
LIM,2020-03-07,4,,4,5,,,PE,,lim,PE_LIM
LIM,2020-03-08,1,,1,6,,,PE,,lim,PE_LIM
LIM,2020-03-09,2,,2,8,,,PE,,lim,PE_LIM
LIM,2020-03-11,3,,3,11,,,PE,,lim,PE_LIM
LIM,2020-03-12,5,,5,16,,,PE,,lim,PE_LIM
LIM,2020-03-13,16,,16,32,,,PE,,lim,PE_LIM
LIM,2020-03-14,5,,5,37,,,PE,,lim,PE_LIM
LIM,2020-03-15,21,,21,58,,,PE,,lim,PE_LIM
LIM,2020-03-16,12,,12,70,,,PE,,lim,PE_LIM
LIM,2020-03-17,26,,26,96,,,PE,,lim,PE_LIM
LIM,2020-03-18,15,,15,111,,,PE,,lim,PE_LIM
LIM,2020-03-19,82,,82,193,,,PE,,lim,PE_LIM
LIM,2020-03-20,19,,19,212,,,PE,,lim,PE_LIM
LIM,2020-03-21,29,,29,241,,,PE,,lim,PE_LIM
LIM,2020-03-22,37,,37,278,,,PE,,lim,PE_LIM
LIM,2020-03-23,29,,29,307,,,PE,,lim,PE_LIM
LIM,2020-03-24,15,,15,322,,,PE,,lim,PE_LIM
LIM,2020-03-25,47,,47,369,,,PE,,lim,PE_LIM
LIM,2020-03-26,84,,84,453,,,PE,,lim,PE_LIM
LIM,2020-03-27,41,,41,494,,,PE,,lim,PE_LIM
LIM,2020-03-28,24,,24,518,,,PE,,lim,PE_LIM
LIM,2020-03-29,121,,121,639,,,PE,,lim,PE_LIM
LIM,2020-03-30,79,,79,718,,,PE,,lim,PE_LIM
LIM,2020-03-31,81,,81,799,,,PE,,lim,PE_LIM
LIM,2020-04-01,191,,191,990,,,PE,,lim,PE_LIM
LIM,2020-04-02,69,,69,1059,,,PE,,lim,PE_LIM
LIM,2020-04-03,120,,120,1179,,,PE,,lim,PE_LIM
LIM,2020-04-04,78,,78,1257,,,PE,,lim,PE_LIM
LIM,2020-04-05,382,,382,1639,,,PE,,lim,PE_LIM
LIM,2020-04-06,198,,198,1837,,,PE,,lim,PE_LIM
LIM,2020-04-07,263,,263,2100,,,PE,,lim,PE_LIM
LIM,2020-04-08,916,,916,3016,,,PE,,lim,PE_LIM
LIM,2020-04-09,688,,688,3704,,,PE,,lim,PE_LIM
LIM,2020-04-10,506,,506,4210,,,PE,,lim,PE_LIM
LIM,2020-04-11,723,,723,4933,,,PE,,lim,PE_LIM
LIM,2020-04-12,523,,523,5456,,,PE,,lim,PE_LIM
LIM,2020-04-13,2002,,2002,7458,,,PE,,lim,PE_LIM
