Date,Country,Indicator,Value
2020-02-06,Northern Ireland,ConfirmedCases,0
2020-02-06,Northern Ireland,Tests,4
2020-02-06,Scotland,ConfirmedCases,0
2020-02-06,Scotland,Deaths,0
2020-02-06,Scotland,Tests,34
2020-02-06,UK,ConfirmedCases,3
2020-02-06,UK,Deaths,0
2020-02-06,UK,Tests,566
2020-02-06,Wales,ConfirmedCases,3
2020-02-06,Wales,Tests,9
2020-02-07,Northern Ireland,ConfirmedCases,0
2020-02-07,Northern Ireland,Tests,10
2020-02-07,Scotland,ConfirmedCases,0
2020-02-07,Scotland,Deaths,0
2020-02-07,Scotland,Tests,38
2020-02-07,UK,ConfirmedCases,3
2020-02-07,UK,Deaths,0
2020-02-07,UK,Tests,620
2020-02-07,Wales,ConfirmedCases,3
2020-02-07,Wales,Tests,9
2020-02-08,England,ConfirmedCases,12
2020-02-08,Northern Ireland,ConfirmedCases,0
2020-02-08,Northern Ireland,Tests,14
2020-02-08,Scotland,ConfirmedCases,0
2020-02-08,Scotland,Deaths,0
2020-02-08,Scotland,Tests,38
2020-02-08,UK,ConfirmedCases,3
2020-02-08,UK,Deaths,0
2020-02-08,UK,Tests,686
2020-02-08,Wales,ConfirmedCases,3
2020-02-08,Wales,Tests,9
2020-02-09,England,ConfirmedCases,13
2020-02-09,Northern Ireland,ConfirmedCases,0
2020-02-09,Northern Ireland,Tests,17
2020-02-09,Scotland,ConfirmedCases,0
2020-02-09,Scotland,Deaths,0
2020-02-09,Scotland,Tests,41
2020-02-09,UK,ConfirmedCases,4
2020-02-09,UK,Deaths,0
2020-02-09,UK,Tests,795
2020-02-09,Wales,ConfirmedCases,3
2020-02-09,Wales,Tests,9
2020-02-10,Northern Ireland,ConfirmedCases,0
2020-02-10,Northern Ireland,Tests,21
2020-02-10,Scotland,ConfirmedCases,0
2020-02-10,Scotland,Deaths,0
2020-02-10,Scotland,Tests,57
2020-02-10,UK,ConfirmedCases,8
2020-02-10,UK,Deaths,0
2020-02-10,UK,Tests,1114
2020-02-10,Wales,ConfirmedCases,3
2020-02-10,Wales,Tests,9
2020-02-11,England,ConfirmedCases,14
2020-02-11,Northern Ireland,ConfirmedCases,0
2020-02-11,Northern Ireland,Tests,23
2020-02-11,Scotland,ConfirmedCases,0
2020-02-11,Scotland,Deaths,0
2020-02-11,Scotland,Tests,82
2020-02-11,UK,ConfirmedCases,8
2020-02-11,UK,Deaths,0
2020-02-11,UK,Tests,1358
2020-02-11,Wales,ConfirmedCases,3
2020-02-11,Wales,Tests,9
2020-02-12,England,ConfirmedCases,15
2020-02-12,Northern Ireland,ConfirmedCases,0
2020-02-12,Northern Ireland,Deaths,0
2020-02-12,Northern Ireland,Tests,21
2020-02-12,Scotland,ConfirmedCases,0
2020-02-12,Scotland,Deaths,0
2020-02-12,Scotland,Tests,106
2020-02-12,UK,ConfirmedCases,8
2020-02-12,UK,Deaths,0
2020-02-12,UK,Tests,1758
2020-02-12,Wales,ConfirmedCases,0
2020-02-12,Wales,Tests,1
2020-02-13,England,ConfirmedCases,16
2020-02-13,Northern Ireland,ConfirmedCases,0
2020-02-13,Northern Ireland,Tests,26
2020-02-13,Scotland,ConfirmedCases,0
2020-02-13,Scotland,Deaths,0
2020-02-13,Scotland,Tests,148
2020-02-13,UK,ConfirmedCases,9
2020-02-13,UK,Deaths,0
2020-02-13,UK,Tests,2521
2020-02-13,Wales,ConfirmedCases,0
2020-02-13,Wales,Tests,2
2020-02-14,England,ConfirmedCases,17
2020-02-14,Northern Ireland,ConfirmedCases,0
2020-02-14,Northern Ireland,Tests,29
2020-02-14,Scotland,ConfirmedCases,0
2020-02-14,Scotland,Deaths,0
2020-02-14,Scotland,Tests,200
2020-02-14,UK,ConfirmedCases,9
2020-02-14,UK,Deaths,0
2020-02-14,UK,Tests,2964
2020-02-14,Wales,ConfirmedCases,0
2020-02-14,Wales,Tests,4
2020-02-15,Northern Ireland,ConfirmedCases,0
2020-02-15,Northern Ireland,Tests,30
2020-02-15,Scotland,ConfirmedCases,0
2020-02-15,Scotland,Deaths,0
2020-02-15,Scotland,Tests,224
2020-02-15,UK,ConfirmedCases,9
2020-02-15,UK,Deaths,0
2020-02-15,UK,Tests,2992
2020-02-15,Wales,ConfirmedCases,0
2020-02-15,Wales,Tests,4
2020-02-16,England,ConfirmedCases,18
2020-02-16,Scotland,ConfirmedCases,0
2020-02-16,Scotland,Deaths,0
2020-02-16,Scotland,Tests,252
2020-02-16,UK,ConfirmedCases,9
2020-02-16,UK,Deaths,0
2020-02-16,UK,Tests,3109
2020-02-16,Wales,ConfirmedCases,0
2020-02-16,Wales,Tests,4
2020-02-17,England,ConfirmedCases,18
2020-02-17,Northern Ireland,ConfirmedCases,0
