geo_type,region,transportation_type,alternative_name,sub-region,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15
city,Melbourne,walking,,Victoria,Australia,100.0,99.97,108.46,121.63,132.04,115.99,105.99,119.39,124.05,118.15,132.55,132.1,115.04,93.28,114.14,118.33,116.32,108.12,113.02,110.58,100.85,105.94,110.77,112.85,117.85,135.5,123.33,105.0,109.17,111.78,118.69,123.83,130.94,119.85,115.03,106.9,114.96,131.31,130.58,155.05,131.54,112.96,113.25,122.22,119.7,128.77,149.37,125.74,111.98,114.56,118.29,109.61,123.57,130.24,123.92,98.25,109.34,114.99,116.6,115.62,115.55,93.8,85.92,75.24,70.88,66.64,67.14,67.59,48.53,48.22,42.05,40.2,40.36,41.8,38.01,28.35,37.12,38.66,39.82,32.39,38.32,25.57,19.54,35.19,36.48,38.19,44.69,34.03,27.56,26.14,35.91,38.64,39.92,39.55,38.73,39.98,37.59,36.4,40.53,40.64,40.02,44.34,42.89,31.12,40.68,40.96,32.33,34.57,32.8,34.53,34.88,37.34,45.99,43.32,43.13,47.13,35.93,36.06,40.84,,,45.8,50.42,58.1,49.75,48.41,47.17,46.62,43.29,50.06,51.89,44.87,52.8,52.82,51.5,52.5,56.29,65.32,48.87,42.18,49.26,53.28,57.22,60.4,71.42,54.88,49.55,54.71,58.51,59.44,64.02,73.15,60.13,55.57,56.87
city,Memphis,driving,,Tennessee,United States,100.0,103.39,101.61,106.95,127.75,121.66,84.26,97.09,98.33,100.7,101.41,118.65,121.18,77.86,97.88,100.43,98.58,103.81,124.64,126.39,84.68,98.02,97.59,100.12,103.69,119.76,120.51,87.65,98.1,102.13,103.49,117.12,143.4,133.03,93.73,106.03,99.95,105.19,107.15,130.33,133.87,84.93,100.58,108.46,112.52,122.93,146.64,158.53,100.94,110.44,119.97,114.27,125.39,151.34,155.63,102.95,111.35,115.21,106.75,111.05,123.06,111.69,79.89,91.7,92.77,84.36,85.75,88.18,79.43,50.56,72.57,64.81,64.8,74.65,81.74,67.54,56.98,68.52,69.27,74.99,77.05,82.17,69.78,54.96,72.77,70.12,75.62,78.62,85.96,75.42,42.51,75.22,76.34,85.25,88.36,95.67,89.68,59.52,91.62,89.2,84.33,86.49,103.26,91.03,73.21,91.27,92.79,93.93,102.19,114.35,109.28,77.35,101.54,106.97,107.27,111.08,117.98,125.86,85.92,,,117.69,124.55,137.89,129.33,92.41,125.47,126.36,131.46,138.83,149.34,147.42,109.33,105.35,124.77,133.62,137.04,161.51,159.16,116.1,132.14,132.43,133.64,133.03,150.42,157.45,114.74,124.96,135.08,144.18,152.37,169.88,169.16,120.46,141.75
city,Memphis,transit,,Tennessee,United States,100.0,103.11,93.77,91.92,102.35,98.85,69.69,97.38,96.29,102.29,87.98,105.08,95.3,68.32,97.87,97.11,89.73,98.58,108.25,93.17,79.96,97.32,95.96,101.86,99.18,102.79,97.16,84.49,105.13,98.2,92.79,103.11,112.07,105.19,76.52,105.46,99.29,94.32,93.94,111.03,103.88,67.83,85.91,102.84,100.87,102.79,104.26,117.8,74.88,104.75,98.96,102.24,103.6,116.17,118.73,81.38,106.06,108.9,99.29,99.4,99.56,89.62,66.47,78.21,90.99,73.89,76.95,72.2,61.28,48.44,63.57,66.74,64.23,69.47,79.74,62.32,58.93,70.67,64.5,65.1,65.87,64.17,53.63,51.77,58.87,57.07,61.33,64.5,62.64,48.33,41.13,56.85,54.01,56.2,58.6,61.88,59.15,44.84,62.92,64.88,56.53,52.32,70.02,61.82,51.94,60.35,66.58,57.4,66.68,66.19,72.09,59.8,70.67,68.92,68.0,73.78,73.51,69.42,57.45,,,73.13,77.28,75.37,67.5,60.24,75.2,70.67,69.36,77.01,84.65,85.42,68.98,71.27,75.81,75.91,80.99,82.96,80.56,72.8,75.04,74.44,83.56,77.23,83.45,92.79,62.81,84.05,81.98,87.49,88.09,91.32,89.51,74.06,85.75
city,Memphis,walking,,Tennessee,United States,100.0,111.49,103.44,108.37,140.38,149.22,94.95,105.54,101.9,101.64,92.65,124.22,146.22,84.66,104.91,102.19,98.34,106.4,142.64,156.8,92.24,102.47,94.47,99.21,103.11,129.72,156.1,105.12,98.87,104.89,103.75,120.54,167.3,178.25,105.68,106.35,95.48,102.35,102.28,138.69,165.22,89.02,99.33,108.22,111.35,128.91,184.9,232.84,112.52,113.34,126.56,117.86,134.56,193.79,220.99,121.98,114.43,122.92,111.51,114.08,134.57,131.63,83.39,93.65,99.15,88.61,91.89,93.61,89.02,50.86,78.69,70.47,73.09,89.79,87.81,74.72,68.96,71.87,76.02,84.64,82.65,89.02,81.97,67.88,85.71,77.21,85.97,87.84,95.91,91.46,47.95,80.63,82.74,94.75,92.72,104.55,100.97,62.21,106.19,101.89,87.83,85.52,111.63,98.64,82.85,98.34,94.31,99.08,109.24,121.77,123.66,80.54,109.37,122.22,118.44,120.46,123.75,143.9,91.65,,,135.45,146.07,162.61,154.54,106.6,149.15,144.23,152.75,158.29,172.03,184.51,138.42,115.73,140.88,152.47,157.51,203.56,204.47,149.79,162.19,154.85,156.87,151.73,175.4,193.44,133.99,136.53,157.24,163.27,176.33,200.11,212.51,144.02,168.33
city,Mexico City,driving,Ciudad de México,,Mexico,100.0,99.92,101.77,108.69,130.08,116.84,77.47,95.22,98.7,101.05,105.72,130.61,117.24,78.74,92.35,96.32,100.82,105.48,133.77,112.75,73.79,70.24,98.66,98.88,108.78,130.29,121.47,82.08,97.59,101.6,104.26,115.15,159.38,130.47,87.49,101.0,104.79,106.32,114.0,144.42,142.65,98.88,98.83,99.32,100.82,109.33,141.99,130.58,86.05,92.73,98.37,99.04,104.49,133.76,121.81,80.69,69.44,97.38,101.17,104.98,128.32,110.69,69.22,55.78,72.37,63.59,59.7,65.16,53.1,34.3,42.83,40.87,39.01,39.12,43.04,39.34,27.28,34.19,34.34,33.3,33.16,37.12,33.56,24.37,29.91,31.2,33.32,28.63,26.71,26.38,23.3,30.89,31.08,31.87,32.04,36.24,32.64,25.54,31.29,30.62,31.45,29.49,33.35,31.19,25.37,29.75,31.04,31.8,34.47,31.64,32.0,25.82,30.37,29.71,31.98,30.77,34.78,34.99,28.48,,,32.97,33.64,39.13,38.76,30.01,33.86,35.21,35.3,36.14,39.65,38.73,31.09,35.31,35.76,34.53,38.35,42.98,42.35,32.57,38.94,38.7,40.56,41.29,47.31,45.11,34.63,42.23,42.54,42.01,43.36,49.49,49.27,37.76,48.47
city,Mexico City,transit,Ciudad de México,,Mexico,100.0,101.92,103.25,106.87,117.28,92.27,69.2,99.67,102.87,103.1,106.73,115.78,94.39,69.47,97.48,99.5,99.94,102.24,115.38,87.93,59.51,67.65,99.16,101.38,106.99,120.59,101.89,74.49,100.57,101.94,104.83,110.74,125.45,104.69,77.21,101.52,103.43,105.22,108.35,129.08,123.57,88.61,101.43,102.15,99.15,108.23,124.23,105.82,72.23,97.74,101.68,101.15,104.68,121.57,104.18,72.88,69.03,98.29,107.36,105.02,112.6,83.96,51.04,52.64,69.34,56.87,51.79,45.94,33.24,24.32,30.6,29.21,28.64,26.12,25.61,22.27,17.86,21.55,21.3,19.95,18.97,19.24,16.26,14.44,17.38,17.67,17.85,14.24,13.17,12.56,13.27,17.81,17.68,16.69,16.61,16.67,14.07,13.2,16.95,17.35,15.88,15.48,15.2,13.3,13.6,16.32,15.93,15.71,14.58,14.37,12.85,13.1,15.47,15.26,15.42,14.08,14.77,13.24,11.21,,,16.05,16.08,16.31,15.87,13.85,17.65,17.01,16.91,16.91,17.26,15.41,13.52,16.88,17.56,17.77,18.49,18.34,16.12,15.44,20.39,19.88,21.45,20.58,20.8,18.7,15.93,21.51,22.07,21.73,20.71,20.96,17.8,16.75,25.25
city,Mexico City,walking,Ciudad de México,,Mexico,100.0,104.29,112.48,115.28,141.15,129.63,81.51,98.8,104.69,107.05,112.07,134.78,131.77,86.66,95.97,98.23,103.59,107.18,133.41,121.72,82.59,75.37,101.11,105.39,117.72,142.16,140.41,93.94,101.35,106.47,113.04,123.62,166.44,152.43,111.38,110.59,110.9,114.69,126.98,162.3,169.93,119.48,105.4,106.78,106.43,119.53,153.37,153.1,102.82,106.29,106.49,108.91,115.51,142.2,138.75,112.58,72.42,97.45,107.0,112.82,131.92,117.07,74.58,55.5,70.12,61.87,56.09,55.21,43.32,28.93,33.16,30.93,30.54,29.9,31.96,29.31,18.99,26.25,26.5,24.11,24.21,26.77,24.55,17.03,21.61,22.43,23.42,18.8,17.9,18.77,15.88,22.96,22.53,23.2,22.48,24.21,22.18,16.99,21.51,21.24,21.74,20.59,22.52,22.25,17.07,21.4,20.98,21.5,24.4,21.66,22.83,17.59,22.79,23.12,23.32,21.72,23.55,24.04,19.33,,,23.94,23.85,27.14,26.4,20.32,24.58,25.31,24.95,25.23,28.44,26.92,20.53,25.0,25.01,24.22,27.16,30.2,30.42,20.63,27.78,27.53,29.41,30.04,33.63,32.28,23.82,27.42,28.33,29.76,31.13,34.8,35.5,24.38,31.98
city,Miami,driving,,Florida,United States,100.0,103.67,105.71,109.05,126.28,114.06,86.67,98.67,104.95,102.79,110.12,122.63,112.8,82.05,98.52,103.55,105.18,115.25,132.65,123.52,93.24,105.8,103.92,105.71,110.33,121.0,116.08,87.7,103.16,107.83,111.9,120.02,138.38,117.0,90.57,104.36,112.82,111.72,115.98,127.54,120.1,91.06,103.89,108.66,112.37,115.4,132.62,123.35,91.71,106.56,109.8,116.1,117.09,130.25,127.61,90.81,109.35,113.46,113.02,110.28,117.29,105.91,77.24,85.86,78.31,70.17,65.71,66.75,51.9,38.06,48.02,47.5,46.64,46.47,48.99,40.88,31.97,43.07,43.64,43.46,43.88,45.85,39.06,29.34,40.3,42.04,43.01,44.03,48.19,41.19,29.54,44.05,45.11,47.84,47.83,53.96,47.99,38.23,50.13,49.59,50.99,51.98,57.55,52.13,37.02,52.7,54.19,55.54,54.8,67.47,60.66,47.81,59.8,64.16,63.57,65.91,75.27,71.41,47.23,,,68.91,68.58,74.54,73.5,57.91,69.7,76.04,77.29,79.36,93.68,84.72,57.88,58.19,77.23,82.65,88.04,98.59,94.11,71.82,82.94,83.78,82.39,86.52,101.01,96.18,74.53,89.29,94.45,95.81,98.12,113.23,106.59,79.29,92.59
city,Miami,transit,,Florida,United States,100.0,99.91,100.02,101.38,99.07,90.66,77.52,91.11,98.34,90.83,94.63,102.02,89.63,72.92,98.79,98.94,99.81,104.0,111.53,97.23,81.54,100.71,99.65,101.14,104.71,99.92,93.25,81.54,102.08,100.78,102.15,106.68,108.21,87.61,80.75,100.39,105.14,103.4,103.14,106.78,94.75,80.49,102.52,103.4,101.92,99.41,103.83,94.08,78.62,101.48,100.25,104.76,103.77,104.24,93.01,75.9,101.76,101.2,98.4,90.22,87.73,77.2,62.73,70.88,59.55,54.91,48.81,46.08,37.93,31.97,37.63,36.99,36.21,34.42,35.45,30.95,27.22,33.86,34.24,31.18,29.73,29.54,27.86,24.05,28.32,28.04,29.64,29.78,29.39,26.74,22.43,29.61,29.2,28.06,28.14,30.06,27.05,24.69,30.64,31.41,29.31,30.41,32.98,30.16,25.44,32.78,33.41,33.44,30.94,35.28,32.66,30.07,37.91,38.6,37.76,36.02,38.93,37.17,26.61,,,39.46,37.07,34.91,36.15,33.99,39.96,42.44,42.85,42.04,46.38,41.69,30.6,33.56,44.75,46.19,49.1,50.31,47.88,38.79,49.15,49.24,45.99,46.36,51.74,47.93,44.36,55.74,57.09,57.67,57.6,59.57,54.91,45.74,58.88
city,Miami,walking,,Florida,United States,100.0,100.61,103.83,107.84,124.99,141.41,105.45,102.91,96.86,94.17,96.7,123.5,138.25,97.93,96.35,99.55,102.21,115.51,145.54,159.48,115.57,104.41,96.78,99.04,105.68,120.96,143.15,107.92,97.65,98.78,104.17,114.73,141.2,130.54,108.55,109.71,106.25,107.9,113.79,131.9,144.38,109.76,104.56,104.12,99.97,110.02,134.95,151.28,111.77,115.71,113.76,120.0,125.68,147.03,164.7,123.7,132.75,136.22,137.97,137.47,152.82,157.06,111.25,100.81,87.74,73.52,66.45,64.51,53.68,39.41,47.11,46.3,44.52,45.26,46.86,42.06,34.4,42.66,42.38,42.52,41.97,44.83,41.3,31.65,39.26,42.15,43.49,43.66,46.77,42.03,31.83,43.41,43.72,44.19,44.48,49.2,46.57,39.45,47.65,47.21,47.92,48.64,51.83,49.63,34.59,49.81,50.57,51.8,49.2,63.46,58.84,46.77,57.05,59.34,58.13,59.86,68.89,67.48,41.76,,,64.78,62.72,67.05,71.64,57.27,62.23,69.21,71.4,73.94,88.98,83.29,54.37,53.27,69.92,77.12,83.95,95.85,97.22,74.04,77.97,79.22,76.18,79.91,96.61,98.92,74.22,84.45,90.74,92.15,96.63,113.8,116.91,84.8,89.19
city,Milan,driving,Milano,Lombardy Region,Italy,100.0,105.06,109.32,106.07,115.5,126.65,101.21,100.46,103.08,106.73,108.69,128.15,125.5,101.98,98.41,107.16,108.67,109.87,116.73,121.78,93.99,97.82,101.79,103.81,107.97,121.78,125.44,110.67,104.7,109.3,117.41,122.85,138.07,131.77,108.64,112.69,116.2,131.45,125.41,138.52,124.13,85.04,76.37,71.75,69.13,68.94,73.54,68.47,59.78,67.99,75.62,75.69,71.07,72.69,68.27,42.61,40.61,30.71,26.76,19.48,17.9,12.88,12.79,16.34,16.03,15.96,16.04,16.31,14.44,10.43,13.36,13.77,13.86,13.36,13.85,12.52,10.5,14.1,14.84,14.86,15.48,15.19,13.11,11.73,15.65,16.8,17.66,18.73,19.39,16.23,9.91,11.78,17.81,19.01,19.91,18.99,17.0,14.73,18.22,19.65,20.3,21.18,21.51,17.41,17.67,21.58,22.38,24.09,23.09,17.91,20.9,24.19,38.5,40.09,40.85,41.41,43.79,39.0,35.24,,,41.13,45.19,44.31,41.74,43.31,55.86,55.83,60.77,63.49,66.79,65.76,62.3,61.93,65.82,68.41,69.45,76.16,77.13,69.63,75.65,75.82,75.25,74.16,88.9,80.6,64.71,72.96,79.73,80.75,83.49,89.39,84.24,81.45,81.64
city,Milan,walking,Milano,Lombardy Region,Italy,100.0,103.68,104.84,108.21,122.85,144.86,97.86,97.61,101.38,105.44,110.25,124.87,149.1,101.42,99.11,106.68,113.4,116.67,133.8,142.14,107.28,102.13,103.87,104.28,108.75,135.27,159.37,109.3,104.24,116.8,122.24,133.46,157.52,162.95,107.24,107.26,128.93,141.96,145.38,155.07,153.12,82.92,62.95,51.05,45.79,44.8,50.1,47.04,33.97,35.39,51.71,53.12,43.31,49.31,49.5,25.75,22.72,19.95,19.86,12.39,13.78,10.75,11.69,11.6,11.3,10.72,10.46,11.95,11.66,8.61,8.84,9.27,8.62,8.89,9.37,10.02,7.1,8.41,9.25,9.5,9.76,10.48,10.68,8.98,10.0,11.12,11.41,12.4,14.56,13.53,7.93,8.53,10.65,12.11,12.38,12.52,12.69,10.3,10.16,11.96,12.53,13.35,13.94,13.47,13.85,13.95,12.7,14.64,14.25,13.53,17.11,18.67,28.97,29.45,29.65,30.97,33.95,37.98,29.26,,,21.97,29.09,27.83,33.11,36.12,36.66,32.65,42.31,43.04,45.63,47.07,45.36,40.35,42.23,45.2,44.19,48.09,51.62,42.99,47.28,43.35,43.6,38.53,57.6,53.89,30.9,42.02,48.89,48.93,51.37,58.28,52.01,47.14,48.62
city,Milwaukee,driving,,Wisconsin,United States,100.0,121.71,105.35,108.32,123.06,104.18,84.63,101.24,103.49,103.78,107.6,125.78,116.01,83.09,94.83,103.75,103.18,107.35,129.67,126.38,84.82,94.9,100.48,103.48,109.59,122.71,124.86,78.9,103.75,106.08,106.74,123.63,137.17,128.83,95.31,103.72,110.38,107.02,112.58,134.54,136.07,96.05,100.43,104.32,110.92,115.48,140.21,139.92,100.28,105.67,110.38,115.95,120.38,140.94,138.37,98.78,103.38,110.14,110.61,107.73,117.9,99.44,71.83,79.09,73.89,64.33,63.75,71.63,58.75,43.99,57.52,54.59,50.92,51.44,59.8,49.87,40.1,53.45,54.88,57.79,60.54,68.69,59.28,48.6,57.79,64.02,56.14,60.38,69.81,63.69,39.73,57.83,61.59,65.66,69.36,76.25,75.96,59.66,71.14,69.98,68.48,72.07,81.3,74.63,64.47,68.83,72.15,70.26,79.43,96.36,89.18,72.41,78.17,82.26,85.64,89.27,99.24,98.81,66.45,,,93.53,93.31,119.03,106.49,72.5,94.1,100.24,110.3,113.56,128.05,111.07,97.87,90.27,116.86,120.14,115.85,144.57,127.57,103.28,117.56,128.18,126.64,130.32,143.97,141.31,108.79,128.06,121.44,125.63,141.12,155.28,145.12,115.21,131.55
city,Milwaukee,transit,,Wisconsin,United States,100.0,109.62,101.29,100.28,107.84,89.12,77.75,99.08,115.99,112.61,115.0,123.23,99.42,79.96,102.76,110.03,103.86,113.09,122.04,103.22,86.91,111.48,110.19,114.22,112.91,119.28,106.69,85.39,115.41,112.63,118.4,112.08,120.66,107.73,92.68,110.31,113.34,110.03,106.81,117.32,112.63,98.46,110.67,110.65,107.32,104.85,125.58,113.14,101.2,112.17,114.56,111.62,111.57,121.49,110.86,92.8,106.46,113.99,104.07,96.25,93.54,78.12,68.83,71.77,63.05,56.36,49.83,53.14,41.64,37.89,51.99,47.11,42.67,40.46,42.35,36.81,39.04,47.44,45.53,49.39,46.58,49.64,42.37,42.56,49.71,50.4,47.57,47.78,48.31,44.56,37.52,45.07,48.59,44.72,46.31,51.07,44.97,45.85,52.98,49.25,48.7,44.79,50.79,46.08,43.85,46.28,47.87,46.31,48.61,49.76,51.76,47.34,51.69,52.29,51.99,52.04,54.54,47.04,42.42,,,52.22,54.77,61.42,57.4,41.57,57.23,54.68,63.17,64.67,67.98,59.79,59.58,56.75,77.5,74.76,63.24,70.76,64.21,55.97,58.11,61.31,65.93,61.95,63.72,58.98,52.1,65.13,56.8,54.43,64.02,68.97,59.67,58.82,68.28
city,Milwaukee,walking,,Wisconsin,United States,100.0,138.26,109.77,111.61,131.12,155.36,103.63,111.05,113.57,112.06,112.74,141.85,161.97,94.63,99.64,109.64,108.55,113.91,162.05,197.19,116.65,99.3,99.62,111.4,126.12,155.74,188.47,98.65,110.04,105.06,102.6,111.91,157.35,189.42,115.37,101.73,115.71,106.14,108.33,155.4,229.37,130.19,101.58,104.07,111.6,119.14,173.85,222.69,139.86,111.2,116.56,131.3,139.83,177.64,255.17,139.53,102.03,119.3,127.39,115.44,133.13,136.05,89.17,82.08,83.92,69.74,66.99,77.51,69.63,55.08,69.04,70.21,70.69,59.3,69.86,56.81,52.83,64.43,63.54,73.25,82.33,87.42,75.67,70.01,70.44,87.15,62.43,67.74,82.75,82.35,53.24,62.34,63.89,69.26,76.24,82.92,99.82,76.02,84.86,78.72,74.5,75.2,90.28,85.96,83.49,75.13,77.41,73.32,88.8,109.5,118.11,101.04,84.19,86.35,103.44,105.87,106.13,117.18,76.94,,,113.6,113.46,148.49,131.5,88.5,100.78,109.48,139.01,139.34,159.14,142.85,144.31,124.92,150.99,154.48,137.97,173.98,163.35,131.18,151.37,181.74,167.43,170.61,184.06,215.8,149.14,168.38,144.08,147.86,178.52,197.36,203.57,144.33,163.1
city,Minneapolis,driving,,Minnesota,United States,100.0,100.25,95.44,102.68,85.63,85.24,76.13,94.45,97.05,100.66,108.58,116.85,115.19,81.4,88.38,92.13,92.98,98.67,112.39,113.28,75.49,87.18,92.97,95.1,100.81,113.2,112.32,73.67,93.55,98.59,97.23,99.98,123.4,120.21,89.14,98.85,112.67,99.47,104.06,123.31,122.88,87.26,94.82,98.77,100.85,105.89,124.63,122.8,88.25,94.36,103.05,100.62,106.05,125.1,123.47,89.08,92.05,97.42,98.76,94.89,101.45,87.41,62.15,68.0,63.16,55.74,52.69,59.66,48.91,38.6,48.96,49.2,48.01,54.58,59.55,34.48,30.94,46.18,48.46,48.2,47.61,50.31,50.78,43.94,48.87,52.89,50.96,50.87,61.06,57.34,27.56,48.67,50.49,55.54,57.93,67.86,66.78,52.79,59.22,60.36,67.51,66.66,73.56,70.32,55.32,66.87,58.48,69.51,76.33,84.33,78.41,64.28,72.75,74.53,78.16,78.12,89.49,77.79,58.77,,,78.21,88.84,103.9,83.38,61.2,90.6,97.61,102.24,101.64,111.77,88.45,76.03,76.65,95.86,108.8,122.49,118.54,104.41,92.82,114.89,106.61,115.35,117.75,132.77,111.19,96.06,116.26,110.43,119.03,128.04,138.46,119.14,101.09,118.79
city,Minneapolis,transit,,Minnesota,United States,100.0,97.62,91.25,90.3,83.78,70.92,68.0,89.64,108.28,105.33,106.57,104.04,88.32,69.18,94.94,95.26,94.73,97.08,99.55,89.36,68.85,95.09,98.58,96.2,98.4,103.51,83.93,70.46,97.52,99.86,96.75,88.74,101.7,89.93,71.26,92.53,100.23,94.79,96.55,105.97,93.9,74.83,98.29,100.06,98.1,96.5,105.07,87.33,74.54,97.95,98.86,97.08,98.67,107.19,91.88,75.08,88.14,93.44,88.45,81.48,80.04,64.77,53.9,55.03,49.49,41.09,35.82,37.27,33.04,27.03,34.73,32.33,32.71,35.77,33.52,23.62,23.45,33.02,32.43,31.23,29.64,26.23,28.23,26.73,31.63,32.61,29.81,26.9,30.7,28.32,19.0,28.38,27.63,27.85,28.91,29.04,29.79,26.2,29.61,30.17,33.49,31.44,32.05,33.04,27.89,35.42,28.61,33.24,33.52,34.46,33.98,32.31,34.55,35.09,35.84,33.64,33.38,29.18,25.89,,,31.54,35.04,39.21,30.7,25.51,38.07,39.73,40.06,37.04,38.12,33.65,33.82,37.63,42.11,45.03,43.47,28.1,22.39,24.29,27.73,28.47,42.59,41.11,45.37,41.58,39.05,47.02,43.24,46.63,54.02,51.34,46.42,41.8,50.6
city,Minneapolis,walking,,Minnesota,United States,100.0,106.28,106.04,111.91,102.66,115.3,91.1,116.09,133.3,134.12,130.39,157.16,179.7,104.33,111.69,112.0,110.96,118.15,152.66,189.2,106.55,107.11,115.54,120.94,125.02,148.98,169.42,91.52,105.1,120.02,117.07,122.79,175.68,207.19,117.08,113.9,113.67,113.05,121.95,172.65,193.35,118.98,115.89,125.32,123.68,135.14,174.09,195.65,129.46,124.27,141.74,124.66,135.47,180.29,208.93,142.17,111.45,120.32,130.93,116.34,129.71,133.25,82.28,79.62,85.64,72.2,61.77,76.3,66.53,56.01,67.82,67.54,59.12,81.87,90.65,47.73,45.52,87.74,85.25,74.52,69.9,60.4,77.68,78.9,71.74,91.53,71.92,63.04,86.16,91.44,36.59,58.0,57.29,64.65,73.55,87.82,102.36,79.42,75.02,76.06,100.28,90.89,101.84,108.64,84.5,101.71,69.63,93.57,109.56,112.28,120.01,100.12,97.87,96.7,106.31,104.29,110.17,96.13,69.41,,,101.7,127.61,156.67,115.53,79.25,128.33,145.65,153.12,138.3,156.6,126.48,119.27,118.61,138.98,167.13,194.73,183.79,177.74,161.73,158.07,152.26,169.5,168.72,200.84,160.94,142.83,164.6,151.84,166.59,192.05,198.94,183.62,150.38,166.03
city,Mito,driving,水戸市,Ibaraki Prefecture,Japan,100.0,100.4,99.09,101.5,122.87,133.84,104.39,98.32,98.57,93.93,100.92,131.1,132.33,97.41,88.59,94.17,97.29,95.79,134.2,131.18,106.48,100.22,97.03,102.9,102.8,136.63,146.32,119.31,129.51,108.92,107.64,110.41,138.88,128.43,113.05,110.89,111.09,111.03,120.31,146.5,182.85,146.71,116.27,105.7,106.04,102.86,112.28,119.99,98.59,103.4,104.06,104.21,110.76,130.18,121.22,106.73,103.96,109.93,120.74,117.49,125.33,136.81,123.03,117.4,116.43,120.31,139.88,157.03,145.15,118.03,119.75,119.46,119.53,124.24,122.17,92.02,103.54,103.27,98.1,96.47,93.31,102.55,88.01,85.55,86.02,82.44,80.24,78.3,85.14,70.58,69.15,76.61,74.68,73.02,67.84,56.63,63.28,62.38,64.63,65.6,63.24,63.2,61.66,61.32,59.07,61.02,59.54,67.45,69.51,70.95,64.34,59.17,63.42,52.55,58.68,70.11,71.52,64.03,66.43,,,64.28,69.71,72.42,79.96,70.42,65.6,69.22,71.4,75.74,82.7,94.87,78.84,77.66,77.14,76.49,86.32,106.96,109.94,81.58,76.36,82.43,85.9,88.85,113.52,116.51,91.17,86.13,89.07,85.8,90.63,113.47,118.0,96.44,90.96
city,Mito,transit,水戸市,Ibaraki Prefecture,Japan,100.0,99.73,100.13,105.97,119.72,129.27,100.8,98.14,94.38,92.66,101.01,128.29,132.68,99.75,91.9,95.51,92.35,96.47,129.87,126.21,104.17,102.05,99.34,99.28,99.95,132.75,152.88,120.18,125.47,113.74,107.81,107.45,133.74,122.62,111.36,110.11,108.31,109.12,115.52,138.6,162.33,140.1,113.07,102.18,101.2,98.58,104.84,113.77,98.41,102.72,102.06,103.52,106.7,119.88,112.31,106.74,105.39,113.59,118.15,113.87,117.04,127.33,119.14,114.88,114.58,115.05,123.06,137.21,131.66,117.03,116.56,118.3,114.61,113.83,108.58,83.96,100.02,102.78,94.94,96.65,93.32,96.36,85.28,85.76,85.16,82.82,78.42,77.33,77.01,66.37,69.96,70.67,69.05,66.67,62.93,51.62,57.99,57.44,59.24,58.36,55.11,60.7,55.98,55.73,56.01,55.72,56.46,61.69,61.98,60.62,57.3,55.58,60.28,51.51,58.29,62.37,63.55,58.73,64.39,,,66.34,71.5,72.62,77.2,75.08,68.16,71.31,71.5,77.6,82.95,94.63,82.37,77.09,82.98,81.55,88.44,106.14,107.32,93.13,84.1,89.98,88.23,95.75,120.2,117.65,96.21,94.61,94.29,92.74,94.76,112.73,117.68,103.78,97.52
