Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Aantal
2020-03-13,-1,,,,1
2020-03-13,3,Appingedam,Groningen,20,0
2020-03-13,10,Delfzijl,Groningen,20,0
2020-03-13,14,Groningen,Groningen,20,0
2020-03-13,24,Loppersum,Groningen,20,0
2020-03-13,34,Almere,Flevoland,24,0
2020-03-13,37,Stadskanaal,Groningen,20,0
2020-03-13,47,Veendam,Groningen,20,0
2020-03-13,50,Zeewolde,Flevoland,24,0
2020-03-13,59,Achtkarspelen,Friesland,21,0
2020-03-13,60,Ameland,Friesland,21,0
2020-03-13,72,Harlingen,Friesland,21,0
2020-03-13,74,Heerenveen,Friesland,21,0
2020-03-13,80,Leeuwarden,Friesland,21,0
2020-03-13,85,Ooststellingwerf,Friesland,21,0
2020-03-13,86,Opsterland,Friesland,21,0
2020-03-13,88,Schiermonnikoog,Friesland,21,0
2020-03-13,90,Smallingerland,Friesland,21,0
2020-03-13,93,Terschelling,Friesland,21,0
2020-03-13,96,Vlieland,Friesland,21,0
2020-03-13,98,Weststellingwerf,Friesland,21,0
2020-03-13,106,Assen,Drenthe,22,0
2020-03-13,109,Coevorden,Drenthe,22,0
2020-03-13,114,Emmen,Drenthe,22,0
2020-03-13,118,Hoogeveen,Drenthe,22,0
2020-03-13,119,Meppel,Drenthe,22,0
2020-03-13,141,Almelo,Overijssel,23,0
2020-03-13,147,Borne,Overijssel,23,0
2020-03-13,148,Dalfsen,Overijssel,23,0
2020-03-13,150,Deventer,Overijssel,23,0
2020-03-13,153,Enschede,Overijssel,23,0
2020-03-13,158,Haaksbergen,Overijssel,23,0
2020-03-13,160,Hardenberg,Overijssel,23,0
2020-03-13,163,Hellendoorn,Overijssel,23,0
2020-03-13,164,Hengelo,Overijssel,23,0
2020-03-13,166,Kampen,Overijssel,23,0
2020-03-13,168,Losser,Overijssel,23,0
2020-03-13,171,Noordoostpolder,Flevoland,24,0
2020-03-13,173,Oldenzaal,Overijssel,23,0
2020-03-13,175,Ommen,Overijssel,23,0
2020-03-13,177,Raalte,Overijssel,23,0
2020-03-13,180,Staphorst,Overijssel,23,0
2020-03-13,183,Tubbergen,Overijssel,23,0
2020-03-13,184,Urk,Flevoland,24,0
2020-03-13,189,Wierden,Overijssel,23,0
2020-03-13,193,Zwolle,Overijssel,23,0
2020-03-13,197,Aalten,Gelderland,25,0
2020-03-13,200,Apeldoorn,Gelderland,25,0
2020-03-13,202,Arnhem,Gelderland,25,0
2020-03-13,203,Barneveld,Gelderland,25,0
2020-03-13,209,Beuningen,Gelderland,25,0
2020-03-13,213,Brummen,Gelderland,25,0
2020-03-13,214,Buren,Gelderland,25,0
2020-03-13,216,Culemborg,Gelderland,25,0
2020-03-13,221,Doesburg,Gelderland,25,0
2020-03-13,222,Doetinchem,Gelderland,25,0
2020-03-13,225,Druten,Gelderland,25,0
2020-03-13,226,Duiven,Gelderland,25,0
2020-03-13,228,Ede,Gelderland,25,0
2020-03-13,230,Elburg,Gelderland,25,0
2020-03-13,232,Epe,Gelderland,25,0
2020-03-13,233,Ermelo,Gelderland,25,0
2020-03-13,243,Harderwijk,Gelderland,25,0
2020-03-13,244,Hattem,Gelderland,25,0
2020-03-13,246,Heerde,Gelderland,25,0
2020-03-13,252,Heumen,Gelderland,25,0
2020-03-13,262,Lochem,Gelderland,25,0
2020-03-13,263,Maasdriel,Gelderland,25,0
2020-03-13,267,Nijkerk,Gelderland,25,0
2020-03-13,268,Nijmegen,Gelderland,25,0
2020-03-13,269,Oldebroek,Gelderland,25,0
2020-03-13,273,Putten,Gelderland,25,0
2020-03-13,274,Renkum,Gelderland,25,0
2020-03-13,275,Rheden,Gelderland,25,0
2020-03-13,277,Rozendaal,Gelderland,25,0
2020-03-13,279,Scherpenzeel,Gelderland,25,0
2020-03-13,281,Tiel,Gelderland,25,0
2020-03-13,285,Voorst,Gelderland,25,0
2020-03-13,289,Wageningen,Gelderland,25,0
2020-03-13,293,Westervoort,Gelderland,25,0
2020-03-13,294,Winterswijk,Gelderland,25,0
2020-03-13,296,Wijchen,Gelderland,25,0
2020-03-13,297,Zaltbommel,Gelderland,25,0
2020-03-13,299,Zevenaar,Gelderland,25,0
2020-03-13,301,Zutphen,Gelderland,25,0
2020-03-13,302,Nunspeet,Gelderland,25,0
2020-03-13,303,Dronten,Flevoland,24,0
2020-03-13,307,Amersfoort,Utrecht,26,0
2020-03-13,308,Baarn,Utrecht,26,0
2020-03-13,310,De Bilt,Utrecht,26,0
2020-03-13,312,Bunnik,Utrecht,26,0
2020-03-13,313,Bunschoten,Utrecht,26,0
2020-03-13,317,Eemnes,Utrecht,26,0
2020-03-13,321,Houten,Utrecht,26,0
2020-03-13,327,Leusden,Utrecht,26,0
2020-03-13,331,Lopik,Utrecht,26,0
