,,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5,11/5,12/5,13/5,14/5,15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5
Pernambuco,PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,6,6,8,9,10,14,21,30,34,46,56,65,72,85,102,115,143,160,186,205,216,234,260,282,312,352,381,415,450,508,538,565,603,628,652,691,749,803,845,927,972,1047,1087,1157,1224,1298,1381,1461,1516,1640,1741,1834,1925,2057,2144
Piauí,PI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,5,6,7,7,7,8,8,8,8,8,9,10,12,14,15,15,16,17,18,20,21,24,24,24,26,28,28,29,30,35,37,38,42,45,49,57,60,60,65,72,80,85,87,91,93,99
Rio Grande do Norte,RN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,5,7,7,8,11,11,11,13,15,17,18,19,20,23,24,25,27,28,29,34,38,40,44,45,48,53,56,56,59,61,62,68,72,76,81,87,88,92,93,105,117,122,136,139,146,160,170,178,181,184
Sergipe,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,7,8,8,9,9,10,11,12,12,14,14,14,17,21,23,25,28,33,34,37,37,42,47,50,53,57,59,63,69,76,82,86
Nordeste,(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,10,13,17,22,27,43,51,59,78,92,103,141,173,194,219,246,287,326,377,412,479,533,579,626,681,741,832,921,1002,1079,1200,1311,1429,1536,1643,1844,1918,2051,2244,2408,2553,2774,2981,3167,3337,3568,3818,4004,4223,4521,4673,4989,5285,5537,5977,6284,6515
Espirito Santo,ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,6,6,6,6,7,9,9,14,17,18,22,25,28,30,33,34,34,42,42,47,51,57,64,76,83,96,103,114,122,133,145,155,165,172,181,196,212,233,249,260,271,285,302,325,341,363,397,417
Minas Gerais,MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,6,6,9,11,14,15,17,17,20,23,27,30,33,35,39,39,41,44,47,51,54,58,61,62,71,80,82,88,88,89,90,94,97,106,111,118,119,121,127,135,139,146,150,156,161,167,177,191,201,217
Rio de Janeiro,RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,6,6,9,10,13,17,18,23,28,41,47,58,64,71,89,106,122,147,155,170,188,224,265,300,341,387,402,422,461,490,530,570,615,645,677,738,794,854,921,971,1019,1065,1123,1205,1394,1503,1653,1714,1770,1928,2050,2247,2438,2614,2715,2852,3079,3237,3412,3657,3905
São Paulo,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,9,15,22,30,40,48,58,68,84,98,113,136,164,188,219,260,275,304,371,428,496,540,560,588,608,695,778,853,928,991,1015,1037,1093,1134,1345,1512,1667,1700,1825,2049,2247,2375,2511,2586,2627,2654,2851,3045,3206,3416,3608,3709,3743,3949,4118,4315,4501,4688,4782,4823,5147,5363,5558,5773,6045
Sudeste,(SE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,11,18,25,34,46,54,67,78,97,115,132,161,195,234,276,329,351,390,477,554,639,711,741,787,833,963,1091,1208,1329,1445,1486,1533,1632,1705,1968,2178,2387,2457,2621,2922,3197,3394,3616,3748,3849,3931,4201,4492,4861,5195,5551,5723,5830,6216,6536,6950,7345,7723,7938,8138,8718,9118,9524,10028,10584
Paraná,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,4,4,6,9,11,15,17,22,25,26,30,31,36,38,41,42,46,48,51,51,57,60,64,69,72,75,77,82,83,89,90,93,94,99,101,104,106,107,109,111,113,117,119,120,123,124,127,129,137,141,146,150
Rio Grande do Sul,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,4,5,5,6,7,7,8,9,12,14,15,16,16,18,19,19,22,24,24,27,27,27,29,31,34,35,42,45,50,51,58,62,65,74,79,87,90,91,95,97,105,111,111,120,126,132,142,144,151,161,166,172,176
Santa Catarina,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,2,5,5,10,10,11,15,17,18,21,24,24,26,28,29,30,31,32,35,35,37,39,42,42,42,43,44,44,46,48,52,52,52,55,59,63,63,64,65,69,73,73,78,79,81,83,85,91,94,98,100,103
Sul,(S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,5,7,9,9,11,14,17,26,28,34,41,51,57,62,70,71,80,85,89,94,101,104,113,113,121,128,137,145,149,160,166,176,180,195,204,210,220,233,247,257,260,266,271,285,297,301,317,325,336,349,356,371,392,405,418,429
Distrito Federal,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,7,7,10,12,12,13,14,14,14,15,17,17,20,20,24,24,24,24,25,25,26,26,27,27,28,28,30,30,31,33,33,33,34,35,37,39,42,44,46,48,51,55,56,59,66,72,77,84,90,95
Goiás,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,5,5,7,7,8,10,14,15,15,15,16,16,18,18,19,19,21,23,24,25,25,26,27,27,29,29,30,30,30,38,44,44,49,47,47,49,52,61,64,67,69,70,73,73,78,85,93,95
Mato Grosso,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4,4,5,5,5,5,6,6,6,7,8,9,9,10,11,11,11,11,12,12,13,13,13,13,14,16,18,19,19,20,23,26,27,27,29,32,32,34,37,37
Mato Grosso do Sul,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,5,5,5,5,5,6,6,7,7,7,7,9,9,9,9,9,9,10,10,10,10,10,11,11,11,11,12,13,14,14,15,15,16,16,17,17,17,17
Centro-Oeste,(CO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,6,9,11,12,17,20,22,24,26,29,33,38,40,40,46,46,52,52,54,55,58,62,65,67,68,72,75,75,79,79,82,85,86,94,101,102,111,113,118,123,129,142,152,162,167,171,184,193,204,220,237,244
