ISO 3166-2 Code,Country,Subdivision,Last Update,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30
AR-B,Argentina,Buenos Aires,2020-07-01 21:24:42.128906,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,6,0,7,0,9.0,11.0,12.0,16,17.0,24.0,30.0,40.0,49.0,56.0,64.0,69.0,79.0,89.0,97.0,114.0,130.0,142.0,154.0,167.0,175.0,184.0,196.0,212.0,223.0,241.0,255.0,269.0,289.0,303.0,316.0,331.0,351.0,370.0,385.0,396.0,414.0,442.0,457.0,468.0,483.0,498.0,507.0,521.0,536.0,543.0,556.0,574.0,586.0,603.0,618.0,633.0,652.0,665.0,678.0,693.0,713.0,724.0,739.0,752.0,774.0,792.0,813.0,825.0,836.0,858.0,869.0,882.0,897.0,908.0,927.0,950.0,968.0,985.0,1005.0,1021.0,1040.0,1059.0,1080.0,1108.0,1130.0,1163.0,1186.0,1204.0,1222.0,1239.0,1249.0,1253.0,,,,,,,,,,,,,,
AR-K,Argentina,Catamarca,2020-07-01 21:24:42.128906,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
AR-H,Argentina,Chaco,2020-07-01 21:24:42.128906,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,2,6.0,7.0,0.0,8.0,0.0,9.0,10.0,12.0,13.0,0.0,0.0,0.0,15.0,0.0,16.0,0.0,0.0,17.0,0.0,18.0,20.0,24.0,0.0,25.0,0.0,28.0,29.0,32.0,33.0,34.0,36.0,37.0,0.0,38.0,40.0,41.0,0.0,45.0,49.0,52.0,55.0,56.0,59.0,60.0,62.0,63.0,65.0,69.0,71.0,73.0,74.0,79.0,82.0,84.0,89.0,90.0,92.0,0.0,96.0,97.0,98.0,100.0,102.0,104.0,110.0,112.0,114.0,117.0,122.0,0.0,123.0,125.0,126.0,127.0,128.0,129.0,0.0,142.0,143.0,144.0,0.0,153.0,0.0,0.0,,,,,,,,,,,,,,
AR-U,Argentina,Chubut,2020-07-01 21:24:42.128906,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,10.0,11.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-07-01 21:24:42.128906,0.0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,4,0,5,6,9,10,0.0,11.0,0.0,14,17.0,18.0,23.0,28.0,32.0,36.0,37.0,42.0,0.0,45.0,53.0,60.0,67.0,70.0,78.0,94.0,100.0,106.0,112.0,116.0,125.0,136.0,146.0,156.0,159.0,165.0,171.0,178.0,187.0,194.0,206.0,216.0,222.0,230.0,242.0,253.0,263.0,277.0,282.0,289.0,296.0,301.0,307.0,315.0,321.0,331.0,343.0,352.0,359.0,369.0,371.0,377.0,385.0,395.0,402.0,406.0,415.0,425.0,433.0,437.0,452.0,461.0,472.0,478.0,489.0,497.0,507.0,513.0,520.0,528.0,543.0,564.0,576.0,588.0,594.0,606.0,619.0,637.0,650.0,659.0,669.0,684.0,691.0,693.0,,,,,,,,,,,,,,
AR-X,Argentina,Cordoba,2020-07-01 21:24:42.128906,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,12.0,15.0,0.0,0.0,16.0,18.0,19.0,20.0,21.0,22.0,23.0,0.0,26.0,28.0,0.0,0.0,30.0,33.0,0.0,36.0,37.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,40.0,0.0,0.0,41.0,42.0,43.0,44.0,45.0,46.0,0.0,47.0,0.0,49.0,0.0,0.0,0.0,0.0,50.0,0.0,51.0,52.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,58.0,0.0,0.0,,,,,,,,,,,,,,
AR-W,Argentina,Corrientes,2020-07-01 21:24:42.128906,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,
AR-E,Argentina,Entre Rios,2020-07-01 21:24:42.128906,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,8.0,13.0,14.0,0.0,0.0,17.0,18.0,19.0,0.0,22.0,23.0,26.0,29.0,30.0,31.0,32.0,0.0,0.0,33.0,34.0,0.0,36.0,0.0,38.0,0.0,0.0,40.0,0.0,41.0,42.0,44.0,0.0,45.0,0.0,46.0,0.0,47.0,48.0,49.0,50.0,0.0,52.0,0.0,53.0,0.0,54.0,55.0,57.0,58.0,0.0,0.0,60.0,61.0,62.0,64.0,0.0,67.0,70.0,72.0,73.0,0.0,74.0,75.0,76.0,0.0,77.0,0.0,78.0,0.0,,,,,,,,,,,,,,
AR-P,Argentina,Formosa,2020-07-01 21:24:42.128906,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
AR-Y,Argentina,Jujuy,2020-07-01 21:24:42.128906,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
