,,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5,11/5,12/5,13/5,14/5,15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5,24/5,25/5,26/5,27/5,28/5,29/5,30/5,31/5,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6,13/6,14/6,15/6,16/6,17/6,18/6,19/6,20/6,21/6,22/6,23/6,24/6,25/6,26/6,27/6
Rio de Janeiro,RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,3,1,3,4,1,5,5,13,6,11,6,7,18,17,16,25,8,15,18,36,41,35,41,46,15,20,39,29,40,40,45,30,32,61,56,60,67,50,48,46,58,82,189,109,150,61,56,158,122,197,191,176,101,137,227,158,175,245,248,88,112,256,244,251,223,198,67,118,224,324,317,146,166,68,74,147,210,225,54,175,80,56,239,171,274,183,229,51,58,220,142,155,137,202
São Paulo,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,6,7,8,10,8,10,10,16,14,15,23,28,24,31,41,15,29,67,57,68,44,20,28,20,87,83,75,75,63,24,22,56,41,211,167,155,33,125,224,198,128,136,75,41,27,197,194,161,210,192,101,34,206,169,197,186,187,94,41,324,216,195,215,272,118,57,203,289,268,295,257,83,52,327,282,284,282,216,87,43,334,340,283,223,213,113,73,365,389,325,386,262,94,46,434,284,407,207,297
Sudeste,(SE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,7,7,9,12,8,13,11,19,18,17,29,34,39,42,53,22,39,87,77,85,72,30,46,46,130,128,117,121,116,41,47,99,73,263,210,209,70,164,301,275,197,222,132,101,82,270,291,369,334,356,172,107,386,320,414,395,378,215,200,580,400,406,504,556,244,192,485,563,561,542,484,179,187,612,657,657,492,432,189,160,533,592,556,316,432,246,167,670,633,680,647,559,199,167,749,515,624,388,548
Paraná,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,2,3,2,4,2,5,3,1,4,1,5,2,3,1,4,2,3,0,6,3,4,5,3,3,2,5,1,6,1,3,1,5,2,3,2,1,2,2,2,4,2,1,3,1,3,2,8,4,5,4,3,3,3,3,7,4,8,1,8,9,6,10,12,5,5,6,10,22,5,14,18,14,8,30,22,20,13,9,23,18,29,23,18,25,11
Rio Grande do Sul,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,1,1,0,1,1,3,2,1,1,0,2,1,0,3,2,0,3,0,0,2,2,3,1,7,3,5,1,7,4,3,9,5,8,3,1,4,2,8,6,0,9,6,6,10,2,7,10,5,6,4,4,17,6,6,4,0,5,6,8,13,13,7,11,7,3,5,10,15,7,14,7,6,10,14,13,19,17,7,4,24,19,23,0,40,14
Santa Catarina,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,1,0,0,3,0,5,0,1,4,2,1,3,3,0,2,2,1,1,1,1,3,0,2,2,3,0,0,1,1,0,2,2,4,0,0,3,4,4,0,1,1,4,4,0,5,1,2,2,2,6,3,4,2,3,2,4,12,5,5,3,2,7,3,2,4,4,3,7,5,0,8,5,2,5,2,2,4,13,4,6,12,3,9,10,7,16,10,9,6
Sul,(S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,2,0,2,3,3,9,2,6,7,10,6,5,8,1,9,5,4,5,7,3,9,0,8,7,9,8,4,11,6,10,4,15,9,6,10,13,14,10,3,6,5,14,12,4,16,8,11,13,7,15,21,13,13,11,9,24,21,14,16,7,15,14,19,24,23,21,26,19,13,11,28,42,14,33,27,22,22,57,39,45,42,19,36,52,55,62,28,74,31
Distrito Federal,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,2,0,3,2,0,1,1,0,0,1,2,0,3,0,4,0,0,0,1,0,1,0,1,0,1,0,2,0,1,2,0,0,1,1,2,2,3,2,2,2,3,4,1,3,7,6,5,7,6,5,9,10,10,9,9,12,8,8,1,6,14,5,6,6,6,0,22,20,18,8,11,11,15,29,17,14,17,8,19,26,26,20,14,23,5
Goiás,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,0,1,2,4,1,0,0,1,0,2,0,1,0,2,2,1,1,0,1,1,0,2,0,1,0,0,8,6,0,5,-2,0,2,3,9,3,3,2,1,3,0,5,7,8,2,0,1,8,4,7,4,3,2,3,24,4,9,3,5,1,0,7,8,1,5,14,3,15,20,6,12,17,14,8,8,18,34,21,25,20
Mato Grosso,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2,2,1,0,1,3,3,1,0,2,3,0,2,3,0,3,1,2,3,5,5,1,4,5,4,6,6,6,8,13,7,19,11,14,15,17,17,7,10,40,15,28,26,25,24,17,42,19,18,47
Mato Grosso do Sul,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1,3,0,3,2,3,0,3,1,3,2,2,8,1,5,4,3
Centro-Oeste,(CO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,3,2,1,5,3,2,2,2,3,4,5,2,0,6,0,6,0,2,1,3,4,3,2,1,4,3,0,4,0,3,3,1,8,7,1,9,2,5,5,6,13,10,10,5,4,13,9,11,16,17,7,12,12,20,17,21,21,13,15,9,34,24,20,16,19,20,8,48,41,34,31,42,34,39,62,63,44,63,51,54,60,69,97,59,70,75
