,,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5,11/5,12/5,13/5,14/5,15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5,24/5,25/5,26/5,27/5,28/5,29/5,30/5,31/5,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6,13/6,14/6,15/6,16/6,17/6,18/6,19/6,20/6,21/6,22/6,23/6,24/6,25/6,26/6,27/6,28/6
Brasil,BR,0,0,0,1,0,0,0,1,4,6,6,6,5,4,18,25,21,23,79,34,57,137,193,283,224,418,345,310,232,482,502,487,352,323,1.138,1.119,1.074,1.146,1.222,852,926,1.661,2.210,1.930,1.781,1.089,1.442,1.261,1.832,3.058,2.105,3.257,2.917,2.055,1.927,2.498,2.678,3.735,3.503,5.514,3.379,4.613,5.385,6.276,7.218,5.919,5.260,4.588,6.633,6.935,10.503,9.888,10.222,10.611,6.760,5.632,9.258,11.385,13.944,15.305,14.919,7.938,13.140,17.408,19.951,18.508,20.803,16.508,15.813,11.687,16.324,20.599,26.417,26.928,33.274,16.409,11.598,28.936,28.633,30.925,30.830,27.075,18.912,15.654,32.091,32.913,30.412,25.982,21.704,17.110,20.647,34.918,32.188,22.765,54.771,34.666,17.459,21.432,39.436,42725,39483,46860,38693,30476
Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,0,6,6,1,1,0,9,8,0,1,0,3,0,2,2,0,4,8,8,2,5,13,9,2,9,25,7,21,13,19,19,13,7,24,21,0,32,43,50,82,67,104,76,84,126,71,163,158,112,13,130,104,46,45,82,130,237,248,335,286,240,524,293,341,280,470,349,241,231,147,107,139,214,342,263,241,458,145,329,289,345,204,239,108,129,232,336,325,323,276,118,158,271,212,282,340,269,145
Amapá,AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,4,2,1,0,8,9,1,5,14,59,21,38,27,37,12,65,27,28,8,23,23,17,24,22,69,85,52,113,44,76,98,64,41,66,295,251,198,115,153,123,171,120,58,239,95,423,202,204,118,71,287,239,639,467,436,262,231,383,652,533,317,844,289,288,621,596,444,776,446,272,249,477,852,543,517,639,190,301,1211,594,769,535,1652,266,2842,1755,482,496,247,239,84
Amazonas,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,8,15,6,15,7,13,14,30,29,11,24,25,29,31,51,106,115,104,168,95,82,69,156,69,209,70,165,90,88,147,116,110,209,409,306,441,198,95,409,464,453,469,339,621,559,867,1134,856,628,1198,674,320,1249,1648,1365,1211,1285,651,585,1219,1572,1663,1671,1764,1065,415,1667,1559,2638,2763,1651,818,396,1421,1152,2126,1193,1119,484,542,1423,1615,1140,1122,915,480,271,1241,1529,1189,947,1219,508,321,1342,1691,503,953,802,627
Pará,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,2,6,0,4,1,3,11,8,6,4,30,6,16,36,29,1,2,47,29,24,53,61,54,119,83,45,217,124,169,72,179,133,288,261,134,160,454,300,284,403,262,347,545,507,617,634,481,307,1053,1002,1249,1242,1075,680,870,1561,1840,1621,1713,1228,1428,1952,2523,2433,2666,2787,810,665,85,3161,3567,3275,2911,2216,1095,1761,3116,2947,2031,2202,2182,669,45,2019,2949,2431,3449,2809,1773,1366,2616,3072,2328,2436,2841,1130
Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,1,0,0,0,2,1,1,0,1,1,2,4,0,10,4,1,2,7,22,5,7,16,18,18,32,39,24,27,40,38,36,29,20,20,69,83,68,52,51,105,82,155,124,41,39,94,64,152,74,103,130,44,80,214,242,160,115,335,92,67,225,369,390,250,241,199,230,305,236,746,403,838,410,516,594,630,697,677,486,155,315,830,557,237,549,599,229,646,671,926,749,1098,0,549
Roraima,RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,2,2,4,0,0,6,4,4,7,5,0,0,7,3,11,12,4,4,30,1,28,22,37,21,22,3,33,17,7,41,56,6,18,27,67,83,66,72,66,63,63,88,104,78,88,5,33,83,89,89,117,85,85,109,82,79,160,68,65,75,69,99,277,139,201,175,218,158,293,340,348,407,291,239,288,291,247,118,130,33,6,54,215,271,229,387,83,68,2152,463,1069,1039,167,1263
Tocantins,TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,0,0,1,1,0,1,1,1,0,0,2,3,0,2,4,0,0,0,2,1,0,0,3,2,2,0,1,3,0,0,6,7,8,9,12,37,21,27,27,55,21,36,48,72,71,78,116,59,81,104,97,150,100,103,114,150,163,167,229,225,161,105,162,165,254,334,370,195,169,138,215,183,301,323,139,163,245,205,272,215,187,41,165,172,264,201,182,247,151,123,289,332,327,256,285,262
Norte,(N),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,7,11,23,10,23,23,21,19,39,43,27,40,43,40,50,100,124,140,160,271,138,145,158,235,130,388,166,294,282,258,275,418,322,476,607,630,736,720,444,701,849,1178,1085,917,1602,1286,1700,2113,1902,1830,2358,1630,856,2849,3188,3343,3042,2993,1811,2042,3788,4473,4615,4595,4580,3366,3186,5309,5747,7107,6831,4348,2488,1493,5943,6273,7456,6195,5590,3149,3615,6472,6829,5275,5055,4778,1676,1232,5759,6444,5423,6214,7189,3128,5524,9096,7178,5754,6369,4603,4060
Alagoas,AL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,2,2,0,0,3,3,0,1,0,0,4,1,5,3,1,5,0,8,3,0,2,22,10,7,21,22,27,12,39,33,81,89,88,53,89,134,180,87,182,146,69,97,68,97,164,166,139,86,85,237,181,211,240,381,223,215,285,121,479,386,328,584,468,376,522,475,563,605,1065,549,722,848,690,840,881,888,0,1487,983,1024,831,856,1312,763,670,1235,766,1273,792,959,738,853,982,835,799,657,791
