Date_of_report;Municipality_code;Municipality_name;Province;Total_reported;Hospital_admission;Deceased
2020-03-13 10:00:00;GM0003;Appingedam;Groningen;0;0;0
2020-03-13 10:00:00;GM0010;Delfzijl;Groningen;0;0;0
2020-03-13 10:00:00;GM0014;Groningen;Groningen;3;0;0
2020-03-13 10:00:00;GM0024;Loppersum;Groningen;0;0;0
2020-03-13 10:00:00;GM0034;Almere;Flevoland;1;1;0
2020-03-13 10:00:00;GM0037;Stadskanaal;Groningen;0;0;0
2020-03-13 10:00:00;GM0047;Veendam;Groningen;0;0;0
2020-03-13 10:00:00;GM0050;Zeewolde;Flevoland;1;0;0
2020-03-13 10:00:00;GM0059;Achtkarspelen;Friesland;0;0;0
2020-03-13 10:00:00;GM0060;Ameland;Friesland;0;0;0
2020-03-13 10:00:00;GM0072;Harlingen;Friesland;0;0;0
2020-03-13 10:00:00;GM0074;Heerenveen;Friesland;0;0;0
2020-03-13 10:00:00;GM0080;Leeuwarden;Friesland;1;0;0
2020-03-13 10:00:00;GM0085;Ooststellingwerf;Friesland;0;0;0
2020-03-13 10:00:00;GM0086;Opsterland;Friesland;2;0;0
2020-03-13 10:00:00;GM0088;Schiermonnikoog;Friesland;0;0;0
2020-03-13 10:00:00;GM0090;Smallingerland;Friesland;1;1;0
2020-03-13 10:00:00;GM0093;Terschelling;Friesland;0;0;0
2020-03-13 10:00:00;GM0096;Vlieland;Friesland;0;0;0
2020-03-13 10:00:00;GM0098;Weststellingwerf;Friesland;0;0;0
2020-03-13 10:00:00;GM0106;Assen;Drenthe;0;0;0
2020-03-13 10:00:00;GM0109;Coevorden;Drenthe;11;0;0
2020-03-13 10:00:00;GM0114;Emmen;Drenthe;1;0;0
2020-03-13 10:00:00;GM0118;Hoogeveen;Drenthe;1;0;0
2020-03-13 10:00:00;GM0119;Meppel;Drenthe;0;0;0
2020-03-13 10:00:00;GM0141;Almelo;Overijssel;1;0;0
2020-03-13 10:00:00;GM0147;Borne;Overijssel;3;0;0
2020-03-13 10:00:00;GM0148;Dalfsen;Overijssel;0;0;0
2020-03-13 10:00:00;GM0150;Deventer;Overijssel;0;0;0
2020-03-13 10:00:00;GM0153;Enschede;Overijssel;3;0;0
2020-03-13 10:00:00;GM0158;Haaksbergen;Overijssel;0;0;0
2020-03-13 10:00:00;GM0160;Hardenberg;Overijssel;0;0;0
2020-03-13 10:00:00;GM0163;Hellendoorn;Overijssel;2;0;0
2020-03-13 10:00:00;GM0164;Hengelo;Overijssel;0;0;0
2020-03-13 10:00:00;GM0166;Kampen;Overijssel;0;0;0
2020-03-13 10:00:00;GM0168;Losser;Overijssel;0;0;0
2020-03-13 10:00:00;GM0171;Noordoostpolder;Flevoland;0;0;0
2020-03-13 10:00:00;GM0173;Oldenzaal;Overijssel;0;0;0
2020-03-13 10:00:00;GM0175;Ommen;Overijssel;0;0;0
2020-03-13 10:00:00;GM0177;Raalte;Overijssel;1;0;0
2020-03-13 10:00:00;GM0180;Staphorst;Overijssel;0;0;0
2020-03-13 10:00:00;GM0183;Tubbergen;Overijssel;1;0;0
2020-03-13 10:00:00;GM0184;Urk;Flevoland;0;0;0
2020-03-13 10:00:00;GM0189;Wierden;Overijssel;0;0;0
2020-03-13 10:00:00;GM0193;Zwolle;Overijssel;2;0;0
2020-03-13 10:00:00;GM0197;Aalten;Gelderland;0;0;0
2020-03-13 10:00:00;GM0200;Apeldoorn;Gelderland;2;0;0
2020-03-13 10:00:00;GM0202;Arnhem;Gelderland;4;0;0
2020-03-13 10:00:00;GM0203;Barneveld;Gelderland;0;0;0
2020-03-13 10:00:00;GM0209;Beuningen;Gelderland;3;0;0
2020-03-13 10:00:00;GM0213;Brummen;Gelderland;0;0;0
2020-03-13 10:00:00;GM0214;Buren;Gelderland;2;0;0
2020-03-13 10:00:00;GM0216;Culemborg;Gelderland;2;0;0
2020-03-13 10:00:00;GM0221;Doesburg;Gelderland;0;0;0
2020-03-13 10:00:00;GM0222;Doetinchem;Gelderland;0;0;0
2020-03-13 10:00:00;GM0225;Druten;Gelderland;1;0;0
2020-03-13 10:00:00;GM0226;Duiven;Gelderland;1;0;0
2020-03-13 10:00:00;GM0228;Ede;Gelderland;0;0;0
2020-03-13 10:00:00;GM0230;Elburg;Gelderland;1;0;0
2020-03-13 10:00:00;GM0232;Epe;Gelderland;0;0;0
2020-03-13 10:00:00;GM0233;Ermelo;Gelderland;4;0;0
2020-03-13 10:00:00;GM0243;Harderwijk;Gelderland;2;1;0
2020-03-13 10:00:00;GM0244;Hattem;Gelderland;0;0;0
2020-03-13 10:00:00;GM0246;Heerde;Gelderland;0;0;0
2020-03-13 10:00:00;GM0252;Heumen;Gelderland;0;0;0
2020-03-13 10:00:00;GM0262;Lochem;Gelderland;0;0;0
2020-03-13 10:00:00;GM0263;Maasdriel;Gelderland;0;0;0
2020-03-13 10:00:00;GM0267;Nijkerk;Gelderland;0;0;0
2020-03-13 10:00:00;GM0268;Nijmegen;Gelderland;9;1;0
2020-03-13 10:00:00;GM0269;Oldebroek;Gelderland;1;0;0
2020-03-13 10:00:00;GM0273;Putten;Gelderland;0;0;0
2020-03-13 10:00:00;GM0274;Renkum;Gelderland;7;0;0
2020-03-13 10:00:00;GM0275;Rheden;Gelderland;1;0;0
2020-03-13 10:00:00;GM0277;Rozendaal;Gelderland;0;0;0
2020-03-13 10:00:00;GM0279;Scherpenzeel;Gelderland;0;0;0
2020-03-13 10:00:00;GM0281;Tiel;Gelderland;2;1;0
2020-03-13 10:00:00;GM0285;Voorst;Gelderland;1;0;0
2020-03-13 10:00:00;GM0289;Wageningen;Gelderland;0;0;0
2020-03-13 10:00:00;GM0293;Westervoort;Gelderland;0;0;0
2020-03-13 10:00:00;GM0294;Winterswijk;Gelderland;0;0;0
2020-03-13 10:00:00;GM0296;Wijchen;Gelderland;3;2;0
2020-03-13 10:00:00;GM0297;Zaltbommel;Gelderland;1;1;0
2020-03-13 10:00:00;GM0299;Zevenaar;Gelderland;0;0;0
2020-03-13 10:00:00;GM0301;Zutphen;Gelderland;0;0;0
2020-03-13 10:00:00;GM0302;Nunspeet;Gelderland;1;1;0
2020-03-13 10:00:00;GM0303;Dronten;Flevoland;2;0;0
2020-03-13 10:00:00;GM0307;Amersfoort;Utrecht;4;1;0
2020-03-13 10:00:00;GM0308;Baarn;Utrecht;0;0;0
2020-03-13 10:00:00;GM0310;De Bilt;Utrecht;11;1;0
2020-03-13 10:00:00;GM0312;Bunnik;Utrecht;0;0;0
2020-03-13 10:00:00;GM0313;Bunschoten;Utrecht;0;0;0
