date,YYYYMMDD,EC,FS,GP,KZN,LP,MP,NC,NW,WC,UNKNOWN,total,source
03-05-2020,20200503,774,122,1624,1076,37,46,24,36,3044,0,6783,https://twitter.com/nicd_sa/status/1257006165889880069?s=20
04-05-2020,20200504,814,125,1651,1106,39,53,25,35,3362,0,7220,https://sacoronavirus.co.za/2020/05/04/update-on-covid-19-4th-may-2020/
05-05-2020,20200505,838,128,1697,1142,40,57,26,35,3609,0,7572,https://sacoronavirus.co.za/2020/05/05/update-on-covid-19-5th-may-2020/
06-05-2020,20200506,849,130,1720,1149,40,57,26,37,3760,0,7808,https://twitter.com/HealthZA/status/1258130333272244229?s=20
07-05-2020,20200507,929,134,1804,1204,41,59,27,40,3994,0,8232,https://sacoronavirus.co.za/2020/05/07/update-on-covid-19-7th-may-2020/
08-05-2020,20200508,989,133,1851,1253,43,60,27,42,4497,0,8895,https://sacoronavirus.co.za/2020/05/08/update-on-covid-19-8th-may-2020/
09-05-2020,20200509,1078,134,1910,1308,51,61,28,41,4809,0,9420,https://sacoronavirus.co.za/2020/05/09/update-on-covid-19-9th-may-2020/
10-05-2020,20200510,1218,135,1952,1353,54,61,29,45,5168,0,10015,https://sacoronavirus.co.za/2020/05/10/update-on-covid-19-10th-may-2020/
11-05-2020,20200511,1356,135,1971,1372,54,63,30,50,5621,0,10652,https://twitter.com/DrZweliMkhize/status/1259849590251098112?s=20
12-05-2020,20200512,1504,135,2014,1394,54,63,30,51,6105,0,11350,https://twitter.com/nicd_sa/status/1260170708329672706?s=20
13-05-2020,20200513,1534,138,2074,1413,54,66,30,52,6713,0,12074,https://twitter.com/nicd_sa/status/1260674090282684417/photo/1
14-05-2020,20200514,1569,145,2135,1444,55,67,31,58,7235,0,12739,https://sacoronavirus.co.za/2020/05/14/update-on-covid-19-14th-may-2020/
15-05-2020,20200515,1662,151,2210,1482,57,67,34,63,7798,0,13524,https://mobile.twitter.com/nicd_sa/status/1261360621804806145/photo/1
16-05-2020,20200516,1812,153,2262,1498,59,68,35,64,8404,0,14355,https://twitter.com/nicd_sa/status/1261738963716489219
17-05-2020,20200517,1936,158,2329,1543,77,71,37,70,9294,0,15515,https://sacoronavirus.co.za/2020/05/17/update-on-covid-19-17th-may-2020/
18-05-2020,20200518,2052,163,2343,1567,88,76,37,72,10035,0,16433,https://twitter.com/nicd_sa/status/1262476267405946883
19-05-2020,20200519,2135,168,2361,1616,94,78,37,72,10639,0,17200,https://sacoronavirus.co.za/2020/05/19/update-on-covid-19-19th-may-2020/
20-05-2020,20200520,2215,180,2400,1650,93,93,38,72,11262,0,18003,https://twitter.com/nicd_sa/status/1263182934594420736
21-05-2020,20200521,2324,184,2453,1693,121,95,37,77,12153,0,19137,https://twitter.com/nicd_sa/status/1263466016874680322
22-05-2020,20200522,2459,185,2521,1735,120,98,39,80,12888,0,20125,https://sacoronavirus.co.za/2020/05/22/update-on-covid-19-22nd-may-2020/
23-05-2020,20200523,2569,196,2633,1777,124,97,40,81,13826,0,21343,https://twitter.com/nicd_sa/status/1264277822891327489
24-05-2020,20200524,2690,202,2773,1815,128,101,40,94,14740,0,22583,https://twitter.com/nicd_sa/status/1264637660045377540
25-05-2020,20200525,2748,208,2993,1882,132,103,45,109,15396,0,23615,https://twitter.com/nicd_sa/status/1265002094299426817?s=20
26-05-2020,20200526,2864,206,3043,1927,132,103,45,115,15829,0,24264,https://twitter.com/nicd_sa/status/1265381678001913857
27-05-2020,20200527,3047,221,3167,2186,141,106,48,128,16893,0,25937,https://twitter.com/nicd_sa/status/1265738793904201728
28-05-2020,20200528,3306,225,3329,2349,144,111,51,134,17754,0,27403,https://twitter.com/COVID_19_ZA/status/1266131226135597057
29-05-2020,20200529,3583,231,3583,2428,170,112,52,143,18906,32,29240,https://twitter.com/nicd_sa/status/1266458332031848459
30-05-2020,20200530,3759,261,3773,2476,173,113,57,162,20160,33,30967,https://twitter.com/nicd_sa/status/1266797798369964034
31-05-2020,20200531,3927,278,4003,2545,177,121,69,175,21382,6,32683,https://twitter.com/nicd_sa/status/1267168836924641281
01-06-2020,20200601,4111,285,4231,2565,192,131,82,187,22567,6,34357,https://twitter.com/nicd_sa/status/1267462844578226178
02-06-2020,20200602,4324,299,4276,2637,193,132,91,271,23583,6,35812,https://twitter.com/nicd_sa/status/1267904171778412545
03-06-2020,20200603,4526,319,4567,2707,200,137,93,314,24657,5,37525,https://twitter.com/nicd_sa/status/1268264707401662464
04-06-2020,20200604,4936,322,4845,2869,206,144,95,364,27006,5,40792,https://twitter.com/nicd_sa/status/1268630460286087175 
05-06-2020,20200605,5240,336,5215,2936,215,169,102,409,28807,5,43434,https://twitter.com/nicd_sa/status/1268987910034001924
06-06-2020,20200606,5629,348,5626,3016,216,181,105,468,30379,5,45973,https://twitter.com/nicd_sa/status/1269362848700010500
07-06-2020,20200607,5974,361,5946,3108,227,189,114,523,31824,19,48285,https://twitter.com/nicd_sa/status/1269717709786427393
08-06-2020,20200608,6341,373,6258,3175,244,183,118,580,33568,39,50879,https://twitter.com/nicd_sa/status/1270077710539337728
09-06-2020,20200609,6760,391,6546,3255,253,184,122,604,34819,57,52991,https://twitter.com/nicd_sa/status/1270426173798039552
10-06-2020,20200610,7154,401,7195,3347,257,207,125,657,36021,57,55421,https://twitter.com/nicd_sa/status/1270814096137555968
11-06-2020,20200611,7868,406,7953,3472,267,228,132,757,37422,63,58568,https://twitter.com/nicd_sa/status/1271100650617745413
12-06-2020,20200612,8615,435,8781,3573,288,243,138,865,38926,63,61927,https://twitter.com/nicd_sa/status/1271539036679798784
13-06-2020,20200613,9250,457,9897,3763,309,271,144,977,40605,63,65736,https://twitter.com/nicd_sa/status/1271887439167213568
14-06-2020,20200614,10027,495,11164,3874,326,297,156,1097,42539,63,70038,https://twitter.com/nicd_sa/status/1272271278678949893
15-06-2020,20200615,10597,512,12193,3959,362,322,205,1177,44143,63,73533,https://twitter.com/nicd_sa/status/1272656484615311364
16-06-2020,20200616,11039,578,13023,4048,391,343,211,1281,45357,63,76334,https://twitter.com/nicd_sa/status/1273017728232800257
17-06-2020,20200617,11919,608,14620,4238,416,391,211,1402,46555,52,80412,https://twitter.com/nicd_sa/status/1273335858674925570
18-06-2020,20200618,12639,649,15898,4360,489,461,214,1606,47522,52,83890,https://twitter.com/nicd_sa/status/1273701719126552576/photo/1
