dep,jour,p,t,cl_age90
01,2020-05-13,9,334,0
01,2020-05-13,0,16,09
01,2020-05-13,1,17,19
01,2020-05-13,0,33,29
01,2020-05-13,1,72,39
01,2020-05-13,0,54,49
01,2020-05-13,0,41,59
01,2020-05-13,0,29,69
01,2020-05-13,1,30,79
01,2020-05-13,4,28,89
01,2020-05-13,2,14,90
02,2020-05-13,14,297,0
02,2020-05-13,0,11,09
02,2020-05-13,0,9,19
02,2020-05-13,1,39,29
02,2020-05-13,3,46,39
02,2020-05-13,2,39,49
02,2020-05-13,1,37,59
02,2020-05-13,1,31,69
02,2020-05-13,2,25,79
02,2020-05-13,3,35,89
02,2020-05-13,1,24,90
03,2020-05-13,0,163,0
03,2020-05-13,0,2,09
03,2020-05-13,0,3,19
03,2020-05-13,0,13,29
03,2020-05-13,0,14,39
03,2020-05-13,0,23,49
03,2020-05-13,0,35,59
03,2020-05-13,0,18,69
03,2020-05-13,0,21,79
03,2020-05-13,0,18,89
03,2020-05-13,0,16,90
04,2020-05-13,1,97,0
04,2020-05-13,0,5,09
04,2020-05-13,0,1,19
04,2020-05-13,0,10,29
04,2020-05-13,0,10,39
04,2020-05-13,1,10,49
04,2020-05-13,0,13,59
04,2020-05-13,0,19,69
04,2020-05-13,0,18,79
04,2020-05-13,0,11,89
04,2020-05-13,0,0,90
05,2020-05-13,0,28,0
05,2020-05-13,0,2,09
05,2020-05-13,0,1,19
05,2020-05-13,0,5,29
05,2020-05-13,0,0,39
05,2020-05-13,0,2,49
05,2020-05-13,0,5,59
05,2020-05-13,0,5,69
05,2020-05-13,0,4,79
05,2020-05-13,0,4,89
05,2020-05-13,0,0,90
06,2020-05-13,19,827,0
06,2020-05-13,1,7,09
06,2020-05-13,0,19,19
06,2020-05-13,2,82,29
06,2020-05-13,2,98,39
06,2020-05-13,4,131,49
06,2020-05-13,2,119,59
06,2020-05-13,3,92,69
06,2020-05-13,2,72,79
06,2020-05-13,2,111,89
06,2020-05-13,1,94,90
07,2020-05-13,4,64,0
07,2020-05-13,0,2,09
07,2020-05-13,0,4,19
07,2020-05-13,1,5,29
07,2020-05-13,0,7,39
07,2020-05-13,0,9,49
07,2020-05-13,2,11,59
07,2020-05-13,0,9,69
07,2020-05-13,1,7,79
07,2020-05-13,0,8,89
07,2020-05-13,0,2,90
08,2020-05-13,6,100,0
08,2020-05-13,0,3,09
08,2020-05-13,0,8,19
08,2020-05-13,1,21,29
08,2020-05-13,2,17,39
08,2020-05-13,0,14,49
08,2020-05-13,1,13,59
08,2020-05-13,0,4,69
08,2020-05-13,1,10,79
08,2020-05-13,1,10,89
08,2020-05-13,0,0,90
09,2020-05-13,1,52,0
09,2020-05-13,0,3,09
09,2020-05-13,0,3,19
09,2020-05-13,0,8,29
09,2020-05-13,0,5,39
09,2020-05-13,0,7,49
09,2020-05-13,1,7,59
09,2020-05-13,0,12,69
09,2020-05-13,0,4,79
09,2020-05-13,0,3,89
09,2020-05-13,0,0,90
10,2020-05-13,3,225,0
10,2020-05-13,0,4,09
10,2020-05-13,0,13,19
10,2020-05-13,1,18,29
10,2020-05-13,0,17,39
10,2020-05-13,0,41,49
10,2020-05-13,1,34,59
10,2020-05-13,0,27,69
10,2020-05-13,0,26,79
10,2020-05-13,1,19,89
10,2020-05-13,0,25,90
11,2020-05-13,13,267,0
11,2020-05-13,0,9,09
11,2020-05-13,0,8,19
11,2020-05-13,3,33,29
11,2020-05-13,0,26,39
11,2020-05-13,1,28,49
11,2020-05-13,0,24,59
11,2020-05-13,0,41,69
11,2020-05-13,1,29,79
11,2020-05-13,3,41,89
11,2020-05-13,5,28,90
