Date,Nombre de personnes en soins normaux,Nombre de personnes en soins intensifs (patients du Grand Est inclus),Nombre de personnes en soins intensifs (sans patients du Grand Est),Nombre de décès - cumulé (sans patients du Grand Est),"Total patients COVID ayant quitté l'hôpital (hospitalisations stationnaires, données brutes)",Nombre cumulé de nouvelles personnes testées COVID+ (si la personne a déjà été testée + précédemment elle n'est donc pas reprise dans le compte),Nombre de nouvelles personnes testées COVID+ par jour ,"Nombre cumulé de personnes testées pour COVID
*le 26/03 des résultats de tests ont été rapatriés en masse ",Nombre de nouvelles personnes testées pour COVID par jour (si la personne a déjà été testée précédemment (- ou +) est n'est donc pas reprise dans le compte)
24/02/2020,0,0,0,0,-,0,0,2,2.00000000000000
25/02/2020,0,0,0,0,-,0,0,9,7.00000000000000
26/02/2020,0,0,0,0,-,0,0,11,2.00000000000000
27/02/2020,0,0,0,0,-,0,0,12,1.00000000000000
28/02/2020,0,0,0,0,-,0,0,19,7.00000000000000
29/02/2020,0,0,0,0,-,1,1,20,1.00000000000000
01/03/2020,0,0,0,0,-,1,0,20,0.00000000000000
02/03/2020,0,0,0,0,-,1,0,27,7.00000000000000
03/03/2020,0,0,0,0,-,1,0,31,4.00000000000000
04/03/2020,0,0,0,0,-,1,0,31,0.00000000000000
05/03/2020,0,0,0,0,-,2,1,37,6.00000000000000
06/03/2020,0,0,0,0,-,3,1,46,9.00000000000000
07/03/2020,0,0,0,0,-,4,1,52,6.00000000000000
08/03/2020,0,0,0,0,-,4,0,52,0.00000000000000
09/03/2020,0,0,0,0,-,4,0,68,16.00000000000000
10/03/2020,0,0,0,0,3,4,0,93,25.00000000000000
11/03/2020,0,0,0,0,-,6,2,144,51.00000000000000
12/03/2020,0,0,0,0,1,21,15,344,200.00000000000000
13/03/2020,0,0,0,0,3,45,24,547,203.00000000000000
14/03/2020,0,0,0,0,-,66,21,654,107.00000000000000
15/03/2020,0,0,0,0,-,66,0,678,24.00000000000000
16/03/2020,0,0,0,0,4,99,33,1098,420.00000000000000
