Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Aantal
2020-04-18,-1,,,,32
2020-04-18,3,Appingedam,Groningen,20,0
2020-04-18,10,Delfzijl,Groningen,20,0
2020-04-18,14,Groningen,Groningen,20,2
2020-04-18,24,Loppersum,Groningen,20,0
2020-04-18,34,Almere,Flevoland,24,5
2020-04-18,37,Stadskanaal,Groningen,20,1
2020-04-18,47,Veendam,Groningen,20,0
2020-04-18,50,Zeewolde,Flevoland,24,3
2020-04-18,59,Achtkarspelen,Friesland,21,0
2020-04-18,60,Ameland,Friesland,21,0
2020-04-18,72,Harlingen,Friesland,21,1
2020-04-18,74,Heerenveen,Friesland,21,10
2020-04-18,80,Leeuwarden,Friesland,21,6
2020-04-18,85,Ooststellingwerf,Friesland,21,0
2020-04-18,86,Opsterland,Friesland,21,0
2020-04-18,88,Schiermonnikoog,Friesland,21,0
2020-04-18,90,Smallingerland,Friesland,21,3
2020-04-18,93,Terschelling,Friesland,21,0
2020-04-18,96,Vlieland,Friesland,21,0
2020-04-18,98,Weststellingwerf,Friesland,21,2
2020-04-18,106,Assen,Drenthe,22,2
2020-04-18,109,Coevorden,Drenthe,22,1
2020-04-18,114,Emmen,Drenthe,22,7
2020-04-18,118,Hoogeveen,Drenthe,22,4
2020-04-18,119,Meppel,Drenthe,22,3
2020-04-18,141,Almelo,Overijssel,23,3
2020-04-18,147,Borne,Overijssel,23,6
2020-04-18,148,Dalfsen,Overijssel,23,6
2020-04-18,150,Deventer,Overijssel,23,23
2020-04-18,153,Enschede,Overijssel,23,13
2020-04-18,158,Haaksbergen,Overijssel,23,1
2020-04-18,160,Hardenberg,Overijssel,23,6
2020-04-18,163,Hellendoorn,Overijssel,23,2
2020-04-18,164,Hengelo,Overijssel,23,14
2020-04-18,166,Kampen,Overijssel,23,22
2020-04-18,168,Losser,Overijssel,23,0
2020-04-18,171,Noordoostpolder,Flevoland,24,3
2020-04-18,173,Oldenzaal,Overijssel,23,5
2020-04-18,175,Ommen,Overijssel,23,2
2020-04-18,177,Raalte,Overijssel,23,8
2020-04-18,180,Staphorst,Overijssel,23,3
2020-04-18,183,Tubbergen,Overijssel,23,3
2020-04-18,184,Urk,Flevoland,24,4
2020-04-18,189,Wierden,Overijssel,23,3
2020-04-18,193,Zwolle,Overijssel,23,33
2020-04-18,197,Aalten,Gelderland,25,3
2020-04-18,200,Apeldoorn,Gelderland,25,28
2020-04-18,202,Arnhem,Gelderland,25,17
2020-04-18,203,Barneveld,Gelderland,25,6
2020-04-18,209,Beuningen,Gelderland,25,4
2020-04-18,213,Brummen,Gelderland,25,5
2020-04-18,214,Buren,Gelderland,25,4
2020-04-18,216,Culemborg,Gelderland,25,6
2020-04-18,221,Doesburg,Gelderland,25,6
