Key,Date,CountryCode,CountryName,RegionCode,RegionName,aggregation_level,Confirmed,Deaths,Population,Latitude,Longitude
JP_14,2020-01-16,JP,Japan,14,Kanagawa,1,0,1,9200166,35.447508,139.642344
JP_13,2020-01-24,JP,Japan,13,Tokyo,1,0,1,13942856,35.689722,139.692222
JP_13,2020-01-25,JP,Japan,13,Tokyo,1,0,2,13942856,35.689722,139.692222
JP_23,2020-01-26,JP,Japan,23,Aichi,1,0,1,7549594,35.180167,136.906667
JP_01,2020-01-28,JP,Japan,01,Hokkaido,1,0,1,5273681,43,142
JP_23,2020-01-28,JP,Japan,23,Aichi,1,0,2,7549594,35.180167,136.906667
JP_29,2020-01-28,JP,Japan,29,Nara,1,1,,1331330,34.685194,135.832944
JP_27,2020-01-29,JP,Japan,27,Osaka,1,1,,8823453,34.686389,135.52
JP_13,2020-01-30,JP,Japan,13,Tokyo,1,0,3,13942856,35.689722,139.692222
JP_24,2020-01-30,JP,Japan,24,Mie,1,0,1,1781948,34.73025,136.508667
JP_26,2020-01-30,JP,Japan,26,Kyoto,1,0,1,2583140,35.021667,135.755611
JP_12,2020-01-31,JP,Japan,12,Chiba,1,1,0,6279026,35.605,140.123333
JP_12,2020-02-04,JP,Japan,12,Chiba,1,1,1,6279026,35.605,140.123333
JP_12,2020-02-05,JP,Japan,12,Chiba,1,1,2,6279026,35.605,140.123333
JP_26,2020-02-05,JP,Japan,26,Kyoto,1,1,1,2583140,35.021667,135.755611
JP_12,2020-02-13,JP,Japan,12,Chiba,1,2,2,6279026,35.605,140.123333
JP_13,2020-02-13,JP,Japan,13,Tokyo,1,1,3,13942856,35.689722,139.692222
JP_14,2020-02-13,JP,Japan,14,Kanagawa,1,1,1,9200166,35.447508,139.642344
JP_30,2020-02-13,JP,Japan,30,Wakayama,1,1,,923721,34.226028,135.1675
JP_01,2020-02-14,JP,Japan,01,Hokkaido,1,1,1,5273681,43,142
JP_13,2020-02-14,JP,Japan,13,Tokyo,1,3,3,13942856,35.689722,139.692222
JP_14,2020-02-14,JP,Japan,14,Kanagawa,1,2,1,9200166,35.447508,139.642344
JP_23,2020-02-14,JP,Japan,23,Aichi,1,1,2,7549594,35.180167,136.906667
JP_30,2020-02-14,JP,Japan,30,Wakayama,1,2,,923721,34.226028,135.1675
JP_47,2020-02-14,JP,Japan,47.0,Okinawa,1,1,,1457162,26.5,127.933333
JP_13,2020-02-15,JP,Japan,13,Tokyo,1,11,3,13942856,35.689722,139.692222
JP_23,2020-02-15,JP,Japan,23,Aichi,1,2,2,7549594,35.180167,136.906667
JP_30,2020-02-15,JP,Japan,30,Wakayama,1,5,,923721,34.226028,135.1675
JP_11,2020-02-16,JP,Japan,11,Saitama,1,1,,7337330,35.95,139.55
JP_13,2020-02-16,JP,Japan,13,Tokyo,1,15,3,13942856,35.689722,139.692222
JP_23,2020-02-16,JP,Japan,23,Aichi,1,3,2,7549594,35.180167,136.906667
JP_14,2020-02-17,JP,Japan,14,Kanagawa,1,3,1,9200166,35.447508,139.642344
JP_23,2020-02-17,JP,Japan,23,Aichi,1,4,2,7549594,35.180167,136.906667
JP_30,2020-02-17,JP,Japan,30,Wakayama,1,9,,923721,34.226028,135.1675
JP_13,2020-02-18,JP,Japan,13,Tokyo,1,18,3,13942856,35.689722,139.692222
JP_14,2020-02-18,JP,Japan,14,Kanagawa,1,4,1,9200166,35.447508,139.642344
JP_23,2020-02-18,JP,Japan,23,Aichi,1,5,2,7549594,35.180167,136.906667
JP_30,2020-02-18,JP,Japan,30,Wakayama,1,12,,923721,34.226028,135.1675
JP_01,2020-02-19,JP,Japan,01,Hokkaido,1,3,1,5273681,43,142
JP_13,2020-02-19,JP,Japan,13,Tokyo,1,21,3,13942856,35.689722,139.692222
JP_14,2020-02-19,JP,Japan,14,Kanagawa,1,6,1,9200166,35.447508,139.642344
JP_23,2020-02-19,JP,Japan,23,Aichi,1,6,2,7549594,35.180167,136.906667
JP_47,2020-02-19,JP,Japan,47.0,Okinawa,1,2,,1457162,26.5,127.933333
JP_01,2020-02-20,JP,Japan,01,Hokkaido,1,4,1,5273681,43,142
JP_12,2020-02-20,JP,Japan,12,Chiba,1,3,2,6279026,35.605,140.123333
JP_14,2020-02-20,JP,Japan,14,Kanagawa,1,8,1,9200166,35.447508,139.642344
JP_23,2020-02-20,JP,Japan,23,Aichi,1,7,2,7549594,35.180167,136.906667
JP_40,2020-02-20,JP,Japan,40,Fukuoka,1,2,,5110113,33.6,130.583333
JP_47,2020-02-20,JP,Japan,47.0,Okinawa,1,3,,1457162,26.5,127.933333
JP_01,2020-02-21,JP,Japan,01,Hokkaido,1,7,1,5273681,43,142
JP_12,2020-02-21,JP,Japan,12,Chiba,1,4,2,6279026,35.605,140.123333
JP_13,2020-02-21,JP,Japan,13,Tokyo,1,24,3,13942856,35.689722,139.692222
JP_14,2020-02-21,JP,Japan,14,Kanagawa,1,11,1,9200166,35.447508,139.642344
JP_17,2020-02-21,JP,Japan,17,Ishikawa,1,1,,1137181,36.633333,136.65
JP_23,2020-02-21,JP,Japan,23,Aichi,1,9,2,7549594,35.180167,136.906667
JP_43,2020-02-21,JP,Japan,43,Kumamoto,1,1,,1746740,32.716667,130.666667
JP_01,2020-02-22,JP,Japan,01,Hokkaido,1,16,1,5273681,43,142
JP_09,2020-02-22,JP,Japan,09,Tochigi,1,1,,1942312,36.516667,139.816667
JP_12,2020-02-22,JP,Japan,12,Chiba,1,6,2,6279026,35.605,140.123333
JP_13,2020-02-22,JP,Japan,13,Tokyo,1,26,3,13942856,35.689722,139.692222
JP_14,2020-02-22,JP,Japan,14,Kanagawa,1,15,1,9200166,35.447508,139.642344
JP_17,2020-02-22,JP,Japan,17,Ishikawa,1,2,,1137181,36.633333,136.65
JP_23,2020-02-22,JP,Japan,23,Aichi,1,13,2,7549594,35.180167,136.906667
JP_30,2020-02-22,JP,Japan,30,Wakayama,1,13,,923721,34.226028,135.1675
JP_43,2020-02-22,JP,Japan,43,Kumamoto,1,3,,1746740,32.716667,130.666667
JP_01,2020-02-23,JP,Japan,01,Hokkaido,1,25,1,5273681,43,142
JP_12,2020-02-23,JP,Japan,12,Chiba,1,7,2,6279026,35.605,140.123333
JP_23,2020-02-23,JP,Japan,23,Aichi,1,15,2,7549594,35.180167,136.906667
JP_01,2020-02-24,JP,Japan,01,Hokkaido,1,29,1,5273681,43,142
JP_13,2020-02-24,JP,Japan,13,Tokyo,1,29,3,13942856,35.689722,139.692222
JP_14,2020-02-24,JP,Japan,14,Kanagawa,1,16,1,9200166,35.447508,139.642344
JP_17,2020-02-24,JP,Japan,17,Ishikawa,1,4,,1137181,36.633333,136.65
JP_43,2020-02-24,JP,Japan,43,Kumamoto,1,4,,1746740,32.716667,130.666667
JP_01,2020-02-25,JP,Japan,01,Hokkaido,1,34,1,5273681,43,142
JP_20,2020-02-25,JP,Japan,20,Nagano,1,1,,2049653,36.25,138.1
JP_23,2020-02-25,JP,Japan,23,Aichi,1,18,2,7549594,35.180167,136.906667
JP_36,2020-02-25,JP,Japan,36,Tokushima,1,1,,728633,34.06575,134.559278
JP_43,2020-02-25,JP,Japan,43,Kumamoto,1,5,,1746740,32.716667,130.666667
JP_01,2020-02-26,JP,Japan,01,Hokkaido,1,38,1,5273681,43,142
JP_12,2020-02-26,JP,Japan,12,Chiba,1,9,2,6279026,35.605,140.123333
JP_13,2020-02-26,JP,Japan,13,Tokyo,1,32,3,13942856,35.689722,139.692222
JP_14,2020-02-26,JP,Japan,14,Kanagawa,1,17,1,9200166,35.447508,139.642344
JP_20,2020-02-26,JP,Japan,20,Nagano,1,2,,2049653,36.25,138.1
JP_21,2020-02-26,JP,Japan,21,Gifu,1,1,,1991390,35.483333,136.9
JP_23,2020-02-26,JP,Japan,23,Aichi,1,23,2,7549594,35.180167,136.906667
JP_01,2020-02-27,JP,Japan,01,Hokkaido,1,53,1,5273681,43,142
JP_13,2020-02-27,JP,Japan,13,Tokyo,1,33,3,13942856,35.689722,139.692222
JP_14,2020-02-27,JP,Japan,14,Kanagawa,1,20,1,9200166,35.447508,139.642344
JP_17,2020-02-27,JP,Japan,17,Ishikawa,1,5,,1137181,36.633333,136.65
JP_21,2020-02-27,JP,Japan,21,Gifu,1,2,,1991390,35.483333,136.9
JP_23,2020-02-27,JP,Japan,23,Aichi,1,25,2,7549594,35.180167,136.906667
JP_27,2020-02-27,JP,Japan,27,Osaka,1,2,,8823453,34.686389,135.52
JP_01,2020-02-28,JP,Japan,01,Hokkaido,1,65,1,5273681,43,142
JP_14,2020-02-28,JP,Japan,14,Kanagawa,1,22,1,9200166,35.447508,139.642344
JP_17,2020-02-28,JP,Japan,17,Ishikawa,1,6,,1137181,36.633333,136.65
JP_22,2020-02-28,JP,Japan,22,Shizuoka,1,1,,3639226,34.916389,138.316389
