Date,Country,Region,Event,Value
2020-01-22,??,Diamond Princess,Confirmed,0
2020-01-22,??,Diamond Princess,Deaths,0
2020-01-22,AD,,Confirmed,0
2020-01-22,AD,,Deaths,0
2020-01-22,AE,,Confirmed,0
2020-01-22,AE,,Deaths,0
2020-01-22,AF,,Confirmed,0
2020-01-22,AF,,Deaths,0
2020-01-22,AG,,Confirmed,0
2020-01-22,AG,,Deaths,0
2020-01-22,AL,,Confirmed,0
2020-01-22,AL,,Deaths,0
2020-01-22,AM,,Confirmed,0
2020-01-22,AM,,Deaths,0
2020-01-22,AR,,Confirmed,0
2020-01-22,AR,,Deaths,0
2020-01-22,AT,,Confirmed,0
2020-01-22,AT,,Deaths,0
2020-01-22,AU,,Confirmed,0
2020-01-22,AU,,Deaths,0
2020-01-22,AW,,Confirmed,0
2020-01-22,AW,,Deaths,0
2020-01-22,AZ,,Confirmed,0
2020-01-22,AZ,,Deaths,0
2020-01-22,BA,,Confirmed,0
2020-01-22,BA,,Deaths,0
2020-01-22,BD,,Confirmed,0
2020-01-22,BD,,Deaths,0
2020-01-22,BE,,Confirmed,0
2020-01-22,BE,,Deaths,0
2020-01-22,BF,,Confirmed,0
2020-01-22,BF,,Deaths,0
2020-01-22,BG,,Confirmed,0
2020-01-22,BG,,Deaths,0
2020-01-22,BH,,Confirmed,0
2020-01-22,BH,,Deaths,0
2020-01-22,BN,,Confirmed,0
2020-01-22,BN,,Deaths,0
2020-01-22,BO,,Confirmed,0
2020-01-22,BO,,Deaths,0
2020-01-22,BR,,Confirmed,0
2020-01-22,BR,,Deaths,0
2020-01-22,BT,,Confirmed,0
2020-01-22,BT,,Deaths,0
2020-01-22,BY,,Confirmed,0
2020-01-22,BY,,Deaths,0
2020-01-22,CA,,Confirmed,0
2020-01-22,CA,,Deaths,0
2020-01-22,CD,,Confirmed,0
2020-01-22,CD,,Deaths,0
2020-01-22,CH,,Confirmed,0
2020-01-22,CH,,Deaths,0
2020-01-22,CI,,Confirmed,0
2020-01-22,CI,,Deaths,0
2020-01-22,CL,,Confirmed,0
2020-01-22,CL,,Deaths,0
2020-01-22,CM,,Confirmed,0
2020-01-22,CM,,Deaths,0
2020-01-22,CN,Anhui,Confirmed,1
2020-01-22,CN,Anhui,Deaths,0
2020-01-22,CN,Beijing,Confirmed,14
2020-01-22,CN,Beijing,Deaths,0
2020-01-22,CN,Chongqing,Confirmed,6
2020-01-22,CN,Chongqing,Deaths,0
2020-01-22,CN,Fujian,Confirmed,1
2020-01-22,CN,Fujian,Deaths,0
2020-01-22,CN,Gansu,Confirmed,0
2020-01-22,CN,Gansu,Deaths,0
2020-01-22,CN,Guangdong,Confirmed,26
2020-01-22,CN,Guangdong,Deaths,0
2020-01-22,CN,Guangxi,Confirmed,2
2020-01-22,CN,Guangxi,Deaths,0
2020-01-22,CN,Guizhou,Confirmed,1
2020-01-22,CN,Guizhou,Deaths,0
2020-01-22,CN,Hainan,Confirmed,4
2020-01-22,CN,Hainan,Deaths,0
2020-01-22,CN,Hebei,Confirmed,1
2020-01-22,CN,Hebei,Deaths,0
2020-01-22,CN,Heilongjiang,Confirmed,0
2020-01-22,CN,Heilongjiang,Deaths,0
2020-01-22,CN,Henan,Confirmed,5
2020-01-22,CN,Henan,Deaths,0
2020-01-22,CN,Hong Kong,Confirmed,0
2020-01-22,CN,Hong Kong,Deaths,0
2020-01-22,CN,Hubei,Confirmed,444
2020-01-22,CN,Hubei,Deaths,17
2020-01-22,CN,Hunan,Confirmed,4
2020-01-22,CN,Hunan,Deaths,0
2020-01-22,CN,Inner Mongolia,Confirmed,0
2020-01-22,CN,Inner Mongolia,Deaths,0
2020-01-22,CN,Jiangsu,Confirmed,1
2020-01-22,CN,Jiangsu,Deaths,0
2020-01-22,CN,Jiangxi,Confirmed,2
2020-01-22,CN,Jiangxi,Deaths,0
2020-01-22,CN,Jilin,Confirmed,0
2020-01-22,CN,Jilin,Deaths,0
2020-01-22,CN,Liaoning,Confirmed,2
2020-01-22,CN,Liaoning,Deaths,0
2020-01-22,CN,Macau,Confirmed,1
2020-01-22,CN,Macau,Deaths,0
2020-01-22,CN,Ningxia,Confirmed,1
2020-01-22,CN,Ningxia,Deaths,0
2020-01-22,CN,Qinghai,Confirmed,0
2020-01-22,CN,Qinghai,Deaths,0
2020-01-22,CN,Shaanxi,Confirmed,0
2020-01-22,CN,Shaanxi,Deaths,0
2020-01-22,CN,Shandong,Confirmed,2
2020-01-22,CN,Shandong,Deaths,0
2020-01-22,CN,Shanghai,Confirmed,9
2020-01-22,CN,Shanghai,Deaths,0
2020-01-22,CN,Shanxi,Confirmed,1
2020-01-22,CN,Shanxi,Deaths,0
2020-01-22,CN,Sichuan,Confirmed,5
2020-01-22,CN,Sichuan,Deaths,0
2020-01-22,CN,Tianjin,Confirmed,4
2020-01-22,CN,Tianjin,Deaths,0
2020-01-22,CN,Tibet,Confirmed,0
2020-01-22,CN,Tibet,Deaths,0
2020-01-22,CN,Xinjiang,Confirmed,0
2020-01-22,CN,Xinjiang,Deaths,0
2020-01-22,CN,Yunnan,Confirmed,1
2020-01-22,CN,Yunnan,Deaths,0
2020-01-22,CN,Zhejiang,Confirmed,10
2020-01-22,CN,Zhejiang,Deaths,0
2020-01-22,CO,,Confirmed,0
2020-01-22,CO,,Deaths,0
2020-01-22,CR,,Confirmed,0
2020-01-22,CR,,Deaths,0
2020-01-22,CU,,Confirmed,0
2020-01-22,CU,,Deaths,0
2020-01-22,CY,,Confirmed,0
