wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-10,,,,,5,0,,,,,,14,9,28,0,0,1,,30.06864,-89.92813,,907,,,72231553917,9.9535135,19.641975,17.648148,23.407407,0.21771429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-11,6,0,,,11,0,,,,,,18,20,58,8,0,-1,,30.06864,-89.92813,,907,,,72231553917,9.9535135,20.746914,17.703704,24.895062,5.2775556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-12,1,0,,,12,0,,,,,,10,25,36,6,-2,1,,30.06864,-89.92813,,907,,,72231553917,9.9535135,20.814815,16.777778,26.234568,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-13,16,0,,,28,0,,,,,,-2,25,22,-3,-4,2,,30.06864,-89.92813,,907,,,72231553917,9.9535135,21.765432,18.358025,26.469136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-14,25,1,,,53,1,,,,,,-13,10,-13,-16,-6,4,,30.06864,-89.92813,,907,,,72231553917,9.9535135,22.975309,19.092593,27.259259,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-15,22,1,,,75,2,,,,,,-22,13,-6,-15,-9,4,,30.06864,-89.92813,,907,,,72231553917,9.9535135,22.092593,18.179012,27.302469,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-16,20,1,,,95,3,,,,,,-22,13,-8,-23,-23,9,,30.06864,-89.92813,,907,,,72231553917,9.9535135,21.209877,15.882716,26.123457,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-17,41,2,,,136,5,,,,,,-36,1,-17,-32,-35,15,,30.06864,-89.92813,,907,,,72231553917,9.9535135,22.641975,19.512346,26.691358,0.15875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-18,60,1,,,196,6,,,,,,-40,-2,-20,-32,-39,15,,30.06864,-89.92813,,907,,,72231553917,9.9535135,22.697531,18.506173,27.283951,0.056444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-19,56,2,,,252,8,,,,,,-46,-4,-25,-35,-42,17,,30.06864,-89.92813,,907,,,72231553917,9.9535135,24.290123,21.703704,27.722222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-20,77,0,,,329,8,,,,,,-54,-10,-36,-40,-45,20,,30.06864,-89.92813,,907,,,72231553917,9.9535135,24.518519,21.858025,27.981481,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-21,89,5,,,418,13,,,,,,-69,-28,-67,-55,-46,18,,30.06864,-89.92813,,907,,,72231553917,9.9535135,21.765432,19.191358,25.91358,2.06375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-22,33,2,,,451,15,,,,,,-69,-28,-51,-55,-48,14,,30.06864,-89.92813,,907,,,72231553917,9.9535135,20.271605,16.765432,25.388889,0.14111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q486231,geoId/22071,US,United States of America,LA,Louisiana,22071,Orleans Parish,US,USA,2,2020-03-23,116,5,,,567,20,,,,,,-60,-24,-41,-49,-52,21,,30.06864,-89.92813,,907,,,72231553917,9.9535135,23.469136,18.734568,28.925926,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389617,,,,,,,,,,,,,,,,,,,,,,,,,,,
