Region,Borough_Census_Area,Community,All_Cases,Community_Cases,Secondary_Cases,Travel_Cases,UI_Cases,Hospitalizations,Deaths,Recovered,Active,ObjectId,Residency,All_Cases__New_
Anchorage,Anchorage Municipality,Anchorage,1083,238,286,94,453,57,9,395,679,1,Alaska Resident,48
Anchorage,Anchorage Municipality,Chugiak,24,5,6,3,9,3,0,12,12,2,Alaska Resident,0
Anchorage,Anchorage Municipality,Eagle River,64,14,20,10,20,3,0,26,38,3,Alaska Resident,1
Anchorage,Anchorage Municipality,Girdwood,9,2,3,2,2,0,0,7,2,4,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Anchor Point,9,3,5,1,0,2,2,5,2,5,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Fritz Creek,3,1,2,0,0,0,0,2,1,6,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Homer,50,11,21,2,16,4,0,25,25,7,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Kenai,45,5,6,4,30,1,0,14,31,8,Alaska Resident,1
Gulf Coast,Kenai Peninsula Borough,Nikiski,6,2,3,0,1,1,0,4,2,9,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Other North,7,1,1,0,5,0,0,2,5,10,Alaska Resident,1
Gulf Coast,Kenai Peninsula Borough,Other South,31,4,22,0,5,0,0,18,13,11,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Seward,54,0,18,2,34,0,0,12,42,12,Alaska Resident,2
Gulf Coast,Kenai Peninsula Borough,Soldotna,56,8,7,1,40,0,0,13,43,13,Alaska Resident,3
Gulf Coast,Kenai Peninsula Borough,Sterling,9,1,1,1,6,0,0,3,6,14,Alaska Resident,1
Gulf Coast,Kodiak Island Borough,Kodiak,5,2,0,0,3,0,0,1,4,15,Alaska Resident,0
Gulf Coast,Valdez-Cordova Census Area,Cordova,7,0,0,1,6,0,0,0,7,16,Alaska Resident,2
Gulf Coast,Valdez-Cordova Census Area,Other,29,0,0,1,28,0,0,0,29,17,Alaska Resident,1
Gulf Coast,Valdez-Cordova Census Area,Valdez,3,1,0,0,2,0,0,2,1,18,Alaska Resident,1
Interior,Denali Borough,Other,1,0,0,0,1,0,0,0,1,19,Alaska Resident,0
Interior,Fairbanks North Star Borough,Ester,1,0,0,0,1,0,0,0,1,20,Alaska Resident,1
Interior,Fairbanks North Star Borough,Fairbanks,292,35,93,15,148,14,3,81,208,21,Alaska Resident,5
Interior,Fairbanks North Star Borough,North Pole,63,6,28,7,22,3,1,21,41,22,Alaska Resident,1
Interior,Fairbanks North Star Borough,Other,2,0,0,2,0,0,0,2,0,23,Alaska Resident,0
Interior,Southeast Fairbanks Census Area,Delta Junction,3,0,2,1,0,0,0,2,1,24,Alaska Resident,0
Interior,Southeast Fairbanks Census Area,Other,3,0,0,0,3,0,0,0,3,25,Alaska Resident,0
Interior,Southeast Fairbanks Census Area,Tok,7,0,1,1,5,1,0,2,5,26,Alaska Resident,0
Interior,Yukon-Koyukuk Census Area,Other,41,7,6,0,28,2,0,3,38,27,Alaska Resident,3
Matanuska-Susitna,Matanuska-Susitna Borough,Big Lake,7,3,2,0,1,0,0,3,4,28,Alaska Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Houston,2,0,1,0,1,0,0,1,1,29,Alaska Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Meadow Lakes,1,0,0,0,1,0,0,0,1,30,Alaska Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Other,5,1,0,1,3,0,0,3,2,31,Alaska Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Palmer,65,15,7,3,40,4,0,18,47,32,Alaska Resident,4
Matanuska-Susitna,Matanuska-Susitna Borough,Sutton-Alpine,2,0,0,0,2,0,0,0,2,33,Alaska Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Wasilla,131,19,24,4,84,5,2,36,93,34,Alaska Resident,6
Matanuska-Susitna,Matanuska-Susitna Borough,Willow,10,4,2,0,4,1,0,4,6,35,Alaska Resident,0
Northern,Nome Census Area,Nome,10,3,0,2,5,0,0,5,5,36,Alaska Resident,0
Northern,Nome Census Area,Other,7,1,0,0,6,0,0,0,7,37,Alaska Resident,0
Northern,North Slope Borough,Other,5,3,0,0,2,1,0,1,4,38,Alaska Resident,0
Northern,North Slope Borough,Utqiagvik,3,1,0,1,1,0,0,0,3,39,Alaska Resident,0
Northern,Northwest Arctic Borough,Kotzebue,4,2,0,0,2,0,0,1,3,40,Alaska Resident,1
Northern,Northwest Arctic Borough,Other,10,4,1,2,3,0,0,5,5,41,Alaska Resident,3
Southeast,Haines Borough,Haines,4,2,0,0,2,0,0,1,3,42,Alaska Resident,1
Southeast,Juneau City and Borough,Douglas,2,2,0,0,0,0,0,2,0,43,Alaska Resident,0
Southeast,Juneau City and Borough,Juneau,71,9,27,8,27,9,2,38,31,44,Alaska Resident,1
Southeast,Ketchikan Gateway Borough,Ketchikan,31,0,14,7,10,2,0,19,12,45,Alaska Resident,0
Southeast,Ketchikan Gateway Borough,Other,1,0,0,0,1,0,0,1,0,46,Alaska Resident,0
Southeast,Petersburg Borough,Petersburg,6,2,0,2,2,1,1,3,2,47,Alaska Resident,0
Southeast,Prince of Wales-Hyder Census Area,Craig,2,1,0,1,0,0,0,2,0,48,Alaska Resident,0
Southeast,Sitka City and Borough,Sitka,18,6,4,2,6,0,0,11,7,49,Alaska Resident,0
Southeast,Wrangell City and Borough,Wrangell,3,1,1,1,0,0,0,1,2,50,Alaska Resident,0
Southeast,Yakutat plus Hoonah-Angoon,Other,1,0,0,0,1,0,0,0,1,51,Alaska Resident,0
Southwest,Aleutians East Borough,Other,1,0,0,0,1,0,0,0,1,52,Alaska Resident,0
Southwest,Aleutians West Census Area,Unalaska,2,0,0,0,2,0,0,0,2,53,Alaska Resident,1
Southwest,Bethel Census Area,Bethel,8,4,1,2,1,0,0,3,5,54,Alaska Resident,0
Southwest,Bethel Census Area,Other,10,4,1,0,5,0,0,3,7,55,Alaska Resident,0
Southwest,Bristol Bay plus Lake and Peninsula,Other,6,2,1,0,3,1,0,2,4,56,Alaska Resident,0
Southwest,Kusilvak Census Area,Other,3,1,0,0,1,0,0,0,3,57,Alaska Resident,0
Anchorage,Anchorage Municipality,Anchorage,108,3,5,61,39,0,0,37,71,58,Non-Resident,0
Anchorage,Anchorage Municipality,Eagle River,1,0,0,0,1,0,0,0,1,59,Non-Resident,0
Anchorage,Anchorage Municipality,Girdwood,1,0,0,1,0,0,0,0,1,60,Non-Resident,0
Gulf Coast,Kenai Peninsula Borough,Homer,2,1,0,1,0,0,0,2,0,61,Non-Resident,0
Gulf Coast,Kenai Peninsula Borough,Kenai,7,0,2,2,3,0,0,4,3,62,Non-Resident,1
Gulf Coast,Kenai Peninsula Borough,Nikiski,2,0,2,0,0,0,0,2,0,63,Non-Resident,0
Gulf Coast,Kenai Peninsula Borough,Other North,1,0,0,0,1,0,0,0,1,64,Non-Resident,0
Gulf Coast,Kenai Peninsula Borough,Other South,1,0,0,0,1,0,0,0,1,65,Non-Resident,0
Gulf Coast,Kenai Peninsula Borough,Seward,44,4,14,1,25,0,0,4,40,66,Non-Resident,22
Gulf Coast,Kenai Peninsula Borough,Soldotna,1,0,0,0,1,0,0,0,1,67,Non-Resident,0
Gulf Coast,Kodiak Island Borough,Kodiak,9,2,1,3,3,0,0,2,7,68,Non-Resident,0
Gulf Coast,Valdez-Cordova Census Area,Cordova,7,0,0,6,1,0,0,4,3,69,Non-Resident,0
Gulf Coast,Valdez-Cordova Census Area,Other,13,0,0,2,11,0,0,1,12,70,Non-Resident,0
Gulf Coast,Valdez-Cordova Census Area,Valdez,20,1,2,1,16,1,0,2,18,71,Non-Resident,0
Interior,Denali Borough,Healy,1,0,0,0,1,0,0,0,1,72,Non-Resident,0
Interior,Denali Borough,Other,1,0,0,0,1,0,0,0,1,73,Non-Resident,0
Interior,Fairbanks North Star Borough,Fairbanks,30,0,10,7,13,0,0,10,20,74,Non-Resident,0
Interior,Fairbanks North Star Borough,North Pole,1,0,0,0,1,0,0,0,1,75,Non-Resident,0
Interior,Southeast Fairbanks Census Area,Delta Junction,12,0,8,0,4,0,0,7,5,76,Non-Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Other,1,0,0,1,0,0,0,1,0,77,Non-Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Wasilla,3,1,0,1,1,0,0,1,2,78,Non-Resident,0
Northern,Nome Census Area,Nome,3,1,0,1,1,0,0,1,2,79,Non-Resident,0
Northern,North Slope Borough,Prudhoe Bay,1,0,0,1,0,0,0,0,1,80,Non-Resident,0
Southeast,Haines Borough,Haines,1,0,0,1,0,0,0,0,1,81,Non-Resident,0
Southeast,Haines Borough,Other,3,0,0,0,3,0,0,0,3,82,Non-Resident,0
Southeast,Juneau City and Borough,Juneau,39,2,0,3,34,0,0,4,35,83,Non-Resident,0
Southeast,Ketchikan Gateway Borough,Ketchikan,11,1,2,8,0,0,0,8,3,84,Non-Resident,0
Southeast,Petersburg Borough,Petersburg,4,1,0,1,2,0,0,1,3,85,Non-Resident,0
Southeast,Prince of Wales-Hyder Census Area,Craig,1,1,0,0,0,0,0,1,0,86,Non-Resident,0
Southeast,Sitka City and Borough,Sitka,9,0,1,3,5,0,0,4,5,87,Non-Resident,0
Southeast,Wrangell City and Borough,Wrangell,6,0,0,4,2,0,0,4,2,88,Non-Resident,0
Southeast,Yakutat plus Hoonah-Angoon,Other,1,0,0,1,0,0,0,1,0,89,Non-Resident,0
