wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,f_0,f_1,f_5,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_60,f_65,f_70,f_75,f_80,m_0,m_1,m_5,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_60,m_65,m_70,m_75,m_80,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
Q160734,,JP,Japan,36,Tokushima,,,JP,JPN,1,2020-02-25,1,,,,1,0,,,,,,2,5,19,5,1,1,3795000,34.06575,134.55928,,4145,,,47895099999,0.72479387,11.611111,7.1666667,14.288889,0,,2470,10425,14197,15322,15082,14918,15411,17118,19189,21104,27586,27045,25527,23345,25047,30752,28992,59560,2558,10916,15041,15889,15864,14797,15458,17102,18431,20059,25708,25892,25018,23460,22740,25312,21369,28968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728633,344582,393090,,,,,,,55607,62157,60584,71840,94457,103482,94592,106425,70822,17706,,,,,,,,,
Q160734,,JP,Japan,36,Tokushima,,,JP,JPN,1,2020-03-30,2,,,,3,,,,,,,0,3,12,-12,-4,3,3795000,34.06575,134.55928,,4145,,,47895099999,0.72479387,10.955556,8.5444444,12.877778,0,,2470,10425,14197,15322,15082,14918,15411,17118,19189,21104,27586,27045,25527,23345,25047,30752,28992,59560,2558,10916,15041,15889,15864,14797,15458,17102,18431,20059,25708,25892,25018,23460,22740,25312,21369,28968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728633,344582,393090,,,,,,,55607,62157,60584,71840,94457,103482,94592,106425,70822,17706,,,,,,,,,
Q160734,,JP,Japan,36,Tokushima,,,JP,JPN,1,2020-03-31,2,,,,3,0,,,,,,-2,5,28,-14,-5,4,3795000,34.06575,134.55928,,4145,,,47895099999,0.72479387,14.888889,11.127778,18.205556,0.42333333,,2470,10425,14197,15322,15082,14918,15411,17118,19189,21104,27586,27045,25527,23345,25047,30752,28992,59560,2558,10916,15041,15889,15864,14797,15458,17102,18431,20059,25708,25892,25018,23460,22740,25312,21369,28968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728633,344582,393090,,,,,,,55607,62157,60584,71840,94457,103482,94592,106425,70822,17706,,,,,,,,,
Q160734,,JP,Japan,36,Tokushima,,,JP,JPN,1,2020-04-21,2,,,,5,0,,,,,,-21,0,16,-34,-11,7,3795000,34.06575,134.55928,,4145,,,47895099999,0.72479387,15.388889,11.25,18.9,0,,2470,10425,14197,15322,15082,14918,15411,17118,19189,21104,27586,27045,25527,23345,25047,30752,28992,59560,2558,10916,15041,15889,15864,14797,15458,17102,18431,20059,25708,25892,25018,23460,22740,25312,21369,28968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728633,344582,393090,,,,,,,55607,62157,60584,71840,94457,103482,94592,106425,70822,17706,,,,,,,,,
Q160734,,JP,Japan,36,Tokushima,,,JP,JPN,1,2020-04-28,,1,,,5,1,,,,,,-17,2,8,-38,-12,7,3795000,34.06575,134.55928,,4145,,,47895099999,0.72479387,15.005556,10.138889,19.477778,0,,2470,10425,14197,15322,15082,14918,15411,17118,19189,21104,27586,27045,25527,23345,25047,30752,28992,59560,2558,10916,15041,15889,15864,14797,15458,17102,18431,20059,25708,25892,25018,23460,22740,25312,21369,28968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728633,344582,393090,,,,,,,55607,62157,60584,71840,94457,103482,94592,106425,70822,17706,,,,,,,,,
Q160734,,JP,Japan,36,Tokushima,,,JP,JPN,1,2020-06-26,1,,,,6,1,,,,,,,,,,,,3795000,34.06575,134.55928,,4145,,,,,,,,,,2470,10425,14197,15322,15082,14918,15411,17118,19189,21104,27586,27045,25527,23345,25047,30752,28992,59560,2558,10916,15041,15889,15864,14797,15458,17102,18431,20059,25708,25892,25018,23460,22740,25312,21369,28968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728633,344582,393090,,,,,,,55607,62157,60584,71840,94457,103482,94592,106425,70822,17706,,,,,,,,,
