key,date,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index
AD,2020-05-31,3,2,1,0,1,1,0,2,2,2,0,0,2,3,1,0,0,50
AE,2020-06-01,3,2,2,4,1,0,1,4,0,2,0,0,2,3,2,0,0,72.22
AF,2020-05-21,3,3,2,4,2,2,2,1,0,0,0,0,2,1,1,0,0,78.7
AL,2020-05-25,2,2,2,4,2,2,2,4,2,1,0,0,2,2,1,0,0,83.33
AO,2020-05-25,3,2,2,3,1,2,2,4,0,2,0,0,2,2,0,0,0,81.48
AR,2020-06-03,3,2,2,4,2,2,2,4,1,2,0,0,2,1,2,0,0,90.74
AT,2020-06-03,1,2,2,3,0,0,1,3,2,2,0,0,2,2,2,0,0,55.56
AU,2020-06-01,2,1,2,4,0,0,2,4,1,2,0,6123664,2,2,1,0,0,62.5
AW,2020-06-01,0,2,0,0,0,1,2,3,2,0,0,0,2,1,1,0,0,41.67
AZ,2020-05-31,3,2,2,4,0,3,2,4,2,0,0,0,2,2,1,0,0,85.19
BA,2020-05-28,3,2,2,4,0,0,2,4,2,1,0,0,2,2,0,0,0,71.3
BB,2020-05-31,3,2,2,4,1,2,2,2,1,1,0,0,2,2,2,0,0,81.48
BD,2020-05-30,3,3,2,4,2,2,2,3,2,2,0,0,2,2,1,0,0,93.52
BE,2020-06-03,2,2,2,4,0,2,2,3,2,2,0,0,2,2,1,0,0,75
BF,2020-06-02,0,0,2,3,0,2,0,4,0,0,0,0,2,1,2,0,0,49.07
BG,2020-05-30,2,1,1,4,0,1,0,3,2,2,0,0,2,1,2,0,0,50.93
BH,2020-06-01,3,2,2,4,1,2,1,4,2,2,0,0,2,2,2,0,0,81.48
BI,2020-05-28,0,0,0,0,0,0,0,4,0,0,0,0,2,1,1,0,0,22.22
BJ,2020-06-01,2,0,2,4,1,0,0,2,0,0,0,0,2,2,2,0,0,47.69
BM,2020-05-28,3,2,1,4,1,1,1,4,2,0,0,0,2,3,2,0,0,72.22
BN,2020-06-01,3,0,1,3,0,0,1,4,1,0,0,0,2,2,1,0,0,52.78
BO,2020-06-03,3,3,2,4,1,2,2,4,1,1,0,0,2,0,1,0,0,87.96
BR,2020-06-03,3,3,2,4,2,2,2,4,1,1,0,0,2,2,0,0,0,81.02
BT,2020-05-26,3,2,1,4,1,0,2,4,1,2,0,0,2,1,2,0,0,74.07
BW,2020-05-25,3,1,1,3,0,1,2,4,1,2,0,0,2,1,1,0,0,61.11
BY,2020-05-24,0,0,0,0,0,0,0,3,1,0,0,0,1,3,2,1E+08,0,13.89
BZ,2020-05-28,3,3,2,4,1,2,2,4,1,0,0,0,2,1,2,0,0,90.74
CA,2020-05-31,3,3,2,4,0,1,2,4,2,1,0,0,2,3,1,0,0,70.83
CD,2020-05-28,3,2,2,3,2,2,2,4,0,2,0,0,2,1,1,0,0,80.56
CF,2020-05-27,3,2,2,3,0,0,2,4,0,0,0,0,2,1,1,0,0,68.52
CG,2020-06-01,2,3,2,3,2,2,2,4,1,2,0,0,2,1,1,0,0,82.41
CH,2020-05-31,2,2,2,3,0,1,1,3,2,1,0,0,2,2,1,0,0,62.96
CI,2020-06-01,0,2,2,2,1,1,2,4,0,1,0,0,2,2,1,0,0,59.26
CL,2020-05-31,3,3,2,4,2,3,2,3,1,1,0,0,2,2,2,0,0,86.57
CM,2020-05-31,3,0,2,3,1,0,1,4,0,0,0,0,2,2,1,0,0,63.89
CN,2020-05-31,3,3,2,4,2,3,2,3,1,0,0,0,2,3,2,0,0,81.94
CO,2020-05-28,3,2,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,87.04
CR,2020-06-01,3,2,1,3,0,1,2,4,1,1,0,0,2,1,1,0,0,69.44
CU,2020-05-28,3,3,2,4,2,3,2,4,0,2,0,0,2,1,2,0,0,100
