key,date,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
FR_HDF_80,2020-06-26,0,1079,80,,,5,,,
FR_IDF,2020-06-26,24,41387,4005,,,312,,,
FR_IDF_75,2020-06-26,5,9063,579,,,72,,,
FR_IDF_77,2020-06-26,0,3643,271,,,39,,,
FR_IDF_78,2020-06-26,2,3165,377,,,22,,,
FR_IDF_91,2020-06-26,2,3349,371,,,31,,,
FR_IDF_92,2020-06-26,5,6439,745,,,63,,,
FR_IDF_93,2020-06-26,3,5679,698,,,61,,,
FR_IDF_94,2020-06-26,5,6351,615,,,20,,,
FR_IDF_95,2020-06-26,2,3698,349,,,4,,,
FR_LRE,2020-06-26,1,324,42,,,6,,,
FR_MAY,2020-06-26,3,842,72,,,12,,,
FR_MQ,2020-06-26,0,238,28,,,10,,,
FR_NAQ,2020-06-26,0,3222,105,,,12,,,
FR_NAQ_16,2020-06-26,0,108,2,,,1,,,
FR_NAQ_17,2020-06-26,0,308,12,,,1,,,
FR_NAQ_19,2020-06-26,0,219,0,,,0,,,
FR_NAQ_23,2020-06-26,0,111,4,,,1,,,
FR_NAQ_24,2020-06-26,0,181,12,,,0,,,
FR_NAQ_33,2020-06-26,0,1345,58,,,8,,,
FR_NAQ_40,2020-06-26,0,95,4,,,1,,,
FR_NAQ_47,2020-06-26,0,97,5,,,0,,,
FR_NAQ_64,2020-06-26,0,268,1,,,0,,,
FR_NAQ_79,2020-06-26,0,116,2,,,0,,,
FR_NAQ_86,2020-06-26,0,203,1,,,0,,,
FR_NAQ_87,2020-06-26,0,171,4,,,0,,,
FR_NOR,2020-06-26,3,2477,233,,,8,,,
FR_NOR_14,2020-06-26,0,474,22,,,1,,,
FR_NOR_27,2020-06-26,1,354,48,,,0,,,
FR_NOR_50,2020-06-26,0,247,36,,,2,,,
FR_NOR_61,2020-06-26,0,317,36,,,1,,,
FR_NOR_76,2020-06-26,2,1085,91,,,4,,,
FR_OCC,2020-06-26,0,3887,84,,,11,,,
FR_OCC_09,2020-06-26,0,46,1,,,1,,,
FR_OCC_11,2020-06-26,0,447,3,,,0,,,
FR_OCC_12,2020-06-26,0,177,1,,,0,,,
FR_OCC_30,2020-06-26,0,458,24,,,2,,,
FR_OCC_31,2020-06-26,0,742,30,,,2,,,
FR_OCC_32,2020-06-26,0,144,2,,,1,,,
FR_OCC_34,2020-06-26,0,870,10,,,1,,,
FR_OCC_46,2020-06-26,0,202,1,,,0,,,
FR_OCC_48,2020-06-26,0,24,0,,,0,,,
FR_OCC_65,2020-06-26,0,197,5,,,2,,,
FR_OCC_66,2020-06-26,0,370,0,,,0,,,
